strain	cluster	location	date	is_unique	new_clusters
USA/WA-UW-2021040645885/2021	39	North_King_County	2021-04-06	False	38
USA/WA-UW-2021040600348/2021	39	North_King_County	2021-04-06	False	38
USA/WA-UW-2021040664202/2021	39	North_King_County	2021-04-06	False	38
USA/WA-UW-2021041271739/2021	41	North_King_County	2021-04-12	True	39
USA/WA-UW-2021041416068/2021	42	North_King_County	2021-04-14	True	40
USA/WA-CDC-UW21061853056/2021	43	North_King_County	2021-06-18	True	41
USA/WA-CDC-UW21061553212/2021	44	North_King_County	2021-06-15	True	42
USA/WA-UW-21042800996/2021	45	North_King_County	2021-04-28	True	43
USA/WA-UW-21042872983/2021	46	North_King_County	2021-04-28	True	44
USA/WA-Altius-ALTCOV-4QSAQFQAPTI6VISY/2021	47	South_King_County	2021-06-05	True	45
USA/WA-Altius-ALTCOV-G6GGWSNOAF3LABAN/2021	47	South_King_County	2021-06-07	False	45
USA/WA-Altius-ALTCOV-3G4DCNVU5SFSBEHB/2021	48	South_King_County	2021-06-07	True	46
USA/WA-CDC-UW21060762455/2021	49	North_King_County	2021-06-07	True	47
USA/WA-CDC-UW21060302748/2021	50	North_King_County	2021-06-03	True	48
USA/WA-UW-2021040306191/2021	51	North_King_County	2021-04-03	True	49
USA/WA-UW-66100/2021	52	North_King_County	2021-03-05	True	50
USA/WA-CDC-UW21050128211/2021	53	North_King_County	2021-05-01	True	51
USA/WA-CDC-UW21051317535/2021	54	South_King_County	2021-05-13	True	52
USA/WA-CDC-UW21051101655/2021	55	North_King_County	2021-05-11	True	53
USA/WA-UW-21042051353/2021	56	North_King_County	2021-04-20	True	54
USA/WA-UW-2021041381286/2021	57	South_King_County	2021-04-13	True	55
USA/WA-CDC-UW21072026636/2021	58	North_King_County	2021-07-20	True	56
USA/WA-CDC-UW21050627355/2021	59	North_King_County	2021-05-06	True	57
USA/WA-CDC-LC0070938/2021	60	North_King_County	2021-06-03	True	58
USA/WA-S7434/2021	61	South_King_County	2021-04-21	True	59
USA/WA-CDC-UW21061451910/2021	61	South_King_County	2021-06-14	False	59
USA/WA-UW-21050827557/2021	62	South_King_County	2021-05-08	True	60
USA/WA-UW-69310/2021	63	North_King_County	2021-03-26	True	61
USA/WA-UW-2021040103356/2021	63	North_King_County	2021-04-01	False	61
USA/WA-S8196/2021	64	North_King_County	2021-05-03	True	62
USA/WA-Altius-ALTCOV-ZKULUWUDPPX5RXQM/2021	64	North_King_County	2021-04-30	False	62
USA/WA-CDC-UW21051047046/2021	65	North_King_County	2021-05-10	True	63
USA/WA-CDC-LC0059135/2021	66	North_King_County	2021-05-05	True	64
USA/WA-UW-21042988540/2021	67	South_King_County	2021-04-29	True	65
USA/WA-Altius-ALTCOV-WMGIBVCS5EMHSOT7/2021	67	South_King_County	2021-04-26	False	65
USA/WA-CDC-UW21061251866/2021	68	North_King_County	2021-06-12	True	66
USA/WA-Altius-ALTCOV-KQ7NIGCK6IFDH6X4/2021	69	South_King_County	2021-04-23	True	67
USA/WA-Altius-ALTCOV-R75WUUUCLHSSC5X6/2021	69	South_King_County	2021-04-22	False	67
USA/WA-CDC-UW21060796023/2021	70	South_King_County	2021-06-07	True	68
USA/WA-CDC-UW21060368940/2021	70	North_King_County	2021-06-03	False	68
USA/WA-CDC-LC0072899/2021	71	North_King_County	2021-06-11	True	69
USA/WA-UW-68604/2021	72	North_King_County	2021-03-23	True	70
USA/WA-UW-68507/2021	73	North_King_County	2021-03-23	True	71
USA/WA-CDC-UW21061444411/2021	74	North_King_County	2021-06-14	True	72
USA/WA-CDC-UW21042701183/2021	75	North_King_County	2021-04-27	True	73
USA/WA-UW-2021040962559/2021	76	North_King_County	2021-04-09	True	74
USA/WA-CDC-LC0043845/2021	77	South_King_County	2021-04-07	True	75
USA/WA-Altius-ALTCOV-SYMY6OFSFAAU3CUY/2021	78	South_King_County	2021-04-16	True	76
USA/WA-UW-21041973636/2021	79	South_King_County	2021-04-19	True	77
USA/WA-CDC-UW21051778489/2021	80	South_King_County	2021-05-17	True	78
USA/WA-Altius-ALTCOV-6CM6XQQRIEIIRUW6/2021	81	South_King_County	2021-05-07	True	79
USA/WA-UW-21042221421/2021	82	South_King_County	2021-04-22	True	80
USA/WA-S9016/2021	83	South_King_County	2021-06-03	True	81
USA/WA-S8797/2021	83	South_King_County	2021-06-01	False	81
USA/WA-S9011/2021	83	South_King_County	2021-06-03	False	81
USA/WA-S9014/2021	83	South_King_County	2021-06-03	False	81
USA/WA-S9013/2021	83	South_King_County	2021-06-03	False	81
USA/WA-S9008/2021	83	South_King_County	2021-06-03	False	81
USA/WA-UW-21050861701/2021	84	South_King_County	2021-05-08	True	82
USA/WA-CDC-UW21060184849/2021	85	North_King_County	2021-06-01	True	83
USA/WA-CDC-UW21060172061/2021	85	North_King_County	2021-06-01	False	83
USA/WA-S9009/2021	85	South_King_County	2021-06-03	False	83
USA/WA-CDC-UW21071042460/2021	86	South_King_County	2021-07-10	True	84
USA/WA-CDC-UW21071051288/2021	86	South_King_County	2021-07-10	False	84
USA/WA-Altius-ALTCOV-JFYNXARWULX73DQQ/2021	86	South_King_County	2021-06-19	False	84
USA/WA-CDC-UW21070789232/2021	86	South_King_County	2021-07-07	False	84
USA/WA-Altius-ALTCOV-PAUROQDCL3TSN3W4/2021	86	South_King_County	2021-06-21	False	84
USA/WA-Altius-ALTCOV-2FXD3MCJS3CCSQEK/2021	86	South_King_County	2021-06-21	False	84
USA/WA-Altius-ALTCOV-CYHQZBXITXXBDCDL/2021	86	South_King_County	2021-06-18	False	84
USA/WA-Altius-ALTCOV-P7UI22SNX3B6CLHW/2021	86	South_King_County	2021-06-19	False	84
USA/WA-Altius-ALTCOV-Y7Q5TEDFZMAVHXRO/2021	86	South_King_County	2021-06-19	False	84
USA/WA-UW-21071253252/2021	87	South_King_County	2021-07-12	True	85
USA/WA-CDC-QDX26765196/2021	87	South_King_County	2021-07-12	False	85
USA/WA-CDC-UW21051313670/2021	88	South_King_County	2021-05-13	True	86
USA/WA-CDC-UW21060169250/2021	89	North_King_County	2021-06-01	True	87
USA/WA-UW-21050424947/2021	90	South_King_County	2021-05-04	True	88
USA/WA-UW-21050583571/2021	90	South_King_County	2021-05-05	False	88
USA/WA-UW-64690/2021	91	North_King_County	2021-02-24	True	89
USA/WA-Altius-ALTCOV-PCJUTVWO4COWNBBD/2021	92	South_King_County	2021-06-08	True	90
USA/WA-Altius-ALTCOV-QPH5RFZ4QGC2G5BG/2021	93	North_King_County	2021-05-13	True	91
USA/WA-Altius-ALTCOV-CPYE2XTUX66X7AVG/2021	93	North_King_County	2021-05-13	False	91
USA/WA-UW-21060828263/2021	94	South_King_County	2021-06-08	True	92
USA/WA-CDC-UW21061048866/2021	94	South_King_County	2021-06-10	False	92
USA/WA-CDC-UW21052032974/2021	95	North_King_County	2021-05-20	True	93
USA/WA-UW-2021040885804/2021	96	North_King_County	2021-04-08	True	94
USA/WA-UW-21050884299/2021	97	South_King_County	2021-05-08	True	95
USA/WA-UW-21050866549/2021	97	South_King_County	2021-05-08	False	95
USA/WA-S7460/2021	98	South_King_County	2021-04-23	True	96
USA/WA-UW-21041717812/2021	99	South_King_County	2021-04-17	True	97
USA/WA-UW-21041465824/2021	99	South_King_County	2021-04-14	False	97
USA/WA-UW-2021041624866/2021	100	North_King_County	2021-04-16	True	98
USA/WA-UW-21042295319/2021	100	North_King_County	2021-04-22	False	98
USA/WA-UW-21042226302/2021	100	North_King_County	2021-04-22	False	98
USA/WA-UW-21042243539/2021	101	North_King_County	2021-04-22	True	99
USA/WA-UW-2021041451806/2021	102	South_King_County	2021-04-14	True	100
USA/WA-UW-2021041357868/2021	103	South_King_County	2021-04-13	True	101
USA/WA-Altius-ALTCOV-5BJ27WFJZZT6C3WL/2021	104	South_King_County	2021-04-21	True	102
USA/WA-Altius-ALTCOV-VI4RYDPZ35QWBDGN/2021	104	South_King_County	2021-04-21	False	102
USA/WA-Altius-ALTCOV-LIJYJ25SMD46EBFX/2021	105	South_King_County	2021-04-26	True	103
USA/WA-UW-67357/2021	106	North_King_County	2021-03-15	True	104
USA/WA-UW-21050317414/2021	107	North_King_County	2021-05-03	True	105
USA/WA-Altius-ALTCOV-E23LPNKIO7BU7MUB/2021	108	South_King_County	2021-06-12	True	106
USA/WA-Altius-ALTCOV-EABXHHCW32EUOHA5/2021	108	South_King_County	2021-06-12	False	106
USA/WA-S4755/2021	109	South_King_County	2021-01-26	True	107
USA/WA-UW-67222/2021	110	South_King_County	2021-03-13	True	108
USA/WA-S6018/2021	111	South_King_County	2021-03-26	True	109
USA/WA-Altius-ALTCOV-GLOHFDEL7HAJOLB5/2021	112	South_King_County	2021-04-28	True	110
USA/WA-UW-2021041075202/2021	112	North_King_County	2021-04-10	False	110
USA/WA-UW-2021041280751/2021	113	North_King_County	2021-04-12	True	111
USA/WA-UW-67239/2021	114	South_King_County	2021-03-13	True	112
USA/WA-UW-2021040504581/2021	115	North_King_County	2021-04-05	True	113
USA/WA-UW-2021040977222/2021	115	North_King_County	2021-04-09	False	113
USA/WA-UW-21042068221/2021	116	South_King_County	2021-04-20	True	114
USA/WA-UW-2021040501208/2021	116	North_King_County	2021-04-05	False	114
USA/WA-UW-2021040500938/2021	116	North_King_County	2021-04-05	False	114
USA/WA-UW-2021041466916/2021	116	North_King_County	2021-04-14	False	114
USA/WA-CDC-UW21042945680/2021	116	South_King_County	2021-04-29	False	114
USA/WA-Altius-ALTCOV-O67ASFZTZHI42IWI/2021	116	South_King_County	2021-05-06	False	114
USA/WA-Altius-ALTCOV-KD6QKZG5U4WVKLTQ/2021	116	South_King_County	2021-05-01	False	114
USA/WA-UW-2021041324230/2021	117	North_King_County	2021-04-13	True	115
USA/WA-UW-2021041487032/2021	117	North_King_County	2021-04-14	False	115
USA/WA-Altius-ALTCOV-XKGSQCRWFI4NTVD3/2021	117	North_King_County	2021-05-01	False	115
USA/WA-CDC-UW21050109981/2021	118	South_King_County	2021-05-01	True	116
USA/WA-UW-2021041504278/2021	119	North_King_County	2021-04-15	True	117
USA/WA-UW-21041450048/2021	119	North_King_County	2021-04-14	False	117
USA/WA-UW-2021041357088/2021	119	North_King_County	2021-04-13	False	117
USA/WA-CDC-LC0034499/2021	120	South_King_County	2021-03-19	True	118
USA/WA-CDC-UW21042746025/2021	121	North_King_County	2021-04-27	True	119
USA/WA-S4807/2021	122	North_King_County	2021-02-05	True	120
USA/WA-UW-2021040300774/2021	123	North_King_County	2021-04-03	True	121
USA/WA-UW-66951/2021	124	North_King_County	2021-03-08	True	122
USA/WA-UW-21042119341/2021	125	South_King_County	2021-04-21	True	123
USA/WA-UW-21042059554/2021	126	North_King_County	2021-04-20	True	124
USA/WA-UW-21041958215/2021	126	North_King_County	2021-04-19	False	124
USA/WA-S7626/2021	127	South_King_County	2021-05-04	True	125
USA/WA-S8418/2021	127	South_King_County	2021-05-13	False	125
USA/WA-Altius-ALTCOV-35RE724ZNBVFL4CV/2021	127	North_King_County	2021-05-19	False	125
USA/WA-UW-65372/2021	128	North_King_County	2021-02-27	True	126
USA/WA-UW-2021040506874/2021	129	North_King_County	2021-04-05	True	127
USA/WA-UW-2021040585939/2021	130	North_King_County	2021-04-05	True	128
USA/WA-UW-21051253745/2021	131	South_King_County	2021-05-12	True	129
USA/WA-UW-21051712901/2021	131	South_King_County	2021-05-17	False	129
USA/WA-S5532/2021	133	North_King_County	2021-03-08	True	130
USA/WA-S5829/2021	134	South_King_County	2021-03-18	True	131
USA/WA-UW-21041739009/2021	135	North_King_County	2021-04-17	True	132
USA/WA-UW-21041709943/2021	135	North_King_County	2021-04-17	False	132
USA/WA-UW-65912/2021	136	North_King_County	2021-02-23	True	133
USA/WA-UW-67092/2021	137	North_King_County	2021-03-15	True	134
USA/WA-UW-67562/2021	138	South_King_County	2021-03-17	True	135
USA/WA-UW-67102/2021	139	North_King_County	2021-03-15	True	136
USA/WA-UW-2021040208662/2021	140	North_King_County	2021-04-02	True	137
USA/WA-UW-21041044310/2021	140	North_King_County	2021-04-10	False	137
USA/WA-UW-67094/2021	141	North_King_County	2021-03-15	True	138
USA/WA-Altius-ALTCOV-T2SQRKXSWTPEPNHU/2021	142	South_King_County	2021-05-13	True	139
USA/WA-S8421/2021	142	South_King_County	2021-05-13	False	139
USA/WA-Altius-ALTCOV-GM2K2ZFADECIUVES/2021	142	South_King_County	2021-05-18	False	139
USA/WA-Altius-ALTCOV-ZQQLYZE6PDLIRFR6/2021	142	South_King_County	2021-05-26	False	139
USA/WA-UW-2021040104438/2021	143	South_King_County	2021-04-01	True	140
USA/WA-UW-2021040307698/2021	144	North_King_County	2021-04-03	True	141
USA/WA-CDC-UW21051370249/2021	145	North_King_County	2021-05-13	True	142
USA/WA-UW-21043027992/2021	145	South_King_County	2021-04-30	False	142
USA/WA-UW-21042000846/2021	145	South_King_County	2021-04-20	False	142
USA/WA-UW-65907/2021	146	South_King_County	2021-02-24	True	143
USA/WA-UW-65908/2021	146	South_King_County	2021-02-24	False	143
USA/WA-S5435/2021	147	South_King_County	2021-02-24	True	144
USA/WA-S5437/2021	147	South_King_County	2021-02-24	False	144
USA/WA-AG-10106323/2021	148	South_King_County	2021-02-27	True	145
USA/WA-UW-21072904649/2021	149	North_King_County	2021-07-29	True	146
USA/WA-UW-21072679934/2021	150	South_King_County	2021-07-26	True	147
USA/WA-UW-21072281539/2021	150	South_King_County	2021-07-22	False	147
USA/WA-UW-21051899191/2021	151	North_King_County	2021-05-18	True	148
USA/WA-CDC-UW21052083568/2021	152	North_King_County	2021-05-20	True	149
USA/WA-UW-21051868202/2021	152	North_King_County	2021-05-18	False	149
USA/WA-UW-68613/2021	153	North_King_County	2021-03-22	True	150
USA/WA-UW-2021041245025/2021	154	South_King_County	2021-04-12	True	151
USA/WA-CDC-UW21050337856/2021	155	North_King_County	2021-05-03	True	152
USA/WA-S6281/2021	156	South_King_County	2021-03-24	True	153
USA/WA-UW-21041753790/2021	156	North_King_County	2021-04-17	False	153
USA/WA-UW-68102/2021	156	North_King_County	2021-03-20	False	153
USA/WA-UW-68973/2021	156	South_King_County	2021-03-29	False	153
USA/WA-PHL-000217/2021	156	North_King_County	2021-03-28	False	153
USA/WA-UW-2021040205515/2021	156	South_King_County	2021-04-02	False	153
USA/WA-UW-68467/2021	156	South_King_County	2021-03-22	False	153
USA/WA-PHL-000210/2021	156	North_King_County	2021-03-24	False	153
USA/WA-Altius-ALTCOV-RMZAWZL32DBEZ3GX/2021	156	South_King_County	2021-04-13	False	153
USA/WA-UW-2021040599403/2021	156	North_King_County	2021-04-05	False	153
USA/WA-UW-2021041594882/2021	156	North_King_County	2021-04-15	False	153
USA/WA-Altius-ALTCOV-H3TERTEKUXG3DLAR/2021	156	South_King_County	2021-04-12	False	153
USA/WA-Altius-ALTCOV-ADCULVNKT7TTWNGK/2021	156	South_King_County	2021-04-27	False	153
USA/WA-Altius-ALTCOV-O75BT5IX27BCSMSI/2021	156	South_King_County	2021-04-16	False	153
USA/WA-UW-69194/2021	156	South_King_County	2021-03-25	False	153
USA/WA-CDC-UW21042025858/2021	156	South_King_County	2021-04-20	False	153
USA/WA-S8208/2021	156	South_King_County	2021-05-03	False	153
USA/WA-Altius-ALTCOV-GZH7PEZIRYAO6AQF/2021	156	South_King_County	2021-05-04	False	153
USA/WA-UW-21050512651/2021	156	South_King_County	2021-05-05	False	153
USA/WA-S6529/2021	157	South_King_County	2021-04-09	True	154
USA/WA-CDC-LC0045498/2021	157	South_King_County	2021-04-13	False	154
USA/WA-UW-2021040566158/2021	158	North_King_County	2021-04-05	True	155
USA/WA-UW-21041676818/2021	159	North_King_County	2021-04-16	True	156
USA/WA-S5964/2021	159	South_King_County	2021-03-22	False	156
USA/WA-S5965/2021	159	South_King_County	2021-03-22	False	156
USA/WA-UW-21042204444/2021	160	North_King_County	2021-04-22	True	157
USA/WA-UW-21042070101/2021	160	South_King_County	2021-04-20	False	157
USA/WA-UW-21042394560/2021	160	South_King_County	2021-04-23	False	157
USA/WA-UW-21042416863/2021	160	South_King_County	2021-04-24	False	157
USA/WA-CDC-UW21050119984/2021	160	North_King_County	2021-05-01	False	157
USA/WA-UW-21041298176/2021	161	South_King_County	2021-04-12	True	158
USA/WA-UW-2021040601431/2021	162	North_King_County	2021-04-06	True	159
USA/WA-S6907/2021	163	North_King_County	2021-04-12	True	160
USA/WA-S6811/2021	163	South_King_County	2021-04-05	False	160
USA/WA-UW-2021040707491/2021	164	North_King_County	2021-04-07	True	161
USA/WA-UW-2021041504018/2021	165	North_King_County	2021-04-15	True	162
USA/WA-Altius-ALTCOV-AHXD776ZV6FEJFH7/2021	166	South_King_County	2021-04-14	True	163
USA/WA-Altius-ALTCOV-ZR46YJK3QVD4XHSG/2021	167	South_King_County	2021-04-26	True	164
USA/WA-UW-2021041495893/2021	167	North_King_County	2021-04-14	False	164
USA/WA-S8235/2021	168	North_King_County	2021-05-03	True	165
USA/WA-UW-21051559497/2021	168	South_King_County	2021-05-15	False	165
USA/WA-UW-21051583093/2021	168	South_King_County	2021-05-15	False	165
USA/WA-UW-21051509820/2021	168	South_King_County	2021-05-15	False	165
USA/WA-Altius-ALTCOV-JDZSM6HWKQHHBWSF/2021	168	South_King_County	2021-05-14	False	165
USA/WA-UW-21051575019/2021	168	South_King_County	2021-05-15	False	165
USA/WA-CDC-UW21051237796/2021	168	South_King_County	2021-05-12	False	165
USA/WA-Altius-ALTCOV-52CKVSLRQ5P5EUDP/2021	169	South_King_County	2021-04-28	True	166
USA/WA-Altius-ALTCOV-34NZR2H6WAVNKBRL/2021	169	South_King_County	2021-04-28	False	166
USA/WA-Altius-ALTCOV-VJGX3WRJSGMJ2BGM/2021	169	South_King_County	2021-04-15	False	166
USA/WA-CDC-UW21071577999/2021	170	North_King_County	2021-07-15	True	167
USA/WA-S8254/2021	171	South_King_County	2021-05-05	True	168
USA/WA-CDC-LC0092022/2021	172	North_King_County	2021-06-30	True	169
USA/WA-CDC-UW21060171810/2021	173	South_King_County	2021-06-01	True	170
USA/WA-UW-2021040792827/2021	174	North_King_County	2021-04-07	True	171
USA/WA-UW-2021040203336/2021	175	North_King_County	2021-04-02	True	172
USA/WA-S6887/2021	176	South_King_County	2021-04-06	True	173
USA/WA-CDC-UW21051428325/2021	177	South_King_County	2021-05-14	True	174
USA/WA-UW-21052859460/2021	178	South_King_County	2021-05-28	True	175
USA/WA-UW-21052727933/2021	178	South_King_County	2021-05-27	False	175
USA/WA-CDC-UW21051788051/2021	179	South_King_County	2021-05-17	True	176
USA/WA-Altius-ALTCOV-PACKPYH3QJNXCVHZ/2021	180	South_King_County	2021-05-22	True	177
USA/WA-CDC-UW21061129981/2021	180	North_King_County	2021-06-11	False	177
USA/WA-CDC-UW21061076601/2021	180	South_King_County	2021-06-10	False	177
USA/WA-UW-21060876169/2021	180	South_King_County	2021-06-08	False	177
USA/WA-S10373/2021	181	North_King_County	2021-04-27	True	178
USA/WA-UW-65734/2021	182	North_King_County	2021-03-03	True	179
USA/WA-UW-2021040706296/2021	182	North_King_County	2021-04-07	False	179
USA/WA-UW-2021040787312/2021	182	North_King_County	2021-04-07	False	179
USA/WA-UW-21052737324/2021	183	South_King_County	2021-05-27	True	180
USA/WA-S5952/2021	184	North_King_County	2021-03-29	True	181
USA/WA-UW-21042894183/2021	185	North_King_County	2021-04-28	True	182
USA/WA-UW-21042864405/2021	186	North_King_County	2021-04-28	True	183
USA/WA-UW-21042846161/2021	187	North_King_County	2021-04-28	True	184
USA/WA-UW-21042897085/2021	187	South_King_County	2021-04-28	False	184
USA/WA-UW-21042822007/2021	187	North_King_County	2021-04-28	False	184
USA/WA-UW-21043067629/2021	187	South_King_County	2021-04-30	False	184
USA/WA-UW-21042377432/2021	187	North_King_County	2021-04-23	False	184
USA/WA-CDC-UW21060887990/2021	188	South_King_County	2021-06-08	True	185
USA/WA-UW-21043092882/2021	188	North_King_County	2021-04-30	False	185
USA/WA-Altius-ALTCOV-OQJVRXR4JAAXBYRQ/2021	189	South_King_County	2021-05-03	True	186
USA/WA-CDC-UW21051093771/2021	189	South_King_County	2021-05-10	False	186
USA/WA-CDC-UW21050524533/2021	190	North_King_County	2021-05-05	True	187
USA/WA-CDC-UW21050391925/2021	190	South_King_County	2021-05-03	False	187
USA/WA-S5792/2021	191	South_King_County	2021-03-18	True	188
USA/WA-UW-21042954369/2021	192	North_King_County	2021-04-29	True	189
USA/WA-CDC-UW21052528804/2021	193	South_King_County	2021-05-25	True	190
USA/WA-CDC-UW21052550566/2021	194	South_King_County	2021-05-25	True	191
USA/WA-UW-21052783245/2021	194	South_King_County	2021-05-27	False	191
USA/WA-S8782/2021	194	South_King_County	2021-05-28	False	191
USA/WA-Altius-ALTCOV-2D4BM5W2HYFU6KSM/2021	195	South_King_County	2021-04-26	True	192
USA/WA-CDC-UW21052506498/2021	195	South_King_County	2021-05-25	False	192
USA/WA-S9044/2021	195	South_King_County	2021-06-09	False	192
USA/WA-Altius-ALTCOV-NU2GA3HV2Q5QL4HY/2021	195	South_King_County	2021-06-08	False	192
USA/WA-Altius-ALTCOV-4M4OITU3P73AFHFB/2021	195	South_King_County	2021-04-12	False	192
USA/WA-Altius-ALTCOV-L2VDBGTFPOUTHBHF/2021	195	South_King_County	2021-04-19	False	192
USA/WA-Altius-ALTCOV-ICE5H4YTHGCFU2F2/2021	195	South_King_County	2021-04-23	False	192
USA/WA-Altius-ALTCOV-3ZCHFXP4QMEJUSXU/2021	195	South_King_County	2021-04-27	False	192
USA/WA-Altius-ALTCOV-VUO7HH576Q37NFDZ/2021	195	South_King_County	2021-04-29	False	192
USA/WA-Altius-ALTCOV-VJVP7WSLVWTGBBTW/2021	196	South_King_County	2021-05-18	True	193
USA/WA-Altius-ALTCOV-SSPVC7G23TA6ARVP/2021	196	South_King_County	2021-05-12	False	193
USA/WA-Altius-ALTCOV-BMYDN6RR6Q6EMHEK/2021	196	South_King_County	2021-05-13	False	193
USA/WA-Altius-ALTCOV-V3RPFC3YVJPK2ZBY/2021	196	South_King_County	2021-05-13	False	193
USA/WA-UW-2021040738476/2021	197	South_King_County	2021-04-07	True	194
USA/WA-UW-2021040921981/2021	197	South_King_County	2021-04-09	False	194
USA/WA-Altius-ALTCOV-R5GLLYJ7GELZQNXJ/2021	197	South_King_County	2021-05-06	False	194
USA/WA-UW-21042860059/2021	198	North_King_County	2021-04-28	True	195
USA/WA-UW-21050354160/2021	199	North_King_County	2021-05-03	True	196
USA/WA-S8827/2021	199	North_King_County	2021-05-06	False	196
