strain	cluster	location	date	is_unique	new_clusters
USA/WA-UW-21050529358/2021	1	North_King_County	2021-05-05	True	1
USA/WA-UW-21050476716/2021	2	North_King_County	2021-05-04	True	2
USA/WA-UW-2021041397284/2021	3	North_King_County	2021-04-13	True	3
USA/WA-UW-2021041489375/2021	3	North_King_County	2021-04-14	False	3
USA/WA-Altius-ALTCOV-NBDJ5QXGCUU6C2F6/2021	3	South_King_County	2021-04-27	False	3
USA/WA-UW-65398/2021	4	North_King_County	2021-02-27	True	4
USA/WA-UW-69277/2021	5	South_King_County	2021-03-26	True	5
USA/WA-S5493/2021	6	North_King_County	2021-02-25	True	6
USA/WA-S8260/2021	7	North_King_County	2021-05-05	True	7
USA/WA-UW-21042927377/2021	8	North_King_County	2021-04-29	True	8
USA/WA-Altius-ALTCOV-NJ5ABYTQI4ZIAXEZ/2021	8	North_King_County	2021-05-11	False	8
USA/WA-Altius-ALTCOV-NP4FGPSTBZX6KUF4/2021	8	North_King_County	2021-05-11	False	8
USA/WA-UW-21042993213/2021	9	North_King_County	2021-04-29	True	9
USA/WA-CDC-UW21051776188/2021	10	North_King_County	2021-05-17	True	10
USA/WA-UW-21050700487/2021	11	North_King_County	2021-05-07	True	11
USA/WA-S8135/2021	12	North_King_County	2021-04-09	True	12
USA/WA-CDC-UW21051213031/2021	13	North_King_County	2021-05-12	True	13
USA/WA-UW-21042250921/2021	14	North_King_County	2021-04-22	True	14
USA/WA-UW-21050381501/2021	15	North_King_County	2021-05-03	True	15
USA/WA-UW-21050324498/2021	16	North_King_County	2021-05-03	True	16
USA/WA-CDC-UW21050429001/2021	17	North_King_County	2021-05-04	True	17
USA/WA-CDC-UW21050465939/2021	18	North_King_County	2021-05-04	True	18
USA/WA-UW-21050348804/2021	19	South_King_County	2021-05-03	True	19
USA/WA-CDC-UW21050452118/2021	20	North_King_County	2021-05-04	True	20
USA/WA-UW-21050478813/2021	21	North_King_County	2021-05-04	True	21
USA/WA-S5728/2021	22	North_King_County	2021-03-17	True	22
USA/WA-S5645/2021	23	South_King_County	2021-03-12	True	23
USA/WA-S5646/2021	23	South_King_County	2021-03-12	False	23
USA/WA-UW-69000/2021	25	North_King_County	2021-03-29	True	24
USA/WA-UW-2021040107323/2021	25	North_King_County	2021-04-01	False	24
USA/WA-UW-67215/2021	25	South_King_County	2021-03-12	False	24
USA/WA-UW-67325/2021	25	North_King_County	2021-03-12	False	24
USA/WA-UW-67811/2021	25	South_King_County	2021-03-20	False	24
USA/WA-UW-69659/2021	25	North_King_County	2021-03-25	False	24
USA/WA-UW-68931/2021	25	North_King_County	2021-03-29	False	24
USA/WA-UW-21041259014/2021	25	North_King_County	2021-04-12	False	24
USA/WA-S6129/2021	25	North_King_County	2021-03-31	False	24
USA/WA-S8170/2021	25	North_King_County	2021-03-29	False	24
USA/WA-UW-2021040509964/2021	25	North_King_County	2021-04-05	False	24
USA/WA-CDC-UW21041992578/2021	25	North_King_County	2021-04-19	False	24
USA/WA-UW-21042722641/2021	25	North_King_County	2021-04-27	False	24
USA/WA-UW-21042672109/2021	25	North_King_County	2021-04-26	False	24
USA/WA-UW-21042077297/2021	25	North_King_County	2021-04-20	False	24
USA/WA-UW-21042266196/2021	25	North_King_County	2021-04-22	False	24
USA/WA-UW-68975/2021	25	North_King_County	2021-03-29	False	24
USA/WA-UW-21041257743/2021	25	North_King_County	2021-04-12	False	24
USA/WA-Altius-ALTCOV-3OHVIN3XXFJESISV/2021	25	South_King_County	2021-05-10	False	24
USA/WA-Altius-ALTCOV-MISNH5XTVRUXYADN/2021	25	South_King_County	2021-05-12	False	24
USA/WA-UW-21041652157/2021	25	North_King_County	2021-04-16	False	24
USA/WA-UW-21041753921/2021	25	North_King_County	2021-04-17	False	24
USA/WA-Altius-ALTCOV-SM3RH355BUFLZVSN/2021	25	North_King_County	2021-04-17	False	24
USA/WA-CDC-UW21050154667/2021	26	South_King_County	2021-05-01	True	25
USA/WA-CDC-LC0032021/2021	27	South_King_County	2021-03-15	True	26
USA/WA-UW-67355/2021	28	North_King_County	2021-03-15	True	27
USA/WA-UW-67169/2021	29	South_King_County	2021-03-14	True	28
USA/WA-UW-68998/2021	30	North_King_County	2021-03-29	True	29
USA/WA-UW-2021033006696/2021	30	North_King_County	2021-03-30	False	29
USA/WA-UW-2021033105059/2021	31	North_King_County	2021-03-31	True	30
USA/WA-UW-2021041505857/2021	32	North_King_County	2021-04-15	True	31
USA/WA-UW-21041722317/2021	32	North_King_County	2021-04-17	False	31
USA/WA-UW-21041984785/2021	32	North_King_County	2021-04-19	False	31
USA/WA-UW-2021041442304/2021	33	North_King_County	2021-04-14	True	32
USA/WA-UW-2021040506973/2021	34	North_King_County	2021-04-05	True	33
USA/WA-UW-2021041445266/2021	35	North_King_County	2021-04-14	True	34
USA/WA-UW-21042058324/2021	36	North_King_County	2021-04-20	True	35
USA/WA-Altius-ALTCOV-UIT6P4TIQ7MV4GVD/2021	37	South_King_County	2021-04-21	True	36
USA/WA-S5499/2021	38	North_King_County	2021-02-28	True	37
USA/WA-UW-2021040202199/2021	39	North_King_County	2021-04-02	True	38
