strain	cluster	location	date	variant
USA/WA-Altius-ALTCOV-ZQQLYZE6PDLIRFR6/2021	142	South_King_County	2021-05-26	alpha
USA/WA-UW-2021040104438/2021	143	South_King_County	2021-04-01	alpha
USA/WA-UW-2021040307698/2021	144	North_King_County	2021-04-03	alpha
USA/WA-CDC-UW21051370249/2021	145	North_King_County	2021-05-13	alpha
USA/WA-UW-21043027992/2021	145	South_King_County	2021-04-30	alpha
USA/WA-UW-21042000846/2021	145	South_King_County	2021-04-20	alpha
USA/WA-UW-65907/2021	146	South_King_County	2021-02-24	alpha
USA/WA-UW-65908/2021	146	South_King_County	2021-02-24	alpha
USA/WA-S5435/2021	147	South_King_County	2021-02-24	alpha
USA/WA-S5437/2021	147	South_King_County	2021-02-24	alpha
USA/WA-AG-10106323/2021	148	South_King_County	2021-02-27	alpha
USA/WA-UW-21072904649/2021	149	North_King_County	2021-07-29	alpha
USA/WA-UW-21072679934/2021	150	South_King_County	2021-07-26	alpha
USA/WA-UW-21072281539/2021	150	South_King_County	2021-07-22	alpha
USA/WA-UW-21051899191/2021	151	North_King_County	2021-05-18	alpha
USA/WA-CDC-UW21052083568/2021	152	North_King_County	2021-05-20	alpha
USA/WA-UW-21051868202/2021	152	North_King_County	2021-05-18	alpha
USA/WA-UW-68613/2021	153	North_King_County	2021-03-22	alpha
USA/WA-UW-2021041245025/2021	154	South_King_County	2021-04-12	alpha
USA/WA-CDC-UW21050337856/2021	155	North_King_County	2021-05-03	alpha
USA/WA-S6281/2021	156	South_King_County	2021-03-24	alpha
USA/WA-UW-21041753790/2021	156	North_King_County	2021-04-17	alpha
USA/WA-UW-68102/2021	156	North_King_County	2021-03-20	alpha
USA/WA-UW-68973/2021	156	South_King_County	2021-03-29	alpha
USA/WA-PHL-000217/2021	156	North_King_County	2021-03-28	alpha
USA/WA-UW-2021040205515/2021	156	South_King_County	2021-04-02	alpha
USA/WA-UW-68467/2021	156	South_King_County	2021-03-22	alpha
USA/WA-PHL-000210/2021	156	North_King_County	2021-03-24	alpha
USA/WA-Altius-ALTCOV-RMZAWZL32DBEZ3GX/2021	156	South_King_County	2021-04-13	alpha
USA/WA-UW-2021040599403/2021	156	North_King_County	2021-04-05	alpha
USA/WA-UW-2021041594882/2021	156	North_King_County	2021-04-15	alpha
USA/WA-Altius-ALTCOV-H3TERTEKUXG3DLAR/2021	156	South_King_County	2021-04-12	alpha
USA/WA-Altius-ALTCOV-ADCULVNKT7TTWNGK/2021	156	South_King_County	2021-04-27	alpha
USA/WA-Altius-ALTCOV-O75BT5IX27BCSMSI/2021	156	South_King_County	2021-04-16	alpha
USA/WA-UW-69194/2021	156	South_King_County	2021-03-25	alpha
USA/WA-CDC-UW21042025858/2021	156	South_King_County	2021-04-20	alpha
USA/WA-S8208/2021	156	South_King_County	2021-05-03	alpha
USA/WA-Altius-ALTCOV-GZH7PEZIRYAO6AQF/2021	156	South_King_County	2021-05-04	alpha
USA/WA-UW-21050512651/2021	156	South_King_County	2021-05-05	alpha
USA/WA-S6529/2021	157	South_King_County	2021-04-09	alpha
USA/WA-CDC-LC0045498/2021	157	South_King_County	2021-04-13	alpha
USA/WA-UW-2021040566158/2021	158	North_King_County	2021-04-05	alpha
USA/WA-UW-21041676818/2021	159	North_King_County	2021-04-16	alpha
USA/WA-S5964/2021	159	South_King_County	2021-03-22	alpha
USA/WA-S5965/2021	159	South_King_County	2021-03-22	alpha
USA/WA-UW-21042204444/2021	160	North_King_County	2021-04-22	alpha
USA/WA-UW-21042070101/2021	160	South_King_County	2021-04-20	alpha
USA/WA-UW-21042394560/2021	160	South_King_County	2021-04-23	alpha
USA/WA-UW-21042416863/2021	160	South_King_County	2021-04-24	alpha
USA/WA-CDC-UW21050119984/2021	160	North_King_County	2021-05-01	alpha
USA/WA-UW-21041298176/2021	161	South_King_County	2021-04-12	alpha
USA/WA-UW-2021040601431/2021	162	North_King_County	2021-04-06	alpha
USA/WA-S6907/2021	163	North_King_County	2021-04-12	alpha
USA/WA-S6811/2021	163	South_King_County	2021-04-05	alpha
USA/WA-UW-2021040707491/2021	164	North_King_County	2021-04-07	alpha
USA/WA-UW-2021041504018/2021	165	North_King_County	2021-04-15	alpha
USA/WA-Altius-ALTCOV-AHXD776ZV6FEJFH7/2021	166	South_King_County	2021-04-14	alpha
USA/WA-Altius-ALTCOV-ZR46YJK3QVD4XHSG/2021	167	South_King_County	2021-04-26	alpha
USA/WA-UW-2021041495893/2021	167	North_King_County	2021-04-14	alpha
USA/WA-S8235/2021	168	North_King_County	2021-05-03	alpha
USA/WA-UW-21051559497/2021	168	South_King_County	2021-05-15	alpha
USA/WA-UW-21051583093/2021	168	South_King_County	2021-05-15	alpha
USA/WA-UW-21051509820/2021	168	South_King_County	2021-05-15	alpha
USA/WA-Altius-ALTCOV-JDZSM6HWKQHHBWSF/2021	168	South_King_County	2021-05-14	alpha
USA/WA-UW-21051575019/2021	168	South_King_County	2021-05-15	alpha
USA/WA-CDC-UW21051237796/2021	168	South_King_County	2021-05-12	alpha
USA/WA-Altius-ALTCOV-52CKVSLRQ5P5EUDP/2021	169	South_King_County	2021-04-28	alpha
USA/WA-Altius-ALTCOV-34NZR2H6WAVNKBRL/2021	169	South_King_County	2021-04-28	alpha
USA/WA-Altius-ALTCOV-VJGX3WRJSGMJ2BGM/2021	169	South_King_County	2021-04-15	alpha
USA/WA-CDC-UW21071577999/2021	170	North_King_County	2021-07-15	alpha
USA/WA-S8254/2021	171	South_King_County	2021-05-05	alpha
USA/WA-CDC-LC0092022/2021	172	North_King_County	2021-06-30	alpha
USA/WA-CDC-UW21060171810/2021	173	South_King_County	2021-06-01	alpha
USA/WA-UW-2021040792827/2021	174	North_King_County	2021-04-07	alpha
USA/WA-UW-2021040203336/2021	175	North_King_County	2021-04-02	alpha
USA/WA-S6887/2021	176	South_King_County	2021-04-06	alpha
USA/WA-CDC-UW21051428325/2021	177	South_King_County	2021-05-14	alpha
USA/WA-UW-21052859460/2021	178	South_King_County	2021-05-28	alpha
USA/WA-UW-21052727933/2021	178	South_King_County	2021-05-27	alpha
USA/WA-CDC-UW21051788051/2021	179	South_King_County	2021-05-17	alpha
USA/WA-Altius-ALTCOV-PACKPYH3QJNXCVHZ/2021	180	South_King_County	2021-05-22	alpha
USA/WA-CDC-UW21061129981/2021	180	North_King_County	2021-06-11	alpha
USA/WA-CDC-UW21061076601/2021	180	South_King_County	2021-06-10	alpha
USA/WA-UW-21060876169/2021	180	South_King_County	2021-06-08	alpha
USA/WA-S10373/2021	181	North_King_County	2021-04-27	alpha
USA/WA-UW-65734/2021	182	North_King_County	2021-03-03	alpha
USA/WA-UW-2021040706296/2021	182	North_King_County	2021-04-07	alpha
USA/WA-UW-2021040787312/2021	182	North_King_County	2021-04-07	alpha
USA/WA-UW-21052737324/2021	183	South_King_County	2021-05-27	alpha
USA/WA-S5952/2021	184	North_King_County	2021-03-29	alpha
USA/WA-UW-21042894183/2021	185	North_King_County	2021-04-28	alpha
USA/WA-UW-21042864405/2021	186	North_King_County	2021-04-28	alpha
USA/WA-UW-21042846161/2021	187	North_King_County	2021-04-28	alpha
USA/WA-UW-21042897085/2021	187	South_King_County	2021-04-28	alpha
USA/WA-UW-21042822007/2021	187	North_King_County	2021-04-28	alpha
USA/WA-UW-21043067629/2021	187	South_King_County	2021-04-30	alpha
USA/WA-UW-21042377432/2021	187	North_King_County	2021-04-23	alpha
USA/WA-CDC-UW21060887990/2021	188	South_King_County	2021-06-08	alpha
USA/WA-UW-21043092882/2021	188	North_King_County	2021-04-30	alpha
USA/WA-Altius-ALTCOV-OQJVRXR4JAAXBYRQ/2021	189	South_King_County	2021-05-03	alpha
USA/WA-CDC-UW21051093771/2021	189	South_King_County	2021-05-10	alpha
USA/WA-CDC-UW21050524533/2021	190	North_King_County	2021-05-05	alpha
USA/WA-CDC-UW21050391925/2021	190	South_King_County	2021-05-03	alpha
USA/WA-S5792/2021	191	South_King_County	2021-03-18	alpha
USA/WA-UW-21042954369/2021	192	North_King_County	2021-04-29	alpha
USA/WA-CDC-UW21052528804/2021	193	South_King_County	2021-05-25	alpha
USA/WA-CDC-UW21052550566/2021	194	South_King_County	2021-05-25	alpha
USA/WA-UW-21052783245/2021	194	South_King_County	2021-05-27	alpha
USA/WA-S8782/2021	194	South_King_County	2021-05-28	alpha
USA/WA-Altius-ALTCOV-2D4BM5W2HYFU6KSM/2021	195	South_King_County	2021-04-26	alpha
USA/WA-CDC-UW21052506498/2021	195	South_King_County	2021-05-25	alpha
USA/WA-S9044/2021	195	South_King_County	2021-06-09	alpha
USA/WA-Altius-ALTCOV-NU2GA3HV2Q5QL4HY/2021	195	South_King_County	2021-06-08	alpha
USA/WA-Altius-ALTCOV-4M4OITU3P73AFHFB/2021	195	South_King_County	2021-04-12	alpha
USA/WA-Altius-ALTCOV-L2VDBGTFPOUTHBHF/2021	195	South_King_County	2021-04-19	alpha
USA/WA-Altius-ALTCOV-ICE5H4YTHGCFU2F2/2021	195	South_King_County	2021-04-23	alpha
USA/WA-Altius-ALTCOV-3ZCHFXP4QMEJUSXU/2021	195	South_King_County	2021-04-27	alpha
USA/WA-Altius-ALTCOV-VUO7HH576Q37NFDZ/2021	195	South_King_County	2021-04-29	alpha
USA/WA-Altius-ALTCOV-VJVP7WSLVWTGBBTW/2021	196	South_King_County	2021-05-18	alpha
USA/WA-Altius-ALTCOV-SSPVC7G23TA6ARVP/2021	196	South_King_County	2021-05-12	alpha
USA/WA-Altius-ALTCOV-BMYDN6RR6Q6EMHEK/2021	196	South_King_County	2021-05-13	alpha
USA/WA-Altius-ALTCOV-V3RPFC3YVJPK2ZBY/2021	196	South_King_County	2021-05-13	alpha
USA/WA-UW-2021040738476/2021	197	South_King_County	2021-04-07	alpha
USA/WA-UW-2021040921981/2021	197	South_King_County	2021-04-09	alpha
USA/WA-Altius-ALTCOV-R5GLLYJ7GELZQNXJ/2021	197	South_King_County	2021-05-06	alpha
USA/WA-UW-21042860059/2021	198	North_King_County	2021-04-28	alpha
USA/WA-UW-21050354160/2021	199	North_King_County	2021-05-03	alpha
USA/WA-S8827/2021	199	North_King_County	2021-05-06	alpha
USA/WA-Altius-ALTCOV-K2RFH6LT7CFVE7HJ/2021	199	South_King_County	2021-04-28	alpha
