strain	cluster	location	date	variant
USA/WA-UW-21050529358/2021	1	North_King_County	2021-05-05	alpha
USA/WA-UW-21050476716/2021	2	North_King_County	2021-05-04	alpha
USA/WA-UW-2021041397284/2021	3	North_King_County	2021-04-13	alpha
USA/WA-UW-2021041489375/2021	3	North_King_County	2021-04-14	alpha
USA/WA-Altius-ALTCOV-NBDJ5QXGCUU6C2F6/2021	3	South_King_County	2021-04-27	alpha
USA/WA-UW-65398/2021	4	North_King_County	2021-02-27	alpha
USA/WA-UW-69277/2021	5	South_King_County	2021-03-26	alpha
USA/WA-S5493/2021	6	North_King_County	2021-02-25	alpha
USA/WA-S8260/2021	7	North_King_County	2021-05-05	alpha
USA/WA-UW-21042927377/2021	8	North_King_County	2021-04-29	alpha
USA/WA-Altius-ALTCOV-NJ5ABYTQI4ZIAXEZ/2021	8	North_King_County	2021-05-11	alpha
USA/WA-Altius-ALTCOV-NP4FGPSTBZX6KUF4/2021	8	North_King_County	2021-05-11	alpha
USA/WA-UW-21042993213/2021	9	North_King_County	2021-04-29	alpha
USA/WA-CDC-UW21051776188/2021	10	North_King_County	2021-05-17	alpha
USA/WA-UW-21050700487/2021	11	North_King_County	2021-05-07	alpha
USA/WA-S8135/2021	12	North_King_County	2021-04-09	alpha
USA/WA-CDC-UW21051213031/2021	13	North_King_County	2021-05-12	alpha
USA/WA-UW-21042250921/2021	14	North_King_County	2021-04-22	alpha
USA/WA-UW-21050381501/2021	15	North_King_County	2021-05-03	alpha
USA/WA-UW-21050324498/2021	16	North_King_County	2021-05-03	alpha
USA/WA-CDC-UW21050429001/2021	17	North_King_County	2021-05-04	alpha
USA/WA-CDC-UW21050465939/2021	18	North_King_County	2021-05-04	alpha
USA/WA-UW-21050348804/2021	19	South_King_County	2021-05-03	alpha
USA/WA-CDC-UW21050452118/2021	20	North_King_County	2021-05-04	alpha
USA/WA-UW-21050478813/2021	21	North_King_County	2021-05-04	alpha
USA/WA-S5728/2021	22	North_King_County	2021-03-17	alpha
USA/WA-S5645/2021	23	South_King_County	2021-03-12	alpha
USA/WA-S5646/2021	23	South_King_County	2021-03-12	alpha
USA/WA-UW-69000/2021	25	North_King_County	2021-03-29	alpha
USA/WA-UW-2021040107323/2021	25	North_King_County	2021-04-01	alpha
USA/WA-UW-67215/2021	25	South_King_County	2021-03-12	alpha
USA/WA-UW-67325/2021	25	North_King_County	2021-03-12	alpha
USA/WA-UW-67811/2021	25	South_King_County	2021-03-20	alpha
USA/WA-UW-69659/2021	25	North_King_County	2021-03-25	alpha
USA/WA-UW-68931/2021	25	North_King_County	2021-03-29	alpha
USA/WA-UW-21041259014/2021	25	North_King_County	2021-04-12	alpha
USA/WA-S6129/2021	25	North_King_County	2021-03-31	alpha
USA/WA-S8170/2021	25	North_King_County	2021-03-29	alpha
USA/WA-UW-2021040509964/2021	25	North_King_County	2021-04-05	alpha
USA/WA-CDC-UW21041992578/2021	25	North_King_County	2021-04-19	alpha
USA/WA-UW-21042722641/2021	25	North_King_County	2021-04-27	alpha
USA/WA-UW-21042672109/2021	25	North_King_County	2021-04-26	alpha
USA/WA-UW-21042077297/2021	25	North_King_County	2021-04-20	alpha
USA/WA-UW-21042266196/2021	25	North_King_County	2021-04-22	alpha
USA/WA-UW-68975/2021	25	North_King_County	2021-03-29	alpha
USA/WA-UW-21041257743/2021	25	North_King_County	2021-04-12	alpha
USA/WA-Altius-ALTCOV-3OHVIN3XXFJESISV/2021	25	South_King_County	2021-05-10	alpha
USA/WA-Altius-ALTCOV-MISNH5XTVRUXYADN/2021	25	South_King_County	2021-05-12	alpha
USA/WA-UW-21041652157/2021	25	North_King_County	2021-04-16	alpha
USA/WA-UW-21041753921/2021	25	North_King_County	2021-04-17	alpha
USA/WA-Altius-ALTCOV-SM3RH355BUFLZVSN/2021	25	North_King_County	2021-04-17	alpha
USA/WA-CDC-UW21050154667/2021	26	South_King_County	2021-05-01	alpha
USA/WA-CDC-LC0032021/2021	27	South_King_County	2021-03-15	alpha
USA/WA-UW-67355/2021	28	North_King_County	2021-03-15	alpha
USA/WA-UW-67169/2021	29	South_King_County	2021-03-14	alpha
USA/WA-UW-68998/2021	30	North_King_County	2021-03-29	alpha
USA/WA-UW-2021033006696/2021	30	North_King_County	2021-03-30	alpha
USA/WA-UW-2021033105059/2021	31	North_King_County	2021-03-31	alpha
USA/WA-UW-2021041505857/2021	32	North_King_County	2021-04-15	alpha
USA/WA-UW-21041722317/2021	32	North_King_County	2021-04-17	alpha
USA/WA-UW-21041984785/2021	32	North_King_County	2021-04-19	alpha
USA/WA-UW-2021041442304/2021	33	North_King_County	2021-04-14	alpha
USA/WA-UW-2021040506973/2021	34	North_King_County	2021-04-05	alpha
USA/WA-UW-2021041445266/2021	35	North_King_County	2021-04-14	alpha
USA/WA-UW-21042058324/2021	36	North_King_County	2021-04-20	alpha
USA/WA-Altius-ALTCOV-UIT6P4TIQ7MV4GVD/2021	37	South_King_County	2021-04-21	alpha
USA/WA-S5499/2021	38	North_King_County	2021-02-28	alpha
USA/WA-UW-2021040202199/2021	39	North_King_County	2021-04-02	alpha
USA/WA-UW-2021040645885/2021	39	North_King_County	2021-04-06	alpha
USA/WA-UW-2021040600348/2021	39	North_King_County	2021-04-06	alpha
USA/WA-UW-2021040664202/2021	39	North_King_County	2021-04-06	alpha
USA/WA-UW-2021041271739/2021	41	North_King_County	2021-04-12	alpha
USA/WA-UW-2021041416068/2021	42	North_King_County	2021-04-14	alpha
USA/WA-CDC-UW21061853056/2021	43	North_King_County	2021-06-18	alpha
USA/WA-CDC-UW21061553212/2021	44	North_King_County	2021-06-15	alpha
USA/WA-UW-21042800996/2021	45	North_King_County	2021-04-28	alpha
USA/WA-UW-21042872983/2021	46	North_King_County	2021-04-28	alpha
USA/WA-Altius-ALTCOV-4QSAQFQAPTI6VISY/2021	47	South_King_County	2021-06-05	alpha
USA/WA-Altius-ALTCOV-G6GGWSNOAF3LABAN/2021	47	South_King_County	2021-06-07	alpha
USA/WA-Altius-ALTCOV-3G4DCNVU5SFSBEHB/2021	48	South_King_County	2021-06-07	alpha
USA/WA-CDC-UW21060762455/2021	49	North_King_County	2021-06-07	alpha
USA/WA-CDC-UW21060302748/2021	50	North_King_County	2021-06-03	alpha
USA/WA-UW-2021040306191/2021	51	North_King_County	2021-04-03	alpha
USA/WA-UW-66100/2021	52	North_King_County	2021-03-05	alpha
USA/WA-CDC-UW21050128211/2021	53	North_King_County	2021-05-01	alpha
USA/WA-CDC-UW21051317535/2021	54	South_King_County	2021-05-13	alpha
USA/WA-CDC-UW21051101655/2021	55	North_King_County	2021-05-11	alpha
USA/WA-UW-21042051353/2021	56	North_King_County	2021-04-20	alpha
USA/WA-UW-2021041381286/2021	57	South_King_County	2021-04-13	alpha
USA/WA-CDC-UW21072026636/2021	58	North_King_County	2021-07-20	alpha
USA/WA-CDC-UW21050627355/2021	59	North_King_County	2021-05-06	alpha
USA/WA-CDC-LC0070938/2021	60	North_King_County	2021-06-03	alpha
USA/WA-S7434/2021	61	South_King_County	2021-04-21	alpha
USA/WA-CDC-UW21061451910/2021	61	South_King_County	2021-06-14	alpha
USA/WA-UW-21050827557/2021	62	South_King_County	2021-05-08	alpha
USA/WA-UW-69310/2021	63	North_King_County	2021-03-26	alpha
USA/WA-UW-2021040103356/2021	63	North_King_County	2021-04-01	alpha
USA/WA-S8196/2021	64	North_King_County	2021-05-03	alpha
USA/WA-Altius-ALTCOV-ZKULUWUDPPX5RXQM/2021	64	North_King_County	2021-04-30	alpha
USA/WA-CDC-UW21051047046/2021	65	North_King_County	2021-05-10	alpha
USA/WA-CDC-LC0059135/2021	66	North_King_County	2021-05-05	alpha
USA/WA-UW-21042988540/2021	67	South_King_County	2021-04-29	alpha
USA/WA-Altius-ALTCOV-WMGIBVCS5EMHSOT7/2021	67	South_King_County	2021-04-26	alpha
USA/WA-CDC-UW21061251866/2021	68	North_King_County	2021-06-12	alpha
USA/WA-Altius-ALTCOV-KQ7NIGCK6IFDH6X4/2021	69	South_King_County	2021-04-23	alpha
USA/WA-Altius-ALTCOV-R75WUUUCLHSSC5X6/2021	69	South_King_County	2021-04-22	alpha
USA/WA-CDC-UW21060796023/2021	70	South_King_County	2021-06-07	alpha
USA/WA-CDC-UW21060368940/2021	70	North_King_County	2021-06-03	alpha
USA/WA-CDC-LC0072899/2021	71	North_King_County	2021-06-11	alpha
USA/WA-UW-68604/2021	72	North_King_County	2021-03-23	alpha
USA/WA-UW-68507/2021	73	North_King_County	2021-03-23	alpha
USA/WA-CDC-UW21061444411/2021	74	North_King_County	2021-06-14	alpha
USA/WA-CDC-UW21042701183/2021	75	North_King_County	2021-04-27	alpha
USA/WA-UW-2021040962559/2021	76	North_King_County	2021-04-09	alpha
USA/WA-CDC-LC0043845/2021	77	South_King_County	2021-04-07	alpha
USA/WA-Altius-ALTCOV-SYMY6OFSFAAU3CUY/2021	78	South_King_County	2021-04-16	alpha
USA/WA-UW-21041973636/2021	79	South_King_County	2021-04-19	alpha
USA/WA-CDC-UW21051778489/2021	80	South_King_County	2021-05-17	alpha
USA/WA-Altius-ALTCOV-6CM6XQQRIEIIRUW6/2021	81	South_King_County	2021-05-07	alpha
USA/WA-UW-21042221421/2021	82	South_King_County	2021-04-22	alpha
USA/WA-S9016/2021	83	South_King_County	2021-06-03	alpha
USA/WA-S8797/2021	83	South_King_County	2021-06-01	alpha
USA/WA-S9011/2021	83	South_King_County	2021-06-03	alpha
USA/WA-S9014/2021	83	South_King_County	2021-06-03	alpha
USA/WA-S9013/2021	83	South_King_County	2021-06-03	alpha
USA/WA-S9008/2021	83	South_King_County	2021-06-03	alpha
USA/WA-UW-21050861701/2021	84	South_King_County	2021-05-08	alpha
USA/WA-CDC-UW21060184849/2021	85	North_King_County	2021-06-01	alpha
USA/WA-CDC-UW21060172061/2021	85	North_King_County	2021-06-01	alpha
USA/WA-S9009/2021	85	South_King_County	2021-06-03	alpha
USA/WA-CDC-UW21071042460/2021	86	South_King_County	2021-07-10	alpha
USA/WA-CDC-UW21071051288/2021	86	South_King_County	2021-07-10	alpha
USA/WA-Altius-ALTCOV-JFYNXARWULX73DQQ/2021	86	South_King_County	2021-06-19	alpha
USA/WA-CDC-UW21070789232/2021	86	South_King_County	2021-07-07	alpha
USA/WA-Altius-ALTCOV-PAUROQDCL3TSN3W4/2021	86	South_King_County	2021-06-21	alpha
USA/WA-Altius-ALTCOV-2FXD3MCJS3CCSQEK/2021	86	South_King_County	2021-06-21	alpha
USA/WA-Altius-ALTCOV-CYHQZBXITXXBDCDL/2021	86	South_King_County	2021-06-18	alpha
USA/WA-Altius-ALTCOV-P7UI22SNX3B6CLHW/2021	86	South_King_County	2021-06-19	alpha
USA/WA-Altius-ALTCOV-Y7Q5TEDFZMAVHXRO/2021	86	South_King_County	2021-06-19	alpha
USA/WA-UW-21071253252/2021	87	South_King_County	2021-07-12	alpha
USA/WA-CDC-QDX26765196/2021	87	South_King_County	2021-07-12	alpha
USA/WA-CDC-UW21051313670/2021	88	South_King_County	2021-05-13	alpha
USA/WA-CDC-UW21060169250/2021	89	North_King_County	2021-06-01	alpha
USA/WA-UW-21050424947/2021	90	South_King_County	2021-05-04	alpha
USA/WA-UW-21050583571/2021	90	South_King_County	2021-05-05	alpha
USA/WA-UW-64690/2021	91	North_King_County	2021-02-24	alpha
USA/WA-Altius-ALTCOV-PCJUTVWO4COWNBBD/2021	92	South_King_County	2021-06-08	alpha
USA/WA-Altius-ALTCOV-QPH5RFZ4QGC2G5BG/2021	93	North_King_County	2021-05-13	alpha
USA/WA-Altius-ALTCOV-CPYE2XTUX66X7AVG/2021	93	North_King_County	2021-05-13	alpha
USA/WA-UW-21060828263/2021	94	South_King_County	2021-06-08	alpha
USA/WA-CDC-UW21061048866/2021	94	South_King_County	2021-06-10	alpha
USA/WA-CDC-UW21052032974/2021	95	North_King_County	2021-05-20	alpha
USA/WA-UW-2021040885804/2021	96	North_King_County	2021-04-08	alpha
USA/WA-UW-21050884299/2021	97	South_King_County	2021-05-08	alpha
USA/WA-UW-21050866549/2021	97	South_King_County	2021-05-08	alpha
USA/WA-S7460/2021	98	South_King_County	2021-04-23	alpha
USA/WA-UW-21041717812/2021	99	South_King_County	2021-04-17	alpha
USA/WA-UW-21041465824/2021	99	South_King_County	2021-04-14	alpha
USA/WA-UW-2021041624866/2021	100	North_King_County	2021-04-16	alpha
USA/WA-UW-21042295319/2021	100	North_King_County	2021-04-22	alpha
USA/WA-UW-21042226302/2021	100	North_King_County	2021-04-22	alpha
USA/WA-UW-21042243539/2021	101	North_King_County	2021-04-22	alpha
USA/WA-UW-2021041451806/2021	102	South_King_County	2021-04-14	alpha
USA/WA-UW-2021041357868/2021	103	South_King_County	2021-04-13	alpha
USA/WA-Altius-ALTCOV-5BJ27WFJZZT6C3WL/2021	104	South_King_County	2021-04-21	alpha
USA/WA-Altius-ALTCOV-VI4RYDPZ35QWBDGN/2021	104	South_King_County	2021-04-21	alpha
USA/WA-Altius-ALTCOV-LIJYJ25SMD46EBFX/2021	105	South_King_County	2021-04-26	alpha
USA/WA-UW-67357/2021	106	North_King_County	2021-03-15	alpha
USA/WA-UW-21050317414/2021	107	North_King_County	2021-05-03	alpha
USA/WA-Altius-ALTCOV-E23LPNKIO7BU7MUB/2021	108	South_King_County	2021-06-12	alpha
USA/WA-Altius-ALTCOV-EABXHHCW32EUOHA5/2021	108	South_King_County	2021-06-12	alpha
USA/WA-S4755/2021	109	South_King_County	2021-01-26	alpha
USA/WA-UW-67222/2021	110	South_King_County	2021-03-13	alpha
USA/WA-S6018/2021	111	South_King_County	2021-03-26	alpha
USA/WA-Altius-ALTCOV-GLOHFDEL7HAJOLB5/2021	112	South_King_County	2021-04-28	alpha
USA/WA-UW-2021041075202/2021	112	North_King_County	2021-04-10	alpha
USA/WA-UW-2021041280751/2021	113	North_King_County	2021-04-12	alpha
USA/WA-UW-67239/2021	114	South_King_County	2021-03-13	alpha
USA/WA-UW-2021040504581/2021	115	North_King_County	2021-04-05	alpha
USA/WA-UW-2021040977222/2021	115	North_King_County	2021-04-09	alpha
USA/WA-UW-21042068221/2021	116	South_King_County	2021-04-20	alpha
USA/WA-UW-2021040501208/2021	116	North_King_County	2021-04-05	alpha
USA/WA-UW-2021040500938/2021	116	North_King_County	2021-04-05	alpha
USA/WA-UW-2021041466916/2021	116	North_King_County	2021-04-14	alpha
USA/WA-CDC-UW21042945680/2021	116	South_King_County	2021-04-29	alpha
USA/WA-Altius-ALTCOV-O67ASFZTZHI42IWI/2021	116	South_King_County	2021-05-06	alpha
USA/WA-Altius-ALTCOV-KD6QKZG5U4WVKLTQ/2021	116	South_King_County	2021-05-01	alpha
USA/WA-UW-2021041324230/2021	117	North_King_County	2021-04-13	alpha
USA/WA-UW-2021041487032/2021	117	North_King_County	2021-04-14	alpha
USA/WA-Altius-ALTCOV-XKGSQCRWFI4NTVD3/2021	117	North_King_County	2021-05-01	alpha
USA/WA-CDC-UW21050109981/2021	118	South_King_County	2021-05-01	alpha
USA/WA-UW-2021041504278/2021	119	North_King_County	2021-04-15	alpha
USA/WA-UW-21041450048/2021	119	North_King_County	2021-04-14	alpha
USA/WA-UW-2021041357088/2021	119	North_King_County	2021-04-13	alpha
USA/WA-CDC-LC0034499/2021	120	South_King_County	2021-03-19	alpha
USA/WA-CDC-UW21042746025/2021	121	North_King_County	2021-04-27	alpha
USA/WA-S4807/2021	122	North_King_County	2021-02-05	alpha
USA/WA-UW-2021040300774/2021	123	North_King_County	2021-04-03	alpha
USA/WA-UW-66951/2021	124	North_King_County	2021-03-08	alpha
USA/WA-UW-21042119341/2021	125	South_King_County	2021-04-21	alpha
USA/WA-UW-21042059554/2021	126	North_King_County	2021-04-20	alpha
USA/WA-UW-21041958215/2021	126	North_King_County	2021-04-19	alpha
USA/WA-S7626/2021	127	South_King_County	2021-05-04	alpha
USA/WA-S8418/2021	127	South_King_County	2021-05-13	alpha
USA/WA-Altius-ALTCOV-35RE724ZNBVFL4CV/2021	127	North_King_County	2021-05-19	alpha
USA/WA-UW-65372/2021	128	North_King_County	2021-02-27	alpha
USA/WA-UW-2021040506874/2021	129	North_King_County	2021-04-05	alpha
USA/WA-UW-2021040585939/2021	130	North_King_County	2021-04-05	alpha
USA/WA-UW-21051253745/2021	131	South_King_County	2021-05-12	alpha
USA/WA-UW-21051712901/2021	131	South_King_County	2021-05-17	alpha
USA/WA-S5532/2021	133	North_King_County	2021-03-08	alpha
USA/WA-S5829/2021	134	South_King_County	2021-03-18	alpha
USA/WA-UW-21041739009/2021	135	North_King_County	2021-04-17	alpha
USA/WA-UW-21041709943/2021	135	North_King_County	2021-04-17	alpha
USA/WA-UW-65912/2021	136	North_King_County	2021-02-23	alpha
USA/WA-UW-67092/2021	137	North_King_County	2021-03-15	alpha
USA/WA-UW-67562/2021	138	South_King_County	2021-03-17	alpha
USA/WA-UW-67102/2021	139	North_King_County	2021-03-15	alpha
USA/WA-UW-2021040208662/2021	140	North_King_County	2021-04-02	alpha
USA/WA-UW-21041044310/2021	140	North_King_County	2021-04-10	alpha
USA/WA-UW-67094/2021	141	North_King_County	2021-03-15	alpha
USA/WA-Altius-ALTCOV-T2SQRKXSWTPEPNHU/2021	142	South_King_County	2021-05-13	alpha
USA/WA-S8421/2021	142	South_King_County	2021-05-13	alpha
USA/WA-Altius-ALTCOV-GM2K2ZFADECIUVES/2021	142	South_King_County	2021-05-18	alpha
