strain	cluster	location	date
USA/WA-UW-4633/2020	21	South_King_County	2020-03-29
USA/WA-UW-6315/2020	21	South_King_County	2020-04-02
USA/WA-UW-3069/2020	22	South_King_County	2020-03-27
USA/WA-UW-5144/2020	22	South_King_County	2020-04-02
USA/WA-UW-5152/2020	23	South_King_County	2020-04-02
USA/WA-UW-4766/2020	24	South_King_County	2020-03-28
USA/WA-UW-1296/2020	25	North_King_County	2020-03-18
USA/WA-UW-596/2020	26	North_King_County	2020-03-12
USA/WA-UW-1821/2020	27	South_King_County	2020-03-22
USA/WA-UW-6718/2020	27	South_King_County	2020-04-11
USA/WA-UW290/2020	27	South_King_County	2020-03-15
USA/WA-S595/2020	27	North_King_County	2020-04-12
USA/WA-S594/2020	27	North_King_County	2020-04-12
USA/WA-UW342/2020	28	North_King_County	2020-03-16
USA/WA-UW101/2020	29	North_King_County	2020-03-10
USA/WA-S259/2020	30	North_King_County	2020-03-04
USA/WA-UW175/2020	31	North_King_County	2020-03-15
USA/WA-UW-6242/2020	32	South_King_County	2020-04-02
USA/WA-UW361/2020	33	North_King_County	2020-03-15
USA/WA-UW221/2020	34	South_King_County	2020-03-14
USA/WA-UW72/2020	35	North_King_County	2020-03-09
USA/WA-S1489/2020	35	North_King_County	2020-05-04
USA/WA-S1479/2020	35	North_King_County	2020-05-01
USA/WA-S42/2020	36	North_King_County	2020-02-28
USA/WA-UW-5750/2020	37	North_King_County	2020-04-06
USA/WA-UW-4657/2020	37	North_King_County	2020-04-06
USA/WA-S590/2020	37	North_King_County	2020-04-04
USA/WA-UW316/2020	37	South_King_County	2020-03-14
USA/WA-UW-3814/2020	37	South_King_County	2020-03-26
USA/WA-UW-4688/2020	37	South_King_County	2020-04-06
USA/WA-UW31/2020	38	North_King_County	2020-03-08
USA/WA-S86/2020	39	South_King_County	2020-03-01
USA/WA-S107/2020	39	North_King_County	2020-02-29
USA/WA-S140/2020	40	North_King_County	2020-03-12
USA/WA-UW-7166/2020	41	North_King_County	2020-04-13
USA/WA-UW-3908/2020	43	North_King_County	2020-03-27
USA/WA-UW116/2020	44	North_King_County	2020-03-11
USA/WA-UW-1247/2020	44	North_King_County	2020-03-16
USA/WA-UW-1670/2020	45	North_King_County	2020-03-20
USA/WA-S872/2020	45	South_King_County	2020-04-24
USA/WA-S856/2020	45	South_King_County	2020-04-24
USA/WA-S853/2020	45	South_King_County	2020-04-24
USA/WA-S1203/2020	45	South_King_County	2020-05-06
USA/WA-S855/2020	45	South_King_County	2020-04-24
USA/WA-S871/2020	45	South_King_County	2020-04-24
USA/WA-S857/2020	45	South_King_County	2020-04-24
USA/WA-UW-6321/2020	45	North_King_County	2020-04-02
USA/WA-S903/2020	46	South_King_County	2020-04-27
USA/WA-UW-2686/2020	46	South_King_County	2020-04-22
USA/WA-S854/2020	46	South_King_County	2020-04-24
USA/WA-S84/2020	47	North_King_County	2020-02-21
USA/WA-UW255/2020	48	North_King_County	2020-03-16
USA/WA-UW-2305/2020	48	North_King_County	2020-03-30
USA/WA-UW27/2020	49	North_King_County	2020-03-04
USA/WA-UW76/2020	50	North_King_County	2020-03-10
USA/WA-UW151/2020	51	North_King_County	2020-03-14
USA/WA-S108/2020	53	North_King_County	2020-02-29
USA/WA-S123/2020	54	North_King_County	2020-02-29
USA/WA-S235/2020	55	North_King_County	2020-02-29
USA/WA-S115/2020	55	North_King_County	2020-02-29
USA/WA-S100/2020	55	North_King_County	2020-02-29
USA/WA-S103/2020	56	North_King_County	2020-02-28
USA/WA-S234/2020	57	North_King_County	2020-02-28
USA/WA-S44/2020	58	North_King_County	2020-02-28
USA/WA-S40/2020	59	North_King_County	2020-02-28
USA/WA-S102/2020	60	North_King_County	2020-02-28
USA/WA-S61/2020	61	North_King_County	2020-03-05
USA/WA-UW20/2020	62	North_King_County	2020-03-05
USA/WA-UW-192/2020	63	North_King_County	2020-03-08
USA/WA-UW-197/2020	63	South_King_County	2020-03-08
USA/WA-UW41/2020	63	North_King_County	2020-03-08
USA/WA-UW-4682/2020	64	South_King_County	2020-04-06
USA/WA-UW145/2020	65	North_King_County	2020-03-15
USA/WA-S606/2020	65	North_King_County	2020-04-20
USA/WA-UW23/2020	66	North_King_County	2020-03-06
USA/WA-UW17/2020	67	North_King_County	2020-03-06
USA/WA-UW167/2020	68	North_King_County	2020-03-13
USA/WA-S156/2020	69	South_King_County	2020-03-16
USA/WA-UW376/2020	70	North_King_County	2020-03-17
USA/WA-S127/2020	71	South_King_County	2020-03-13
USA/WA-UW364/2020	72	North_King_County	2020-03-17
USA/WA-UW369/2020	72	South_King_County	2020-03-17
USA/WA-UW-1631/2020	73	North_King_County	2020-03-20
USA/WA-UW-1695/2020	73	South_King_County	2020-03-20
USA/WA-UW-1860/2020	74	North_King_County	2020-03-23
USA/WA-S723/2020	75	North_King_County	2020-04-09
USA/WA-UW-1245/2020	76	North_King_County	2020-03-16
USA/WA-UW-2599/2020	77	South_King_County	2020-03-29
USA/WA-UW-4032/2020	78	South_King_County	2020-03-29
USA/WA-UW-3833/2020	79	North_King_County	2020-03-26
USA/WA-S710/2020	80	North_King_County	2020-04-07
USA/WA-UW165/2020	82	North_King_County	2020-03-13
USA/WA-UW336/2020	83	North_King_County	2020-03-16
USA/WA-UW190/2020	84	North_King_County	2020-03-13
USA/WA-S176/2020	85	South_King_County	2020-03-19
USA/WA-UW-3515/2020	86	North_King_County	2020-03-26
USA/WA-UW-4026/2020	87	South_King_County	2020-03-29
USA/WA-UW-2304/2020	88	North_King_County	2020-03-30
USA/WA-UW-1278/2020	88	North_King_County	2020-03-17
USA/WA-UW-604/2020	88	North_King_County	2020-03-13
USA/WA-UW215/2020	88	South_King_County	2020-03-12
USA/WA-S172/2020	89	South_King_County	2020-03-19
USA/WA-S215/2020	90	South_King_County	2020-03-20
USA/WA-S173/2020	91	South_King_County	2020-03-19
USA/WA-UW189/2020	92	South_King_County	2020-03-13
USA/WA-S230/2020	93	North_King_County	2020-03-19
USA/WA-S212/2020	94	South_King_County	2020-03-19
USA/WA-S184/2020	95	South_King_County	2020-03-19
USA/WA-S174/2020	96	South_King_County	2020-03-19
USA/WA-S306/2020	97	South_King_County	2020-04-02
USA/WA-S210/2020	97	South_King_County	2020-03-19
USA/WA-S253/2020	98	North_King_County	2020-03-07
USA/WA-UW-669/2020	99	North_King_County	2020-03-12
USA/WA-UW201/2020	100	North_King_County	2020-03-12
USA/WA-UW90/2020	101	North_King_County	2020-03-10
USA/WA-UW103/2020	101	South_King_County	2020-03-11
USA/WA-S213/2020	102	South_King_County	2020-03-20
USA/WA-UW-1760/2020	102	South_King_County	2020-03-21
USA/WA-UW-1730/2020	102	North_King_County	2020-03-21
USA/WA-S598/2020	103	South_King_County	2020-04-13
USA/WA-S609/2020	103	South_King_County	2020-04-23
USA/WA-UW-3616/2020	103	South_King_County	2020-04-28
USA/WA-UW-1997/2020	104	North_King_County	2020-03-24
USA/WA-UW-6339/2020	105	South_King_County	2020-04-02
USA/WA-UW-3895/2020	106	North_King_County	2020-03-27
USA/WA-UW-4317/2020	107	South_King_County	2020-03-31
USA/WA-UW-4217/2020	108	South_King_County	2020-03-31
USA/WA-UW-5371/2020	109	South_King_County	2020-04-05
USA/WA-UW-2369/2020	110	North_King_County	2020-03-31
USA/WA-S584/2020	111	South_King_County	2020-03-24
USA/WA-UW-2193/2020	111	South_King_County	2020-03-24
USA/WA-UW-3850/2020	112	North_King_County	2020-03-26
USA/WA-S412/2020	113	South_King_County	2020-03-30
USA/WA-UW-6186/2020	114	South_King_County	2020-04-01
USA/WA-UW-2601/2020	115	North_King_County	2020-03-29
USA/WA-UW-4690/2020	116	North_King_County	2020-04-06
USA/WA-S2712/2020	117	North_King_County	2020-06-25
USA/WA-S3770/2020	118	North_King_County	2020-12-31
USA/WA-UW-45077/2020	119	North_King_County	2020-12-08
USA/WA-S3973/2021	120	South_King_County	2021-01-11
USA/WA-S2805/2020	121	North_King_County	2020-08-29
USA/WA-S2804/2020	121	North_King_County	2020-08-29
USA/WA-UW-6179/2020	122	South_King_County	2020-04-01
USA/WA-UW-5737/2020	123	South_King_County	2020-04-06
USA/WA-UW-13102/2020	124	North_King_County	2020-07-01
USA/WA-UW-12098/2020	124	North_King_County	2020-06-25
USA/WA-UW-9948/2020	125	North_King_County	2020-05-29
USA/WA-S1236/2020	126	North_King_County	2020-05-06
USA/WA-UW-10658/2020	128	South_King_County	2020-06-09
USA/WA-UW-10691/2020	128	South_King_County	2020-06-09
USA/WA-S2751/2020	129	South_King_County	2020-07-27
USA/WA-S2754/2020	129	South_King_County	2020-07-27
USA/WA-UW-3989/2020	130	North_King_County	2020-03-28
