strain	cluster	location	date
USA/WA-UW-6750/2020	260	North_King_County	2020-04-10
USA/WA-UW-6817/2020	260	North_King_County	2020-04-10
USA/WA-S704/2020	260	North_King_County	2020-04-09
USA/WA-UW-2747/2020	261	South_King_County	2020-04-15
USA/WA-S2713/2020	262	North_King_County	2020-06-29
USA/WA-UW-11297/2020	263	South_King_County	2020-06-21
USA/WA-UW-21710/2020	263	North_King_County	2020-08-05
USA/WA-S2746/2020	263	South_King_County	2020-07-19
USA/WA-S2745/2020	263	South_King_County	2020-07-18
USA/WA-UW-22217/2020	263	South_King_County	2020-08-01
USA/WA-S2850/2020	263	South_King_County	2020-09-01
USA/WA-UW-26860/2020	263	South_King_County	2020-09-01
USA/WA-UW210/2020	264	North_King_County	2020-03-14
USA/WA-UW-2131/2020	265	North_King_County	2020-03-25
USA/WA-UW-1561/2020	266	North_King_County	2020-03-19
USA/WA-UW-1322/2020	267	North_King_County	2020-03-18
USA/WA-UW-4406/2020	268	North_King_County	2020-03-31
USA/WA-UW-3249/2020	269	North_King_County	2020-03-28
USA/WA-UW-24954/2020	270	South_King_County	2020-08-13
USA/WA-UW-11589/2020	271	North_King_County	2020-06-23
USA/WA-UW-31625/2020	272	North_King_County	2020-10-21
USA/WA-S2736/2020	273	North_King_County	2020-07-15
USA/WA-UW-66950/2021	274	North_King_County	2021-03-08
USA/WA-S4166/2020	275	North_King_County	2020-11-28
USA/WA-S5001/2020	276	North_King_County	2020-10-24
USA/WA-S5025/2020	277	North_King_County	2020-11-05
USA/WA-S3293/2020	278	North_King_County	2020-11-08
USA/WA-S5037/2020	278	North_King_County	2020-11-09
USA/WA-S5035/2020	279	North_King_County	2020-11-09
USA/WA-UW-23389/2020	280	South_King_County	2020-08-10
USA/WA-S2725/2020	281	South_King_County	2020-07-07
USA/WA-UW-10826/2020	282	South_King_County	2020-06-12
USA/WA-UW-10769/2020	282	North_King_County	2020-06-11
USA/WA-UW-11611/2020	283	North_King_County	2020-06-18
USA/WA-UW-11442/2020	284	North_King_County	2020-06-23
USA/WA-UW-22370/2020	284	North_King_County	2020-08-08
USA/WA-S2742/2020	285	South_King_County	2020-07-16
USA/WA-S2741/2020	285	South_King_County	2020-07-16
USA/WA-S2737/2020	285	South_King_County	2020-07-16
USA/WA-S2734/2020	285	South_King_County	2020-07-13
USA/WA-UW-12392/2020	286	North_King_County	2020-06-27
USA/WA-UW-12709/2020	286	North_King_County	2020-06-28
USA/WA-UW-2540/2020	287	North_King_County	2020-03-30
USA/WA-UW-5011/2020	288	South_King_County	2020-04-07
USA/WA-UW-5169/2020	289	South_King_County	2020-04-02
USA/WA-UW-4777/2020	291	South_King_County	2020-03-27
USA/WA-S600/2020	291	South_King_County	2020-04-15
USA/WA-UW-3941/2020	292	South_King_County	2020-03-27
USA/WA-UW-9500/2020	293	South_King_County	2020-05-18
USA/WA-S495/2020	293	South_King_County	2020-04-01
USA/WA-S2750/2020	294	South_King_County	2020-07-21
USA/WA-UW-10115/2020	294	South_King_County	2020-05-29
USA/WA-UW-9228/2020	294	South_King_County	2020-05-14
USA/WA-UW-9390/2020	294	South_King_County	2020-05-16
USA/WA-UW-10034/2020	294	North_King_County	2020-05-29
USA/WA-UW-10128/2020	294	North_King_County	2020-05-29
USA/WA-UW-10039/2020	294	South_King_County	2020-05-29
USA/WA-UW-10114/2020	294	South_King_County	2020-05-29
USA/WA-UW-10088/2020	294	South_King_County	2020-05-29
USA/WA-UW-10030/2020	294	South_King_County	2020-05-29
USA/WA-UW-10124/2020	294	South_King_County	2020-05-29
USA/WA-UW-10027/2020	294	South_King_County	2020-05-29
USA/WA-UW-10102/2020	294	South_King_County	2020-05-29
USA/WA-UW-10133/2020	294	South_King_County	2020-05-29
USA/WA-UW-10126/2020	294	South_King_County	2020-05-29
USA/WA-UW-10511/2020	294	South_King_County	2020-05-29
USA/WA-UW-10036/2020	294	South_King_County	2020-05-29
USA/WA-UW-10038/2020	294	South_King_County	2020-05-29
USA/WA-UW-10094/2020	294	South_King_County	2020-05-29
USA/WA-UW-10106/2020	294	South_King_County	2020-05-29
USA/WA-UW-10116/2020	294	South_King_County	2020-05-29
USA/WA-UW-10091/2020	294	North_King_County	2020-05-29
USA/WA-UW-10090/2020	294	South_King_County	2020-05-29
USA/WA-UW-10129/2020	295	South_King_County	2020-05-29
USA/WA-UW-8508/2020	296	North_King_County	2020-05-04
USA/WA-UW-11090/2020	297	North_King_County	2020-06-17
USA/WA-UW-13299/2020	297	North_King_County	2020-07-03
USA/WA-UW-12027/2020	297	North_King_County	2020-06-24
USA/WA-UW291/2020	298	South_King_County	2020-03-15
USA/WA-UW-1774/2020	299	North_King_County	2020-03-22
USA/WA-UW-6408/2020	299	South_King_County	2020-04-03
USA/WA-UW-1965/2020	299	North_King_County	2020-03-24
USA/WA-UW-2212/2020	299	South_King_County	2020-03-25
USA/WA-UW-4338/2020	300	North_King_County	2020-03-30
USA/WA-UW-5364/2020	302	North_King_County	2020-04-05
USA/WA-S714/2020	302	North_King_County	2020-04-07
USA/WA-UW-8146/2020	302	South_King_County	2020-04-25
USA/WA-S554/2020	302	North_King_County	2020-03-31
USA/WA-UW-2935/2020	302	North_King_County	2020-03-29
USA/WA-UW-6181/2020	303	North_King_County	2020-04-01
USA/WA-UW-6184/2020	304	North_King_County	2020-04-01
USA/WA-UW-4921/2020	305	North_King_County	2020-04-07
USA/WA-UW-2736/2020	305	South_King_County	2020-04-22
USA/WA-S614/2020	306	North_King_County	2020-04-23
USA/WA-UW-10447/2020	306	South_King_County	2020-06-05
USA/WA-S2716/2020	306	North_King_County	2020-06-26
USA/WA-S5236/2020	307	North_King_County	2020-10-23
USA/WA-S4999/2020	307	North_King_County	2020-10-23
USA/WA-S2838/2020	308	South_King_County	2020-09-13
USA/WA-S2843/2020	308	North_King_County	2020-09-16
USA/WA-S2858/2020	308	North_King_County	2020-09-16
USA/WA-S2844/2020	308	North_King_County	2020-09-16
USA/WA-UW-26868/2020	309	South_King_County	2020-09-02
USA/WA-CDC-UW21062868816/2021	310	North_King_County	2021-06-28
USA/WA-UW-21062967815/2021	310	North_King_County	2021-06-29
USA/WA-CDC-UW21062839315/2021	310	North_King_County	2021-06-28
USA/WA-UW-21062911241/2021	310	North_King_County	2021-06-29
USA/WA-CDC-UW21050184796/2021	311	South_King_County	2021-05-01
USA/WA-CDC-UW21050142718/2021	311	South_King_County	2021-05-01
USA/WA-S6128/2021	312	South_King_County	2021-03-30
USA/WA-UW-21041940515/2021	312	South_King_County	2021-04-19
USA/WA-S5834/2021	312	North_King_County	2021-03-19
USA/WA-Altius-ALTCOV-BS5HNITBWAZVSPAL/2021	312	South_King_County	2021-04-14
USA/WA-UW-68536/2021	312	North_King_County	2021-03-22
USA/WA-S5830/2021	312	South_King_County	2021-03-18
USA/WA-UW-2021033102844/2021	312	South_King_County	2021-03-31
USA/WA-CDC-UW21051486064/2021	312	South_King_County	2021-05-14
USA/WA-UW-21042656363/2021	312	South_King_County	2021-04-26
USA/WA-UW-21051417183/2021	312	South_King_County	2021-05-14
USA/WA-Altius-ALTCOV-OARKFYSEPIEW63ST/2021	312	South_King_County	2021-04-23
USA/WA-UW-21042243955/2021	313	South_King_County	2021-04-22
USA/WA-Altius-ALTCOV-LHXB6XSUGORBKCHV/2021	314	South_King_County	2021-05-07
USA/WA-Altius-ALTCOV-74RJU5BRMZYXP4BU/2021	314	South_King_County	2021-05-06
USA/WA-Altius-ALTCOV-IKMO6GSD3AKHCWWA/2021	315	South_King_County	2021-05-03
USA/WA-UW-21042620505/2021	316	South_King_County	2021-04-26
USA/WA-CDC-UW21050167864/2021	316	South_King_County	2021-05-01
USA/WA-CDC-LC0056509/2021	317	South_King_County	2021-05-03
USA/WA-Altius-ALTCOV-XLSYAY5SYUYYDQHH/2021	318	South_King_County	2021-04-26
USA/WA-S5775/2021	319	North_King_County	2021-03-23
USA/WA-UW-21060851982/2021	320	South_King_County	2021-06-08
USA/WA-S5167/2021	321	South_King_County	2021-02-20
USA/WA-Altius-ALTCOV-M7UQ3LUKI27DKKW2/2021	322	North_King_County	2021-04-13
USA/WA-UW-21042303927/2021	323	North_King_County	2021-04-23
USA/WA-CDC-UW21050346584/2021	324	South_King_County	2021-05-03
USA/WA-UW-21041431063/2021	325	North_King_County	2021-04-14
USA/WA-UW-21052289745/2021	326	South_King_County	2021-05-22
USA/WA-CDC-UW21052443758/2021	326	North_King_County	2021-05-24
USA/WA-S9093/2021	327	South_King_County	2021-05-19
USA/WA-CDC-UW21052491899/2021	327	South_King_County	2021-05-24
USA/WA-UW-21052279395/2021	327	South_King_County	2021-05-22
USA/WA-S8604/2021	328	South_King_County	2021-05-19
USA/WA-S8631/2021	328	South_King_County	2021-05-21
USA/WA-S8864/2021	328	South_King_County	2021-05-22
USA/WA-S266/2020	329	North_King_County	2020-03-23
USA/WA-S1562/2020	331	South_King_County	2020-05-26
USA/WA-S615/2020	332	South_King_County	2020-04-23
USA/WA-S607/2020	332	South_King_County	2020-04-20
USA/WA-S1481/2020	333	South_King_County	2020-04-16
USA/WA-UW-2776/2020	333	North_King_County	2020-04-15
USA/WA-S2710/2020	334	North_King_County	2020-06-18
USA/WA-S2711/2020	334	North_King_County	2020-06-20
USA/WA-UW-10588/2020	335	South_King_County	2020-06-11
USA/WA-UW-5732/2020	336	South_King_County	2020-04-06
USA/WA-S1337/2020	337	North_King_County	2020-05-05
USA/WA-S293/2020	338	North_King_County	2020-04-01
USA/WA-UW-4068/2020	339	South_King_County	2020-04-01
USA/WA-S276/2020	340	North_King_County	2020-04-01
USA/WA-S475/2020	341	South_King_County	2020-04-01
USA/WA-UW-1501/2020	342	North_King_County	2020-03-19
USA/WA-UW-1732/2020	343	North_King_County	2020-03-21
USA/WA-UW-9383/2020	344	North_King_County	2020-05-16
USA/WA-S729/2020	345	North_King_County	2020-04-11
USA/WA-S5021/2020	346	North_King_County	2020-11-06
USA/WA-UW-4589/2020	347	North_King_County	2020-04-01
USA/WA-UW-8137/2020	347	North_King_County	2020-04-25
USA/WA-UW-6765/2020	347	North_King_County	2020-04-10
USA/WA-S604/2020	348	South_King_County	2020-04-19
USA/WA-UW-6663/2020	349	South_King_County	2020-04-11
USA/WA-S1485/2020	350	North_King_County	2020-05-01
USA/WA-UW-7745/2020	351	South_King_County	2020-04-19
USA/WA-UW-22328/2020	352	North_King_County	2020-08-07
USA/WA-Altius-ALTCOV-UWZFVU7NPMQXEZR3/2021	353	South_King_County	2021-05-07
USA/WA-UW-21050176144/2021	354	South_King_County	2021-05-01
USA/WA-S6360/2021	354	South_King_County	2021-04-05
USA/WA-S6881/2021	354	South_King_County	2021-04-06
USA/WA-S613/2020	355	North_King_County	2020-04-23
USA/WA-UW-5095/2020	356	North_King_County	2020-04-08
USA/WA-UW-4407/2020	356	South_King_County	2020-03-31
USA/WA-UW-4322/2020	356	North_King_County	2020-03-31
USA/WA-UW-4316/2020	356	North_King_County	2020-03-31
USA/WA-UW-4603/2020	356	South_King_County	2020-03-31
USA/WA-S468/2020	356	North_King_County	2020-04-05
USA/WA-UW-5382/2020	356	South_King_County	2020-04-05
USA/WA-S483/2020	356	North_King_County	2020-04-05
USA/WA-S477/2020	356	North_King_County	2020-04-05
USA/WA-S460/2020	356	South_King_County	2020-04-05
USA/WA-UW-4705/2020	356	South_King_County	2020-04-06
USA/WA-S676/2020	356	North_King_County	2020-04-07
USA/WA-S678/2020	356	North_King_County	2020-04-07
USA/WA-S677/2020	356	South_King_County	2020-04-07
USA/WA-UW-4892/2020	356	South_King_County	2020-04-07
USA/WA-UW-5016/2020	356	North_King_County	2020-04-07
USA/WA-S679/2020	356	South_King_County	2020-04-07
USA/WA-S833/2020	357	South_King_County	2020-04-16
USA/WA-S1959/2020	357	North_King_County	2020-06-04
USA/WA-UW-2317/2020	358	South_King_County	2020-03-30
USA/WA-S261/2020	358	North_King_County	2020-03-30
USA/WA-UW-6439/2020	359	North_King_County	2020-04-03
USA/WA-S705/2020	360	North_King_County	2020-04-09
USA/WA-S708/2020	361	North_King_County	2020-04-09
USA/WA-UW-6701/2020	362	North_King_County	2020-04-11
USA/WA-S781/2020	362	North_King_County	2020-04-14
USA/WA-S775/2020	362	South_King_County	2020-04-14
USA/WA-S767/2020	362	North_King_County	2020-04-14
USA/WA-S777/2020	362	North_King_County	2020-04-14
USA/WA-S778/2020	362	North_King_County	2020-04-14
USA/WA-S3784/2020	362	North_King_County	2020-04-14
USA/WA-UW-6767/2020	363	North_King_County	2020-04-10
USA/WA-S773/2020	364	North_King_County	2020-04-14
USA/WA-S639/2020	365	North_King_County	2020-04-16
USA/WA-S625/2020	366	North_King_County	2020-04-19
USA/WA-S616/2020	367	South_King_County	2020-04-23
USA/WA-UW-67099/2021	368	South_King_County	2021-03-15
USA/WA-S2766/2020	368	South_King_County	2020-07-29
USA/WA-UW-13088/2020	368	South_King_County	2020-06-30
USA/WA-S5252/2020	369	South_King_County	2020-08-01
USA/WA-S2802/2020	370	North_King_County	2020-08-25
USA/WA-UW-10698/2020	371	South_King_County	2020-06-10
USA/WA-UW-10696/2020	371	South_King_County	2020-06-10
USA/WA-S829/2020	371	North_King_County	2020-04-14
USA/WA-S832/2020	371	North_King_County	2020-04-16
USA/WA-UW-1478/2020	372	North_King_County	2020-03-18
USA/WA-UW-4082/2020	373	North_King_County	2020-04-01
USA/WA-UW-8803/2020	373	North_King_County	2020-05-06
USA/WA-UW-8845/2020	373	North_King_County	2020-05-08
USA/WA-UW-8421/2020	373	South_King_County	2020-05-01
USA/WA-UW-9210/2020	373	South_King_County	2020-05-14
USA/WA-S1266/2020	373	South_King_County	2020-05-13
USA/WA-UW-9520/2020	373	South_King_County	2020-05-18
USA/WA-UW-9422/2020	373	South_King_County	2020-05-18
USA/WA-UW-8165/2020	373	North_King_County	2020-04-25
USA/WA-UW-8330/2020	373	South_King_County	2020-04-27
USA/WA-UW-8422/2020	373	North_King_County	2020-05-01
USA/WA-UW-8636/2020	373	North_King_County	2020-05-06
USA/WA-UW-8941/2020	373	North_King_County	2020-05-12
USA/WA-UW-9323/2020	373	North_King_County	2020-05-14
USA/WA-UW-10687/2020	373	South_King_County	2020-06-09
USA/WA-UW-10449/2020	373	South_King_County	2020-06-07
USA/WA-UW-11043/2020	373	North_King_County	2020-06-16
USA/WA-UW-11580/2020	373	South_King_County	2020-06-22
USA/WA-UW-11661/2020	373	South_King_County	2020-06-20
USA/WA-UW-11438/2020	373	North_King_County	2020-06-22
USA/WA-UW-8423/2020	374	North_King_County	2020-05-01
USA/WA-UW-12593/2020	375	North_King_County	2020-06-26
USA/WA-UW-22994/2020	376	South_King_County	2020-08-09
USA/WA-S2720/2020	376	South_King_County	2020-07-02
USA/WA-UW-6399/2020	377	North_King_County	2020-04-03
USA/WA-UW-5181/2020	378	South_King_County	2020-04-02
USA/WA-UW-2240/2020	379	South_King_County	2020-03-26
USA/WA-UW-3812/2020	380	South_King_County	2020-03-26
USA/WA-UW-4698/2020	381	South_King_County	2020-04-06
USA/WA-S470/2020	381	North_King_County	2020-04-05
USA/WA-UW-7032/2020	382	South_King_County	2020-04-07
USA/WA-S5238/2020	383	South_King_County	2020-10-25
USA/WA-UW-12378/2020	384	North_King_County	2020-06-27
USA/WA-S611/2020	384	North_King_County	2020-04-23
USA/WA-UW-7777/2020	384	North_King_County	2020-04-19
USA/WA-UW-30920/2020	385	South_King_County	2020-10-14
USA/WA-S3249/2020	385	South_King_County	2020-10-07
USA/WA-UW-4646/2020	386	North_King_County	2020-04-06
USA/WA-UW-4898/2020	386	North_King_County	2020-04-07
USA/WA-UW-8800/2020	386	South_King_County	2020-05-07
USA/WA-UW-11823/2020	386	South_King_County	2020-06-25
USA/WA-UW-12879/2020	386	South_King_County	2020-06-29
USA/WA-UW-12878/2020	386	South_King_County	2020-06-29
USA/WA-S617/2020	386	South_King_County	2020-04-25
USA/WA-S622/2020	386	South_King_County	2020-04-29
USA/WA-S1487/2020	386	South_King_County	2020-05-03
USA/WA-S1480/2020	386	South_King_County	2020-05-03
USA/WA-UW-4180/2020	387	South_King_County	2020-04-01
USA/WA-UW-2236/2020	388	South_King_County	2020-03-23
USA/WA-UW-1866/2020	389	North_King_County	2020-03-23
USA/WA-S3493/2020	390	North_King_County	2020-12-02
USA/WA-S2916/2020	391	South_King_County	2020-07-24
USA/WA-S2918/2020	391	South_King_County	2020-07-24
USA/WA-S2907/2020	392	North_King_County	2020-10-04
USA/WA-UW-1624/2020	393	North_King_County	2020-03-20
USA/WA-UW-24736/2020	394	South_King_County	2020-08-16
USA/WA-S2784/2020	395	South_King_County	2020-08-11
USA/WA-UW-6535/2020	396	South_King_County	2020-04-04
USA/WA-UW-6413/2020	397	South_King_County	2020-04-03
USA/WA-UW-10231/2020	398	South_King_County	2020-05-30
USA/WA-UW-8851/2020	398	South_King_County	2020-05-08
USA/WA-UW-2795/2020	398	South_King_County	2020-04-15
USA/WA-UW-8550/2020	398	South_King_County	2020-05-05
USA/WA-UW-2346/2020	398	North_King_County	2020-04-19
USA/WA-UW-2818/2020	399	South_King_County	2020-03-27
USA/WA-UW-3018/2020	399	South_King_County	2020-03-27
USA/WA-CDC-UW21111907296/2021	400	North_King_County	2021-11-19
USA/WA-UW-67900/2021	401	North_King_County	2021-03-15
USA/WA-UW-2021040546954/2021	402	South_King_County	2021-04-05
USA/WA-UW-2021040552195/2021	402	South_King_County	2021-04-05
USA/WA-UW-2021040100639/2021	403	South_King_County	2021-04-01
USA/WA-S9317/2021	404	South_King_County	2021-06-14
USA/WA-UW-21041617060/2021	405	North_King_County	2021-04-16
USA/WA-CDC-UW21050477423/2021	406	South_King_County	2021-05-04
USA/WA-UW-21051475693/2021	406	South_King_County	2021-05-14
USA/WA-S9038/2021	407	South_King_County	2021-06-08
USA/WA-S9350/2021	407	South_King_County	2021-06-18
USA/WA-CDC-LC0073608/2021	408	South_King_County	2021-06-14
USA/WA-Altius-ALTCOV-ZS3442XKDROQVMTD/2021	409	South_King_County	2021-07-06
USA/WA-CDC-UW21070673457/2021	410	North_King_County	2021-07-06
USA/WA-UW-21070939470/2021	411	South_King_County	2021-07-09
USA/WA-UW-21063054085/2021	412	South_King_County	2021-06-30
USA/WA-Altius-ALTCOV-2BFL57ZZUUKUIFRL/2021	413	South_King_County	2021-06-02
USA/WA-Altius-ALTCOV-TKX4PPOUFTDUCIAU/2021	414	South_King_County	2021-06-03
USA/WA-Altius-ALTCOV-XAOHP4HBD6YGEWW5/2021	415	South_King_County	2021-06-03
USA/WA-UW-21080207853/2021	416	South_King_County	2021-08-02
USA/WA-CDC-UW21071640642/2021	417	North_King_County	2021-07-16
USA/WA-S9329/2021	418	South_King_County	2021-06-16
USA/WA-CDC-UW21060771815/2021	418	South_King_County	2021-06-07
USA/WA-CDC-UW21060125014/2021	418	South_King_County	2021-06-01
USA/WA-CDC-UW21060713772/2021	418	South_King_County	2021-06-07
USA/WA-CDC-UW21061963694/2021	418	South_King_County	2021-06-19
USA/WA-UW-21061609708/2021	418	South_King_County	2021-06-16
USA/WA-CDC-UW21060366657/2021	418	South_King_County	2021-06-03
USA/WA-Altius-ALTCOV-PYE5TY2LDWWMHXFO/2021	418	South_King_County	2021-06-03
USA/WA-Altius-ALTCOV-LZMUEYDWB4EF7JDS/2021	418	South_King_County	2021-06-03
USA/WA-CDC-UW21070672820/2021	419	North_King_County	2021-07-06
USA/WA-CDC-UW21070782058/2021	420	North_King_County	2021-07-07
USA/WA-UW-60610/2021	421	North_King_County	2021-01-29
USA/WA-UW-67510/2021	421	North_King_County	2021-03-16
USA/WA-UW-67790/2021	422	North_King_County	2021-03-19
USA/WA-S6369/2021	423	South_King_County	2021-04-05
USA/WA-CDC-UW21061213666/2021	424	North_King_County	2021-06-12
USA/WA-CDC-UW21052224446/2021	424	South_King_County	2021-05-22
USA/WA-CDC-UW21061035994/2021	424	North_King_County	2021-06-10
USA/WA-Altius-ALTCOV-YAPVW3IXMHLLCPUH/2021	424	South_King_County	2021-06-14
USA/WA-CDC-UW21052580606/2021	425	North_King_County	2021-05-25
USA/WA-CDC-UW21062331116/2021	425	North_King_County	2021-06-23
USA/WA-CDC-UW21060830170/2021	425	North_King_County	2021-06-08
USA/WA-UW-21060924522/2021	425	North_King_County	2021-06-09
USA/WA-UW-21041718630/2021	426	North_King_County	2021-04-17
USA/WA-UW-21042119733/2021	427	North_King_County	2021-04-21
USA/WA-UW-21041618871/2021	428	North_King_County	2021-04-16
USA/WA-Altius-ALTCOV-Y4C4I6IIUDMSOIGA/2021	429	South_King_County	2021-04-15
USA/WA-S6126/2021	429	South_King_County	2021-03-29
USA/WA-UW-66931/2021	430	North_King_County	2021-03-08
USA/WA-Altius-ALTCOV-QQIOD5DUBWIXNJSA/2021	431	South_King_County	2021-05-10
USA/WA-Altius-ALTCOV-MENSETK2MLZXDVCC/2021	432	South_King_County	2021-06-05
USA/WA-Altius-ALTCOV-WEET5KKIQX3FE2BN/2021	432	South_King_County	2021-06-05
USA/WA-Altius-ALTCOV-6DTER5FFXZ2OJLRP/2021	433	South_King_County	2021-05-07
USA/WA-UW-2021041592724/2021	434	South_King_County	2021-04-15
USA/WA-UW-69280/2021	434	North_King_County	2021-03-27
USA/WA-CDC-UW21050471769/2021	434	South_King_County	2021-05-04
USA/WA-S5852/2021	434	South_King_County	2021-03-20
USA/WA-S8182/2021	435	North_King_County	2021-05-09
USA/WA-Altius-ALTCOV-GQ43AIBXSH7QCNXZ/2021	435	South_King_County	2021-05-01
USA/WA-UW-2021041558173/2021	436	South_King_County	2021-04-15
USA/WA-UW-64703/2021	437	North_King_County	2021-02-24
USA/WA-S8219/2021	438	South_King_County	2021-05-03
USA/WA-CDC-UW21061121797/2021	439	South_King_County	2021-06-11
USA/WA-CDC-UW21061120156/2021	440	South_King_County	2021-06-11
USA/WA-UW-2021041203899/2021	441	North_King_County	2021-04-12
USA/WA-UW-21050501050/2021	442	South_King_County	2021-05-05
USA/WA-UW-21051025361/2021	443	North_King_County	2021-05-10
USA/WA-S11227/2021	444	South_King_County	2021-07-31
USA/WA-CDC-UW21062313072/2021	445	South_King_County	2021-06-23
USA/WA-CDC-UW21061739670/2021	446	South_King_County	2021-06-17
USA/WA-CDC-UW21051007044/2021	447	South_King_County	2021-05-10
USA/WA-CDC-UW21060169335/2021	448	North_King_County	2021-06-01
USA/WA-CDC-UW21060544145/2021	448	South_King_County	2021-06-05
USA/WA-Altius-ALTCOV-ODXGBHWVIURHBWRI/2021	448	South_King_County	2021-06-14
USA/WA-S9514/2021	448	South_King_County	2021-06-22
USA/WA-Altius-ALTCOV-Y4JSOCJUX23U4SUV/2021	448	South_King_County	2021-07-07
USA/WA-CDC-UW21061772341/2021	448	North_King_County	2021-06-17
USA/WA-CDC-UW21061915649/2021	448	South_King_County	2021-06-19
USA/WA-Altius-ALTCOV-JHQV5XQUHICZI6RN/2021	448	South_King_County	2021-06-30
USA/WA-Altius-ALTCOV-7FU57AF56XG6M3DU/2021	448	South_King_County	2021-06-04
USA/WA-CDC-UW21060565318/2021	448	North_King_County	2021-06-05
USA/WA-Altius-ALTCOV-A4IN5JRDMTOJKDWU/2021	448	South_King_County	2021-06-04
USA/WA-S9010/2021	448	South_King_County	2021-06-03
USA/WA-CDC-UW21062357951/2021	448	South_King_County	2021-06-23
USA/WA-CDC-UW21062321382/2021	448	South_King_County	2021-06-23
USA/WA-CDC-UW21062332899/2021	448	South_King_County	2021-06-23
USA/WA-CDC-UW21062393424/2021	448	South_King_County	2021-06-23
USA/WA-Altius-ALTCOV-T7OPREGQGFWZ7NA4/2021	448	South_King_County	2021-07-09
USA/WA-CDC-QDX26380606/2021	448	North_King_County	2021-06-29
USA/WA-CDC-LC0069136/2021	449	South_King_County	2021-06-01
USA/WA-UW-2021041035000/2021	450	North_King_County	2021-04-10
USA/WA-UW-21041548528/2021	451	North_King_County	2021-04-15
USA/WA-Altius-ALTCOV-BI6QTIOQ246BIPAI/2021	452	North_King_County	2021-05-15
USA/WA-CDC-UW21050352684/2021	453	North_King_County	2021-05-03
USA/WA-UW-2021040509961/2021	454	South_King_County	2021-04-05
USA/WA-UW-21060785793/2021	455	North_King_County	2021-06-07
USA/WA-CDC-UW21060296600/2021	455	North_King_County	2021-06-02
USA/WA-CDC-UW21060489428/2021	455	South_King_County	2021-06-04
USA/WA-S9163/2021	455	South_King_County	2021-06-06
USA/WA-CDC-UW21050549446/2021	456	North_King_County	2021-05-05
USA/WA-UW-21052217486/2021	456	North_King_County	2021-05-22
USA/WA-CDC-UW21050468992/2021	456	North_King_County	2021-05-04
USA/WA-UW-2021041317232/2021	457	North_King_County	2021-04-13
USA/WA-UW-2021040204207/2021	457	North_King_County	2021-04-02
USA/WA-UW-69336/2021	457	South_King_County	2021-03-27
USA/WA-UW-2021033007168/2021	458	North_King_County	2021-03-30
USA/WA-S6194/2021	459	South_King_County	2021-04-02
USA/WA-UW-69014/2021	459	North_King_County	2021-03-29
USA/WA-UW-2021040947345/2021	460	South_King_County	2021-04-09
USA/WA-UW-2021041019014/2021	461	South_King_County	2021-04-10
USA/WA-UW-2021041256601/2021	462	North_King_County	2021-04-12
USA/WA-Altius-ALTCOV-MOXJC5TI24OTFMXR/2021	463	South_King_County	2021-05-14
USA/WA-CDC-UW21050616494/2021	463	South_King_County	2021-05-06
USA/WA-UW-21050560727/2021	464	South_King_County	2021-05-05
USA/WA-S8482/2021	465	North_King_County	2021-05-18
USA/WA-CDC-UW21060118659/2021	466	North_King_County	2021-06-01
USA/WA-Altius-ALTCOV-6TSWQK2DGLCINSTL/2021	467	South_King_County	2021-04-19
USA/WA-UW-2021041354329/2021	468	North_King_County	2021-04-13
USA/WA-UW-21042215073/2021	469	North_King_County	2021-04-22
USA/WA-S8831/2021	469	North_King_County	2021-05-07
USA/WA-Altius-ALTCOV-T3OWXMZVFO4KMAEK/2021	469	North_King_County	2021-04-26
USA/WA-UW-21061705127/2021	470	North_King_County	2021-06-17
USA/WA-UW-21060961831/2021	471	South_King_County	2021-06-09
USA/WA-UW-11328/2020	472	South_King_County	2020-06-22
USA/WA-UW-11349/2020	472	North_King_County	2020-06-21
USA/WA-S2709/2020	473	North_King_County	2020-06-18
USA/WA-UW-11673/2020	474	North_King_County	2020-06-20
USA/WA-S3551/2021	475	South_King_County	2021-01-11
USA/WA-S4483/2021	476	South_King_County	2021-01-20
USA/WA-S4646/2021	476	South_King_County	2021-01-23
USA/WA-CDC-LC00000714/2020	477	South_King_County	2020-12-23
USA/WA-UW-68597/2021	478	North_King_County	2021-03-23
USA/WA-UW-58971/2021	478	North_King_County	2021-01-28
USA/WA-S5973/2021	478	South_King_County	2021-03-22
USA/WA-S5432/2021	478	South_King_County	2021-02-24
USA/WA-S5556/2021	478	South_King_County	2021-03-01
USA/WA-UW-47417/2020	479	North_King_County	2020-12-11
USA/WA-UW-48600/2020	480	South_King_County	2020-12-26
USA/WA-UW-68430/2021	481	North_King_County	2021-03-12
USA/WA-S6196/2021	482	South_King_County	2021-04-02
USA/WA-S5413/2021	482	South_King_County	2021-02-26
USA/WA-S6154/2021	482	South_King_County	2021-03-31
USA/WA-S6553/2021	483	South_King_County	2021-04-09
USA/WA-S4449/2021	484	South_King_County	2021-01-15
USA/WA-S4461/2021	484	South_King_County	2021-01-15
USA/WA-UW-67390/2021	485	South_King_County	2021-03-16
USA/WA-UW-2021040106667/2021	486	North_King_County	2021-04-01
USA/WA-UW-68521/2021	487	North_King_County	2021-03-23
USA/WA-UW-2021033005402/2021	487	North_King_County	2021-03-30
USA/WA-UW-62653/2021	488	South_King_County	2021-02-11
USA/WA-S4914/2021	488	South_King_County	2021-02-03
USA/WA-S4904/2021	488	South_King_County	2021-02-09
