strain	cluster	location	date	variant
USA/WA-UW-21042132860/2021	23	North_King_County	2021-04-21	delta
USA/WA-Altius-ALTCOV-QPOJ5YIJ57ZSPDF4/2021	24	South_King_County	2021-06-01	delta
USA/WA-Altius-ALTCOV-53YVK4LR2H7KZ7DF/2021	24	South_King_County	2021-06-02	delta
USA/WA-CDC-UW21062362774/2021	25	North_King_County	2021-06-23	delta
USA/WA-UW-2021041370801/2021	26	North_King_County	2021-04-13	delta
USA/WA-CDC-UW21051120904/2021	27	North_King_County	2021-05-11	delta
USA/WA-UW-21050430069/2021	27	North_King_County	2021-05-04	delta
USA/WA-UW-21041788557/2021	28	North_King_County	2021-04-17	delta
USA/WA-CDC-UW21102259608/2021	29	North_King_County	2021-10-22	delta
USA/WA-Altius-ALTCOV-MZLB6TCMNDVRJRXW/2021	30	South_King_County	2021-04-15	delta
USA/WA-UW-21042323801/2021	31	North_King_County	2021-04-23	delta
USA/WA-CDC-UW21042715625/2021	32	North_King_County	2021-04-27	delta
USA/WA-CDC-UW21042712828/2021	33	North_King_County	2021-04-27	delta
USA/WA-CDC-UW21050468847/2021	33	North_King_County	2021-05-04	delta
USA/WA-UW-21041945607/2021	34	North_King_County	2021-04-19	delta
USA/WA-S9544/2021	35	South_King_County	2021-06-23	delta
USA/WA-CDC-UW21060286489/2021	35	South_King_County	2021-06-02	delta
USA/WA-S9037/2021	35	South_King_County	2021-06-08	delta
USA/WA-Altius-ALTCOV-QGXI2JOU5TFDKIRA/2021	35	South_King_County	2021-06-05	delta
USA/WA-Altius-ALTCOV-JJJGLLXQZUVRU6EM/2021	35	South_King_County	2021-06-05	delta
USA/WA-CDC-LC0069411/2021	35	South_King_County	2021-06-03	delta
USA/WA-S9171/2021	35	South_King_County	2021-06-08	delta
USA/WA-S9173/2021	35	South_King_County	2021-06-08	delta
USA/WA-CDC-UW21060469783/2021	35	South_King_County	2021-06-04	delta
USA/WA-UW-2021041375198/2021	36	North_King_County	2021-04-13	delta
USA/WA-UW-2021041374017/2021	36	North_King_County	2021-04-13	delta
USA/WA-UW-2021041694008/2021	37	North_King_County	2021-04-16	delta
USA/WA-UW-2021041275729/2021	37	North_King_County	2021-04-12	delta
USA/WA-S7046/2021	37	North_King_County	2021-04-19	delta
USA/WA-S7045/2021	37	North_King_County	2021-04-19	delta
USA/WA-S7517/2021	38	North_King_County	2021-04-21	delta
USA/WA-CDC-UW21051278306/2021	39	South_King_County	2021-05-12	delta
USA/WA-CDC-UW21060405109/2021	39	South_King_County	2021-06-04	delta
USA/WA-CDC-UW21060444434/2021	39	South_King_County	2021-06-04	delta
USA/WA-CDC-UW21060343345/2021	39	South_King_County	2021-06-03	delta
USA/WA-CDC-UW21060199717/2021	39	South_King_County	2021-06-01	delta
USA/WA-UW-21042832498/2021	39	North_King_County	2021-04-28	delta
USA/WA-UW-2021040982916/2021	40	North_King_County	2021-04-09	delta
USA/WA-UW-2021040810481/2021	40	North_King_County	2021-04-08	delta
USA/WA-UW-21042739753/2021	41	North_King_County	2021-04-27	delta
USA/WA-UW-21042763911/2021	41	North_King_County	2021-04-27	delta
USA/WA-CDC-UW21043015914/2021	41	North_King_County	2021-04-30	delta
USA/WA-UW-21051791468/2021	42	South_King_County	2021-05-17	delta
USA/WA-UW-21043020919/2021	43	North_King_County	2021-04-30	delta
USA/WA-CDC-UW21050406327/2021	43	South_King_County	2021-05-04	delta
USA/WA-UW-21050346801/2021	43	North_King_County	2021-05-03	delta
USA/WA-CDC-UW21050364308/2021	43	North_King_County	2021-05-03	delta
USA/WA-CDC-LC0091049/2021	44	South_King_County	2021-06-17	delta
USA/WA-PHL-001033/2021	44	South_King_County	2021-06-09	delta
USA/WA-CDC-FG-127440/2021	45	North_King_County	2021-09-10	delta
USA/WA-CDC-LC0223033/2021	46	North_King_County	2021-08-18	delta
USA/WA-UW-21081621081/2021	47	South_King_County	2021-08-16	delta
USA/WA-S13585/2021	47	South_King_County	2021-08-31	delta
USA/WA-S12503/2021	47	South_King_County	2021-08-18	delta
USA/WA-S12497/2021	47	South_King_County	2021-08-18	delta
USA/WA-S13105/2021	47	South_King_County	2021-08-19	delta
USA/WA-CDC-UW21082769368/2021	47	North_King_County	2021-08-27	delta
USA/WA-Altius-ALTCOV-MR5NTRSI7SH3JPG2/2021	48	South_King_County	2021-06-29	delta
USA/WA-CDC-UW21081725450/2021	49	North_King_County	2021-08-17	delta
USA/WA-CDC-UW21061009922/2021	50	North_King_County	2021-06-10	delta
USA/WA-UW-21071627239/2021	51	North_King_County	2021-07-16	delta
USA/WA-UW-21060930310/2021	52	North_King_County	2021-06-09	delta
USA/WA-CDC-UW21061468911/2021	53	North_King_County	2021-06-14	delta
USA/WA-CDC-UW21061951556/2021	54	South_King_County	2021-06-19	delta
USA/WA-CDC-UW21112367545/2021	55	North_King_County	2021-11-23	delta
USA/WA-CDC-UW21110903198/2021	55	North_King_County	2021-11-09	delta
USA/WA-CDC-UW21112348767/2021	56	South_King_County	2021-11-23	delta
USA/WA-S10812/2021	57	North_King_County	2021-06-19	delta
USA/WA-S9542/2021	58	North_King_County	2021-06-23	delta
USA/WA-CDC-UW21081980020/2021	59	North_King_County	2021-08-19	delta
USA/WA-CDC-UW21082316193/2021	60	North_King_County	2021-08-23	delta
USA/WA-UW-21101650966/2021	61	South_King_County	2021-10-16	delta
USA/WA-CDC-UW21100218161/2021	61	North_King_County	2021-10-02	delta
USA/WA-CDC-UW21121340807/2021	61	South_King_County	2021-12-13	delta
USA/WA-CDC-UW21113006241/2021	61	South_King_County	2021-11-30	delta
USA/WA-CDC-UW21121171202/2021	61	South_King_County	2021-12-11	delta
USA/WA-CDC-UW21121173885/2021	61	South_King_County	2021-12-11	delta
USA/WA-UW-2021041209214/2021	62	North_King_County	2021-04-12	delta
USA/WA-UW-2021041002621/2021	62	North_King_County	2021-04-10	delta
USA/WA-S9855/2021	63	South_King_County	2021-07-15	delta
USA/WA-S10813/2021	64	South_King_County	2021-07-26	delta
USA/WA-S10809/2021	64	South_King_County	2021-07-26	delta
USA/WA-CDC-LC0268283/2021	65	North_King_County	2021-08-26	delta
USA/WA-S7549/2021	66	North_King_County	2021-04-29	delta
USA/WA-CDC-UW21073096426/2021	67	North_King_County	2021-07-30	delta
USA/WA-CDC-UW21081438342/2021	68	North_King_County	2021-08-14	delta
USA/WA-UW-21072743554/2021	69	North_King_County	2021-07-27	delta
USA/WA-CDC-UW21100115699/2021	70	North_King_County	2021-10-01	delta
USA/WA-CDC-UW21081903681/2021	71	North_King_County	2021-08-19	delta
USA/WA-CDC-UW21081955960/2021	72	North_King_County	2021-08-19	delta
USA/WA-CDC-UW21073106516/2021	73	North_King_County	2021-07-31	delta
USA/WA-UW-21081107640/2021	74	North_King_County	2021-08-11	delta
USA/WA-CDC-UW21100420026/2021	75	South_King_County	2021-10-04	delta
USA/WA-Altius-ALTCOV-U2FHEE3JBREYGMWW/2021	76	South_King_County	2021-05-04	delta
USA/WA-UW-21071256578/2021	77	South_King_County	2021-07-12	delta
USA/WA-UW-21071908242/2021	77	South_King_County	2021-07-19	delta
USA/WA-CDC-UW21080955623/2021	77	South_King_County	2021-08-09	delta
USA/WA-CDC-UW21071630515/2021	77	South_King_County	2021-07-16	delta
USA/WA-UW-21072432628/2021	77	South_King_County	2021-07-24	delta
USA/WA-CDC-UW21062392012/2021	77	South_King_County	2021-06-23	delta
USA/WA-Altius-ALTCOV-ACO3CQZ5E6SS2VAP/2021	77	South_King_County	2021-07-06	delta
USA/WA-CDC-UW21070565149/2021	77	South_King_County	2021-07-05	delta
USA/WA-S10296/2021	77	South_King_County	2021-07-06	delta
USA/WA-UW-21071209462/2021	77	South_King_County	2021-07-12	delta
USA/WA-CDC-UW21070787848/2021	77	South_King_County	2021-07-07	delta
USA/WA-Altius-ALTCOV-5ZCROR6ZQSDXXTRK/2021	77	South_King_County	2021-06-25	delta
USA/WA-CDC-UW21070130207/2021	77	South_King_County	2021-07-01	delta
USA/WA-S9351/2021	77	South_King_County	2021-06-18	delta
USA/WA-UW-21071345169/2021	77	South_King_County	2021-07-13	delta
USA/WA-S11444/2021	77	South_King_County	2021-07-19	delta
USA/WA-S10061/2021	77	South_King_County	2021-07-26	delta
USA/WA-CDC-UW21062104129/2021	77	South_King_County	2021-06-21	delta
USA/WA-CDC-UW21062401711/2021	77	North_King_County	2021-06-24	delta
USA/WA-CDC-UW21062315547/2021	77	North_King_County	2021-06-23	delta
USA/WA-Altius-ALTCOV-S76WBPKPYV4XN6BQ/2021	77	South_King_County	2021-06-26	delta
USA/WA-CDC-UW21062567043/2021	77	South_King_County	2021-06-25	delta
USA/WA-Altius-ALTCOV-SB3SUBVMOOCRLLFU/2021	77	South_King_County	2021-06-25	delta
USA/WA-CDC-UW21081678531/2021	78	North_King_County	2021-08-16	delta
USA/WA-UW-21072450636/2021	79	North_King_County	2021-07-24	delta
USA/WA-CDC-UW21081642737/2021	80	South_King_County	2021-08-16	delta
USA/WA-S10362/2021	80	North_King_County	2021-07-23	delta
USA/WA-CDC-UW21092136808/2021	81	South_King_County	2021-09-21	delta
USA/WA-CDC-UW21090714806/2021	82	North_King_County	2021-09-07	delta
USA/WA-CDC-QDX26380616/2021	83	South_King_County	2021-06-29	delta
USA/WA-CDC-UW21071426907/2021	84	North_King_County	2021-07-14	delta
USA/WA-IVY-ZZX9LFVX/2021	84	North_King_County	2021-08-18	delta
USA/WA-UW-21072924812/2021	85	North_King_County	2021-07-29	delta
USA/WA-UW-21073184909/2021	86	South_King_County	2021-07-31	delta
USA/WA-CDC-UW21073039051/2021	87	North_King_County	2021-07-30	delta
USA/WA-CDC-UW21073181808/2021	88	South_King_County	2021-07-31	delta
USA/WA-UW-21071172053/2021	88	North_King_County	2021-07-11	delta
USA/WA-Altius-ALTCOV-MCEIPBVBVSFO72VB/2021	89	North_King_County	2021-07-05	delta
USA/WA-S10057/2021	90	South_King_County	2021-07-24	delta
USA/WA-UW-21072813151/2021	91	North_King_County	2021-07-28	delta
USA/WA-CDC-LC0357412/2021	92	North_King_County	2021-10-28	delta
USA/WA-CDC-UW21110281362/2021	93	North_King_County	2021-11-02	delta
USA/WA-CDC-UW21101810978/2021	93	North_King_County	2021-10-18	delta
USA/WA-CDC-UW21061401089/2021	94	South_King_County	2021-06-14	delta
USA/WA-UW-21081213782/2021	95	North_King_County	2021-08-12	delta
USA/WA-CDC-UW21090978610/2021	96	South_King_County	2021-09-09	delta
USA/WA-UW-21072622082/2021	97	North_King_County	2021-07-26	delta
USA/WA-CDC-UW21072226726/2021	98	North_King_County	2021-07-22	delta
USA/WA-UW-21072892393/2021	98	South_King_County	2021-07-28	delta
USA/WA-CDC-UW21072038204/2021	99	North_King_County	2021-07-20	delta
USA/WA-UW-21072643967/2021	99	North_King_County	2021-07-26	delta
USA/WA-CDC-UW21081929383/2021	100	North_King_County	2021-08-19	delta
USA/WA-CDC-UW21090209795/2021	101	North_King_County	2021-09-02	delta
USA/WA-UW-21072740853/2021	102	North_King_County	2021-07-27	delta
USA/WA-CDC-UW21073171928/2021	103	South_King_County	2021-07-31	delta
USA/WA-UW-21071709298/2021	104	North_King_County	2021-07-17	delta
USA/WA-CDC-UW21090702569/2021	105	North_King_County	2021-09-07	delta
USA/WA-CDC-UW21100214199/2021	105	South_King_County	2021-10-02	delta
USA/WA-CDC-UW21091131219/2021	105	South_King_County	2021-09-11	delta
USA/WA-CDC-UW21082647297/2021	106	North_King_County	2021-08-26	delta
USA/WA-CDC-UW21112616745/2021	107	North_King_County	2021-11-26	delta
USA/WA-UW-21112348338/2021	108	North_King_County	2021-11-23	delta
USA/WA-S15667/2021	108	North_King_County	2021-11-23	delta
USA/WA-CDC-LC0417313/2021	109	North_King_County	2021-12-05	delta
USA/WA-S15073/2021	110	North_King_County	2021-10-15	delta
USA/WA-CDC-UW21073195595/2021	111	North_King_County	2021-07-31	delta
USA/WA-CDC-UW21072259434/2021	111	North_King_County	2021-07-22	delta
USA/WA-UW-21072480154/2021	111	North_King_County	2021-07-24	delta
USA/WA-UW-21072688786/2021	111	North_King_County	2021-07-26	delta
USA/WA-S10654/2021	111	North_King_County	2021-07-27	delta
USA/WA-CDC-UW21121109878/2021	112	South_King_County	2021-12-11	delta
USA/WA-UW-21092840289/2021	113	South_King_County	2021-09-28	delta
USA/WA-UW-21092964611/2021	113	North_King_County	2021-09-29	delta
USA/WA-CDC-UW21100137442/2021	113	North_King_County	2021-10-01	delta
USA/WA-CDC-LC0328862/2021	114	South_King_County	2021-10-08	delta
USA/WA-CDC-UW21061561951/2021	115	South_King_County	2021-06-15	delta
USA/WA-CDC-UW21061553710/2021	115	South_King_County	2021-06-15	delta
USA/WA-S9330/2021	116	South_King_County	2021-06-17	delta
USA/WA-CDC-UW21081433543/2021	117	North_King_County	2021-08-14	delta
USA/WA-CDC-UW21100179966/2021	117	South_King_County	2021-10-01	delta
USA/WA-CDC-UW21102276920/2021	117	South_King_County	2021-10-22	delta
USA/WA-CDC-UW21090723109/2021	117	South_King_County	2021-09-07	delta
USA/WA-UW-21080293164/2021	117	South_King_County	2021-08-02	delta
USA/WA-CDC-QDX27388194/2021	118	North_King_County	2021-07-31	delta
USA/WA-CDC-UW21082864076/2021	119	North_King_County	2021-08-28	delta
USA/WA-CDC-UW21091888573/2021	120	North_King_County	2021-09-18	delta
