strain	cluster	location	date	variant
USA/WA-CDC-UW22030142753/2022	1	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22021499698/2022	2	South_King_County	2022-02-14	omicron
USA/WA-CDC-UW22030562113/2022	3	South_King_County	2022-03-05	omicron
USA/WA-CDC-UW22030627985/2022	4	North_King_County	2022-03-06	omicron
USA/WA-CDC-UW22030376122/2022	5	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030506573/2022	5	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22020456957/2022	6	South_King_County	2022-02-04	omicron
USA/WA-CDC-UW22030130099/2022	7	North_King_County	2022-03-01	omicron
USA/WA-CDC-LC0561796/2022	8	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22030425023/2022	9	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030559954/2022	10	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22020968936/2022	11	North_King_County	2022-02-09	omicron
USA/WA-CDC-UW22030103645/2022	12	North_King_County	2022-03-01	omicron
USA/WA-UW-22020965825/2022	13	North_King_County	2022-02-09	omicron
USA/WA-CDC-UW22020951843/2022	13	North_King_County	2022-02-09	omicron
USA/WA-UW-22022311442/2022	14	North_King_County	2022-02-23	omicron
USA/WA-CDC-LC0551554/2022	15	North_King_County	2022-02-21	omicron
USA/WA-CDC-UW22030219809/2022	16	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030204652/2022	17	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22022805748/2022	18	North_King_County	2022-02-28	omicron
USA/WA-PHL-015945/2022	19	South_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030163649/2022	20	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030418355/2022	21	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030167149/2022	21	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22022597162/2022	22	North_King_County	2022-02-25	omicron
USA/WA-CDC-UW22020955051/2022	23	North_King_County	2022-02-09	omicron
USA/WA-S19209/2022	24	North_King_County	2022-02-14	omicron
USA/WA-CDC-LC0499578/2022	25	North_King_County	2022-01-19	omicron
USA/WA-S18124/2022	26	North_King_County	2022-01-19	omicron
USA/WA-UW-22022311436/2022	27	North_King_County	2022-02-23	omicron
USA/WA-CDC-UW22030541717/2022	28	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22020903087/2022	29	North_King_County	2022-02-09	omicron
USA/WA-UW-22022191677/2022	30	North_King_County	2022-02-21	omicron
USA/WA-S19201/2022	31	South_King_County	2022-02-12	omicron
USA/WA-CDC-UW22022803675/2022	32	North_King_County	2022-02-28	omicron
USA/WA-CDC-UW22021666977/2022	32	North_King_County	2022-02-16	omicron
USA/WA-CDC-UW22030477682/2022	33	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030134927/2022	34	North_King_County	2022-03-01	omicron
USA/WA-UW-22022332408/2022	35	South_King_County	2022-02-23	omicron
USA/WA-UW-22030330167/2022	35	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030172084/2022	35	South_King_County	2022-03-01	omicron
USA/WA-CDC-UW22022803969/2022	35	South_King_County	2022-02-28	omicron
USA/WA-CDC-UW22030278786/2022	35	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030251941/2022	35	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030477100/2022	36	North_King_County	2022-03-04	omicron
USA/WA-PHL-016150/2022	37	North_King_County	2022-03-04	omicron
USA/WA-CDC-LC0529019/2022	37	South_King_County	2022-02-05	omicron
USA/WA-PHL-014954/2022	37	South_King_County	2022-02-14	omicron
USA/WA-PHL-014955/2022	37	South_King_County	2022-02-14	omicron
USA/WA-PHL-016151/2022	38	North_King_County	2022-03-04	omicron
USA/WA-CDC-LC0560104/2022	39	North_King_County	2022-03-01	omicron
USA/WA-CDC-LC0561622/2022	39	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030422113/2022	40	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030375307/2022	41	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030157156/2022	41	South_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030354220/2022	41	South_King_County	2022-03-03	omicron
USA/WA-CDC-UW22022653264/2022	42	South_King_County	2022-02-26	omicron
USA/WA-CDC-UW22022626680/2022	43	North_King_County	2022-02-26	omicron
USA/WA-CDC-UW22021498680/2022	44	North_King_County	2022-02-14	omicron
USA/WA-CDC-UW22021948663/2022	45	North_King_County	2022-02-19	omicron
USA/WA-CDC-UW22030145449/2022	46	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030244725/2022	47	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22022563265/2022	48	North_King_County	2022-02-25	omicron
USA/WA-CDC-UW22021009723/2022	49	North_King_County	2022-02-10	omicron
USA/WA-PHL-014851/2022	50	South_King_County	2022-02-10	omicron
USA/WA-CDC-UW22030459769/2022	51	North_King_County	2022-03-04	omicron
USA/WA-S17943/2022	52	North_King_County	2022-01-17	omicron
USA/WA-UW-22021771512/2022	53	North_King_County	2022-02-17	omicron
USA/WA-UW-22030112689/2022	53	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030543824/2022	54	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22030163515/2022	55	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22022810831/2022	56	North_King_County	2022-02-28	omicron
USA/WA-CDC-UW22022897631/2022	56	North_King_County	2022-02-28	omicron
USA/WA-S19224/2022	57	North_King_County	2022-02-19	omicron
USA/WA-S19069/2022	58	North_King_County	2022-02-27	omicron
USA/WA-CDC-UW22030451209/2022	59	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22021402152/2022	60	North_King_County	2022-02-14	omicron
USA/WA-S18797/2022	61	North_King_County	2022-02-02	omicron
