strain	cluster	location	date	variant
USA/WA-CDC-UW22022356761/2022	62	North_King_County	2022-02-23	omicron
USA/WA-CDC-UW22030677903/2022	63	North_King_County	2022-03-06	omicron
USA/WA-PHL-010084/2022	64	North_King_County	2022-01-03	omicron
USA/WA-CDC-UW22021257407/2022	65	South_King_County	2022-02-12	omicron
USA/WA-CDC-UW22021270818/2022	65	South_King_County	2022-02-12	omicron
USA/WA-CDC-UW22021480340/2022	65	North_King_County	2022-02-14	omicron
USA/WA-CDC-UW22021835754/2022	65	North_King_County	2022-02-18	omicron
USA/WA-UW-22021813116/2022	65	North_King_County	2022-02-18	omicron
USA/WA-CDC-UW22021043726/2022	65	South_King_County	2022-02-10	omicron
USA/WA-CDC-LC0521589/2022	65	South_King_County	2022-02-01	omicron
USA/WA-CDC-UW22021030240/2022	65	North_King_County	2022-02-10	omicron
USA/WA-CDC-UW22021690971/2022	65	North_King_County	2022-02-16	omicron
USA/WA-CDC-LC0557138/2022	65	South_King_County	2022-02-17	omicron
USA/WA-CDC-UW22022547816/2022	65	North_King_County	2022-02-25	omicron
USA/WA-CDC-UW22022523541/2022	65	North_King_County	2022-02-25	omicron
USA/WA-CDC-UW22021494661/2022	66	North_King_County	2022-02-14	omicron
USA/WA-CDC-UW22021463659/2022	66	North_King_County	2022-02-14	omicron
USA/WA-PHL-015910/2022	67	South_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030129519/2022	67	South_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030245863/2022	68	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030111072/2022	69	North_King_County	2022-03-01	omicron
USA/WA-PHL-015930/2022	70	South_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030136693/2022	70	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030222047/2022	70	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030279346/2022	70	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030207958/2022	70	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030253310/2022	70	North_King_County	2022-03-02	omicron
USA/WA-CDC-LC0561597/2022	70	North_King_County	2022-03-05	omicron
USA/WA-S19110/2022	70	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030433564/2022	70	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030185692/2022	71	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030470099/2022	72	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030544696/2022	73	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22021078498/2022	74	North_King_County	2022-02-10	omicron
USA/WA-UW-22021249796/2022	74	North_King_County	2022-02-12	omicron
USA/WA-S19075/2022	75	South_King_County	2022-02-24	omicron
USA/WA-S19418/2022	75	South_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030151981/2022	76	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030188172/2022	76	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030275368/2022	77	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030456648/2022	78	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030666823/2022	79	North_King_County	2022-03-06	omicron
USA/WA-CDC-UW22030206482/2022	80	North_King_County	2022-03-02	omicron
USA/WA-S19076/2022	80	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030235474/2022	80	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030109813/2022	81	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030283489/2022	82	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22030393746/2022	83	North_King_County	2022-03-03	omicron
USA/WA-CDC-LC0554902/2022	84	North_King_County	2022-02-24	omicron
USA/WA-UW-22030522877/2022	85	North_King_County	2022-03-05	omicron
USA/WA-UW-22021757002/2022	86	North_King_County	2022-02-17	omicron
USA/WA-CDC-UW22030391267/2022	87	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030530959/2022	87	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22030459293/2022	88	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030530088/2022	89	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22030686644/2022	90	North_King_County	2022-03-06	omicron
USA/WA-CDC-UW22030680819/2022	90	North_King_County	2022-03-06	omicron
USA/WA-CDC-UW22030355728/2022	91	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030109509/2022	92	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030156950/2022	92	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030214060/2022	93	North_King_County	2022-03-02	omicron
USA/WA-S19072/2022	94	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030346773/2022	95	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW22030169010/2022	96	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030111885/2022	96	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030154264/2022	97	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22021227973/2022	98	North_King_County	2022-02-12	omicron
USA/WA-CDC-UW22030167630/2022	98	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030142932/2022	99	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22022820585/2022	100	North_King_County	2022-02-28	omicron
USA/WA-CDC-UW22022812972/2022	100	North_King_County	2022-02-28	omicron
USA/WA-CDC-UW22030157634/2022	101	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030377648/2022	102	North_King_County	2022-03-03	omicron
USA/WA-UW-22030560560/2022	102	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22030170015/2022	103	North_King_County	2022-03-01	omicron
USA/WA-UW-22030687657/2022	104	North_King_County	2022-03-06	omicron
USA/WA-CDC-UW22030517881/2022	105	North_King_County	2022-03-05	omicron
USA/WA-CDC-UW22021253095/2022	106	North_King_County	2022-02-12	omicron
USA/WA-CDC-UW22022511549/2022	107	North_King_County	2022-02-25	omicron
USA/WA-CDC-UW22030256268/2022	108	North_King_County	2022-03-02	omicron
USA/WA-CDC-UW22022838831/2022	109	South_King_County	2022-02-28	omicron
USA/WA-CDC-UW22030190885/2022	109	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22021519722/2022	109	South_King_County	2022-02-15	omicron
USA/WA-CDC-UW22030128779/2022	110	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22022628385/2022	111	North_King_County	2022-02-26	omicron
USA/WA-CDC-UW22030189870/2022	112	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030198439/2022	113	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030144851/2022	114	North_King_County	2022-03-01	omicron
USA/WA-CDC-UW22030496332/2022	115	South_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030669453/2022	116	North_King_County	2022-03-06	omicron
USA/WA-CDC-UW22021931782/2022	117	North_King_County	2022-02-19	omicron
USA/WA-CDC-UW22022582575/2022	117	North_King_County	2022-02-25	omicron
USA/WA-CDC-UW22021676395/2022	117	North_King_County	2022-02-16	omicron
USA/WA-CDC-UW22021602271/2022	117	North_King_County	2022-02-16	omicron
USA/WA-CDC-UW22030298639/2022	118	North_King_County	2022-03-02	omicron
USA/WA-PHL-015942/2022	119	North_King_County	2022-03-03	omicron
USA/WA-S19151/2022	120	North_King_County	2022-03-06	omicron
USA/WA-S19152/2022	120	North_King_County	2022-03-06	omicron
USA/WA-PHL-016155/2022	121	South_King_County	2022-03-04	omicron
USA/WA-PHL-015927/2022	122	South_King_County	2022-03-02	omicron
USA/WA-CDC-UW22021590765/2022	123	South_King_County	2022-02-15	omicron
USA/WA-PHL-014917/2022	123	South_King_County	2022-02-14	omicron
USA/WA-S16145/2022	124	South_King_County	2022-01-07	omicron
USA/WA-S16051/2022	125	North_King_County	2022-01-01	omicron
USA/WA-S16060/2022	125	North_King_County	2022-01-01	omicron
USA/WA-S16047/2022	125	North_King_County	2022-01-01	omicron
USA/WA-CDC-UW21123093094/2021	126	South_King_County	2021-12-30	omicron
USA/WA-UW-22021467633/2022	127	North_King_County	2022-02-14	omicron
USA/WA-S17155/2022	128	North_King_County	2022-01-10	omicron
USA/WA-CDC-UW22021205132/2022	129	North_King_County	2022-02-12	omicron
USA/WA-CDC-UW22030539174/2022	130	South_King_County	2022-03-05	omicron
USA/WA-CDC-LC0445793/2021	131	North_King_County	2021-12-27	omicron
USA/WA-S17278/2022	132	North_King_County	2022-01-11	omicron
USA/WA-CDC-UW21121353852/2021	133	North_King_County	2021-12-13	omicron
USA/WA-S16187/2021	134	North_King_County	2021-12-22	omicron
USA/WA-CDC-UW21122496962/2021	135	North_King_County	2021-12-24	omicron
USA/WA-S16103/2022	136	North_King_County	2022-01-07	omicron
USA/WA-S17142/2022	137	South_King_County	2022-01-11	omicron
USA/WA-S17161/2022	138	South_King_County	2022-01-10	omicron
USA/WA-CDC-UW22021563734/2022	139	South_King_County	2022-02-15	omicron
USA/WA-CDC-UW21122894560/2021	139	North_King_County	2021-12-28	omicron
USA/WA-CDC-UW21122746942/2021	139	North_King_County	2021-12-27	omicron
USA/WA-CDC-UW22010212419/2022	139	North_King_County	2022-01-02	omicron
USA/WA-UW-21123065557/2021	139	North_King_County	2021-12-30	omicron
USA/WA-CDC-UW22021657130/2022	139	South_King_County	2022-02-16	omicron
USA/WA-CDC-LC0433207/2021	140	North_King_County	2021-12-14	omicron
USA/WA-S15927/2021	141	North_King_County	2021-12-28	omicron
USA/WA-CDC-LC0563220/2022	142	North_King_County	2022-03-04	omicron
USA/WA-CDC-UW22030699113/2022	143	North_King_County	2022-03-06	omicron
USA/WA-S18002/2022	144	North_King_County	2022-01-17	omicron
USA/WA-UW-21123195742/2021	145	North_King_County	2021-12-31	omicron
USA/WA-CDC-UW21123172328/2021	146	North_King_County	2021-12-31	omicron
USA/WA-S17210/2022	147	North_King_County	2022-01-10	omicron
USA/WA-CDC-UW21123139942/2021	148	North_King_County	2021-12-31	omicron
USA/WA-PHL-009577/2021	149	South_King_County	2021-12-14	omicron
USA/WA-CDC-LC0490479/2022	150	North_King_County	2022-01-11	omicron
USA/WA-S18031/2022	151	South_King_County	2022-01-19	omicron
USA/WA-S18461/2022	152	North_King_County	2022-01-26	omicron
USA/WA-CDC-UW21121783287/2021	153	North_King_County	2021-12-17	omicron
USA/WA-CDC-UW22022821534/2022	154	South_King_County	2022-02-28	omicron
USA/WA-CDC-UW22021404948/2022	154	North_King_County	2022-02-14	omicron
USA/WA-PHL-009814/2021	155	South_King_County	2021-12-17	omicron
USA/WA-CDC-ASC210642805/2021	156	North_King_County	2021-12-21	omicron
USA/WA-CDC-UW22010702382/2022	157	North_King_County	2022-01-07	omicron
USA/WA-CDC-UW21122498997/2021	158	North_King_County	2021-12-24	omicron
USA/WA-CDC-UW22011021118/2022	158	South_King_County	2022-01-10	omicron
USA/WA-CDC-UW21121438385/2021	158	North_King_County	2021-12-14	omicron
USA/WA-CDC-UW21121457418/2021	158	North_King_County	2021-12-14	omicron
USA/WA-UW-22010815153/2022	158	North_King_County	2022-01-08	omicron
USA/WA-CDC-UW22010521954/2022	158	South_King_County	2022-01-05	omicron
USA/WA-UW-22021699219/2022	159	North_King_County	2022-02-16	omicron
USA/WA-CDC-UW21121453468/2021	160	North_King_County	2021-12-14	omicron
USA/WA-CDC-UW22010829769/2022	161	North_King_County	2022-01-08	omicron
USA/WA-CDC-UW22010899215/2022	162	North_King_County	2022-01-08	omicron
USA/WA-CDC-UW22020999318/2022	162	North_King_County	2022-02-09	omicron
USA/WA-CDC-UW21121430073/2021	163	North_King_County	2021-12-14	omicron
USA/WA-CDC-UW21121853723/2021	164	North_King_County	2021-12-18	omicron
USA/WA-CDC-UW22010715634/2022	165	South_King_County	2022-01-07	omicron
USA/WA-CDC-LC0455201/2021	166	North_King_County	2021-12-30	omicron
USA/WA-CDC-UW22020959802/2022	167	North_King_County	2022-02-09	omicron
USA/WA-PHL-009655/2021	168	South_King_County	2021-12-15	omicron
USA/WA-S15802/2021	169	North_King_County	2021-12-15	omicron
USA/WA-CDC-UW22011089213/2022	170	South_King_County	2022-01-10	omicron
USA/WA-S16515/2021	171	North_King_County	2021-12-28	omicron
USA/WA-S16464/2021	172	North_King_County	2021-12-29	omicron
USA/WA-S18042/2022	173	North_King_County	2022-01-19	omicron
USA/WA-UW-22021811047/2022	174	South_King_County	2022-02-18	omicron
USA/WA-S16721/2022	175	North_King_County	2022-01-05	omicron
USA/WA-CDC-LC0538272/2022	176	South_King_County	2022-02-09	omicron
USA/WA-S19194/2022	177	North_King_County	2022-02-11	omicron
USA/WA-CDC-UW21121615473/2021	178	North_King_County	2021-12-16	omicron
USA/WA-UW-22011030080/2022	178	South_King_County	2022-01-10	omicron
USA/WA-UW-22011026792/2022	178	South_King_County	2022-01-10	omicron
USA/WA-S15777/2021	179	North_King_County	2021-12-17	omicron
USA/WA-S18209/2022	180	South_King_County	2022-01-19	omicron
USA/WA-CDC-UW22010446481/2022	181	North_King_County	2022-01-04	omicron
USA/WA-PHL-009839/2021	182	South_King_County	2021-12-18	omicron
USA/WA-UW-22022473784/2022	183	North_King_County	2022-02-24	omicron
USA/WA-UW-22022215185/2022	184	South_King_County	2022-02-22	omicron
USA/WA-UW-22030686294/2022	185	North_King_County	2022-03-06	omicron
USA/WA-CDC-LC0422018/2021	186	South_King_County	2021-12-08	omicron
USA/WA-S18051/2022	187	North_King_County	2022-01-18	omicron
USA/WA-UW-22011097699/2022	188	South_King_County	2022-01-10	omicron
USA/WA-S18180/2022	189	North_King_County	2022-01-17	omicron
USA/WA-S16114/2022	190	North_King_County	2022-01-07	omicron
USA/WA-CDC-LC0484237/2022	191	South_King_County	2022-01-11	omicron
USA/WA-CDC-LC0538647/2022	191	South_King_County	2022-02-11	omicron
USA/WA-CDC-UW21122872238/2021	191	South_King_County	2021-12-28	omicron
USA/WA-CDC-ASC210559757/2021	191	North_King_County	2021-12-29	omicron
USA/WA-CDC-UW22030557714/2022	192	South_King_County	2022-03-05	omicron
USA/WA-UW-21122002406/2021	193	North_King_County	2021-12-20	omicron
USA/WA-UW-22021286162/2022	194	North_King_County	2022-02-12	omicron
USA/WA-CDC-UW22020872086/2022	194	North_King_County	2022-02-08	omicron
USA/WA-S17979/2022	195	North_King_County	2022-01-18	omicron
USA/WA-S17065/2022	196	North_King_County	2022-01-09	omicron
USA/WA-S16876/2022	197	North_King_County	2022-01-08	omicron
USA/WA-CDC-UW21122789688/2021	198	North_King_County	2021-12-27	omicron
USA/WA-CDC-UW21122162920/2021	199	North_King_County	2021-12-21	omicron
USA/WA-CDC-UW22011071393/2022	199	South_King_County	2022-01-10	omicron
USA/WA-CDC-UW22010290320/2022	199	North_King_County	2022-01-02	omicron
USA/WA-CDC-UW21122864618/2021	199	North_King_County	2021-12-28	omicron
USA/WA-CDC-UW21123162414/2021	199	South_King_County	2021-12-31	omicron
USA/WA-CDC-UW21122748461/2021	199	North_King_County	2021-12-27	omicron
USA/WA-CDC-UW21122717814/2021	199	South_King_County	2021-12-27	omicron
USA/WA-CDC-UW21123192251/2021	199	South_King_County	2021-12-31	omicron
USA/WA-UW-21123036401/2021	200	North_King_County	2021-12-30	omicron
USA/WA-CDC-UW22010734917/2022	200	South_King_County	2022-01-07	omicron
USA/WA-CDC-ASC210602544/2022	201	North_King_County	2022-01-19	omicron
USA/WA-S16189/2021	202	North_King_County	2021-12-22	omicron
USA/WA-PHL-016539/2021	202	North_King_County	2021-12-24	omicron
USA/WA-S15982/2021	202	North_King_County	2021-12-29	omicron
USA/WA-S16546/2022	203	North_King_County	2022-01-03	omicron
USA/WA-S16736/2022	204	North_King_County	2022-01-05	omicron
USA/WA-CDC-ASC210642126/2021	205	North_King_County	2021-12-26	omicron
USA/WA-CDC-UW21122075264/2021	206	North_King_County	2021-12-20	omicron
USA/WA-CDC-UW22010184447/2022	206	North_King_County	2022-01-01	omicron
USA/WA-CDC-UW21121902035/2021	206	North_King_County	2021-12-19	omicron
USA/WA-CDC-UW21122098894/2021	206	North_King_County	2021-12-20	omicron
USA/WA-CDC-UW22010831847/2022	206	North_King_County	2022-01-08	omicron
USA/WA-CDC-UW22010842454/2022	206	North_King_County	2022-01-08	omicron
USA/WA-CDC-UW22010833174/2022	207	South_King_County	2022-01-08	omicron
USA/WA-UW-21122164946/2021	208	North_King_County	2021-12-21	omicron
USA/WA-UW-22011097077/2022	209	North_King_County	2022-01-10	omicron
USA/WA-S16872/2022	210	South_King_County	2022-01-08	omicron
USA/WA-CDC-LC0475596/2022	211	South_King_County	2022-01-04	omicron
USA/WA-CDC-LC0471523/2022	212	South_King_County	2022-01-04	omicron
USA/WA-CDC-UW22021589542/2022	213	North_King_County	2022-02-15	omicron
USA/WA-S16952/2022	214	North_King_County	2022-01-06	omicron
USA/WA-CDC-UW22012268160/2022	214	North_King_County	2022-01-22	omicron
USA/WA-S18549/2022	214	North_King_County	2022-02-01	omicron
USA/WA-CDC-UW22012269368/2022	214	North_King_County	2022-01-22	omicron
USA/WA-S16479/2022	215	North_King_County	2022-01-04	omicron
USA/WA-S15829/2021	216	North_King_County	2021-12-22	omicron
USA/WA-S17107/2022	217	North_King_County	2022-01-10	omicron
USA/WA-CDC-UW21122475577/2021	218	North_King_County	2021-12-24	omicron
USA/WA-UW-22011042744/2022	219	North_King_County	2022-01-10	omicron
USA/WA-CDC-LC0451422/2021	220	North_King_County	2021-12-28	omicron
USA/WA-S15960/2021	221	North_King_County	2021-12-28	omicron
USA/WA-S16412/2022	222	North_King_County	2022-01-04	omicron
USA/WA-S17570/2022	223	North_King_County	2022-01-12	omicron
USA/WA-CDC-UW22010682622/2022	224	North_King_County	2022-01-06	omicron
USA/WA-UW-22011021837/2022	225	South_King_County	2022-01-10	omicron
USA/WA-CDC-UW22021615472/2022	226	North_King_County	2022-02-16	omicron
USA/WA-UW-21122236727/2021	227	North_King_County	2021-12-22	omicron
USA/WA-CDC-UW21122076098/2021	227	North_King_County	2021-12-20	omicron
USA/WA-CDC-UW22020734363/2022	228	North_King_County	2022-02-07	omicron
USA/WA-CDC-UW21120833933/2021	229	South_King_County	2021-12-08	omicron
USA/WA-CDC-UW21120843079/2021	229	North_King_County	2021-12-08	omicron
USA/WA-CDC-UW21120882966/2021	229	North_King_County	2021-12-08	omicron
USA/WA-CDC-UW22020711298/2022	230	North_King_County	2022-02-07	omicron
USA/WA-CDC-LC0466428/2022	231	North_King_County	2022-01-06	omicron
USA/WA-S17965/2022	232	North_King_County	2022-01-18	omicron
USA/WA-S16073/2022	233	North_King_County	2022-01-07	omicron
USA/WA-S16133/2022	234	North_King_County	2022-01-07	omicron
USA/WA-CDC-UW22030157164/2022	235	South_King_County	2022-03-01	omicron
USA/WA-UW-22021753116/2022	236	South_King_County	2022-02-17	omicron
USA/WA-CDC-UW22021538518/2022	236	South_King_County	2022-02-15	omicron
USA/WA-CDC-UW22022563927/2022	237	North_King_County	2022-02-25	omicron
USA/WA-CDC-UW21121406381/2021	238	North_King_County	2021-12-14	omicron
USA/WA-UW-21122904622/2021	238	North_King_County	2021-12-29	omicron
USA/WA-CDC-UW21121765113/2021	238	North_King_County	2021-12-17	omicron
USA/WA-CDC-UW21121566628/2021	238	North_King_County	2021-12-15	omicron
USA/WA-CDC-UW22010820345/2022	238	North_King_County	2022-01-08	omicron
USA/WA-UW-22011003728/2022	238	South_King_County	2022-01-10	omicron
USA/WA-S19092/2022	238	North_King_County	2022-03-03	omicron
USA/WA-CDC-UW21122721971/2021	238	North_King_County	2021-12-27	omicron
USA/WA-CDC-UW21123088952/2021	238	South_King_County	2021-12-30	omicron
USA/WA-CDC-UW21121876412/2021	238	North_King_County	2021-12-18	omicron
USA/WA-UW-21122158410/2021	238	North_King_County	2021-12-21	omicron
USA/WA-CDC-UW22010849944/2022	239	North_King_County	2022-01-08	omicron
USA/WA-CDC-UW21121475948/2021	240	North_King_County	2021-12-14	omicron
USA/WA-CDC-UW21121931189/2021	240	North_King_County	2021-12-19	omicron
USA/WA-CDC-UW21122935749/2021	241	North_King_County	2021-12-29	omicron
USA/WA-UW-21122452032/2021	242	North_King_County	2021-12-24	omicron
USA/WA-CDC-UW21122985126/2021	243	North_King_County	2021-12-29	omicron
USA/WA-CDC-UW22010835196/2022	244	North_King_County	2022-01-08	omicron
USA/WA-CDC-STM-FZVKXXRF3/2021	245	North_King_County	2021-12-27	omicron
USA/WA-CDC-UW21122921972/2021	245	North_King_County	2021-12-29	omicron
USA/WA-CDC-UW22030293406/2022	246	North_King_County	2022-03-02	omicron
USA/WA-S18968/2022	247	South_King_County	2022-02-11	omicron
USA/WA-S18202/2022	248	South_King_County	2022-01-19	omicron
USA/WA-CDC-UW22010881943/2022	249	South_King_County	2022-01-08	omicron
USA/WA-CDC-UW22010567661/2022	250	North_King_County	2022-01-05	omicron
USA/WA-CDC-ASC210581842/2022	251	North_King_County	2022-01-10	omicron
USA/WA-CDC-UW22010888592/2022	252	South_King_County	2022-01-08	omicron
USA/WA-CDC-UW22022826270/2022	252	South_King_County	2022-02-28	omicron
USA/WA-CDC-UW21121341079/2021	253	North_King_County	2021-12-13	omicron
USA/WA-CDC-UW21122408251/2021	254	North_King_County	2021-12-24	omicron
USA/WA-CDC-UW21121145182/2021	255	North_King_County	2021-12-11	omicron
USA/WA-CDC-UW21121275207/2021	255	North_King_County	2021-12-12	omicron
USA/WA-CDC-UW21121266736/2021	256	North_King_County	2021-12-12	omicron
USA/WA-CDC-UW21121434958/2021	257	North_King_County	2021-12-14	omicron
USA/WA-CDC-UW22010861697/2022	258	North_King_County	2022-01-08	omicron
USA/WA-CDC-LC0538651/2022	259	South_King_County	2022-02-10	omicron
USA/WA-CDC-UW21121622189/2021	260	North_King_County	2021-12-16	omicron
USA/WA-CDC-UW21121698029/2021	260	South_King_County	2021-12-16	omicron
