Switzerland/190004_533_G10/2020	EPI_ISL_498622	division	Zürich # previously Zurich
Switzerland/190005_534_D5/2020	EPI_ISL_498623	division	Zürich # previously Zurich
Switzerland/190007_536_A1/2020	EPI_ISL_498625	division	Zürich # previously Zurich
Switzerland/190008_537_B3/2020	EPI_ISL_498626	division	Zürich # previously Zurich
Switzerland/190006_535_F9/2020	EPI_ISL_498624	division	Basel-Land # previously Basel-Landschaft
Bangladesh/BCSIR-NILMRC_258/2020	EPI_ISL_498253	division	Khulna # previously false division Jashore
Bangladesh/BCSIR-NILMRC_258/2020	EPI_ISL_498253	location	Jashore
Bangladesh/BCSIR-NILMRC_259/2020	EPI_ISL_498808	division	Khulna # previously false division Jashore
Bangladesh/BCSIR-NILMRC_259/2020	EPI_ISL_498808	location	Jashore
Bangladesh/BCSIR-NILMRC_260/2020	EPI_ISL_498254	division	Khulna # previously false division Jashore
Bangladesh/BCSIR-NILMRC_260/2020	EPI_ISL_498254	location	Jashore
