start_date	poi_geo	visitor_geo	sum_visits	category
2018-01-01	North King	North King	6618739.703851811	within North
2018-01-01	North King	South King	781096.6920415498	South to North
2018-01-01	South King	North King	594227.4115716759	North to South
2018-01-01	South King	South King	2783090.790641361	within South
2018-01-08	North King	North King	7403305.988938748	within North
2018-01-08	North King	South King	928230.5560367317	South to North
2018-01-08	South King	North King	624250.3093498904	North to South
2018-01-08	South King	South King	3126633.326307002	within South
2018-01-15	North King	North King	8113905.635127886	within North
2018-01-15	North King	South King	985068.8920884755	South to North
2018-01-15	South King	North King	649285.6681571573	North to South
2018-01-15	South King	South King	3095142.5450426275	within South
2018-01-22	North King	North King	8358422.389721695	within North
2018-01-22	North King	South King	1017050.2882169174	South to North
2018-01-22	South King	North King	665914.9746261894	North to South
2018-01-22	South King	South King	3105811.4611499296	within South
2018-01-29	North King	North King	10702203.348210337	within North
2018-01-29	North King	South King	1159334.364560318	South to North
2018-01-29	South King	North King	768319.4425541316	North to South
2018-01-29	South King	South King	3922749.9023420243	within South
2018-02-05	North King	North King	9004798.620495046	within North
2018-02-05	North King	South King	1032419.2171502502	South to North
2018-02-05	South King	North King	704520.7265281918	North to South
2018-02-05	South King	South King	3378484.920083267	within South
2018-02-12	North King	North King	7783856.648010723	within North
2018-02-12	North King	South King	932859.5145110985	South to North
2018-02-12	South King	North King	664861.2450712732	North to South
2018-02-12	South King	South King	3101572.8258254533	within South
2018-02-19	North King	North King	7462724.586433259	within North
2018-02-19	North King	South King	918105.7133479211	South to North
2018-02-19	South King	North King	707135.5689277899	North to South
2018-02-19	South King	South King	3166858.7915754924	within South
2018-02-26	North King	North King	9438736.116276953	within North
2018-02-26	North King	South King	1110228.359657902	South to North
2018-02-26	South King	North King	740162.7371940679	North to South
2018-02-26	South King	South King	3767829.228869074	within South
2018-03-05	North King	North King	7317801.227264214	within North
2018-03-05	North King	South King	877838.3551167235	South to North
2018-03-05	South King	North King	610603.6181286769	North to South
2018-03-05	South King	South King	2964899.628058605	within South
2018-03-12	North King	North King	6665963.621267012	within North
2018-03-12	North King	South King	796911.4084500147	South to North
2018-03-12	South King	North King	572081.9636247919	North to South
2018-03-12	South King	South King	2755393.819788505	within South
2018-03-19	North King	North King	8184671.646215712	within North
2018-03-19	North King	South King	971672.8466589901	South to North
2018-03-19	South King	North King	734663.3895406219	North to South
2018-03-19	South King	South King	3407530.1253463086	within South
2018-03-26	North King	North King	10248803.95276949	within North
2018-03-26	North King	South King	1287535.5899384557	South to North
2018-03-26	South King	North King	745615.794619545	North to South
2018-03-26	South King	South King	4769959.31811824	within South
2018-04-02	North King	North King	6407954.050494725	within North
2018-04-02	North King	South King	905227.6551199718	South to North
2018-04-02	South King	North King	557333.6684317142	North to South
2018-04-02	South King	South King	3070656.735335226	within South
2018-04-09	North King	North King	5907314.564972193	within North
2018-04-09	North King	South King	862053.4657007398	South to North
2018-04-09	South King	North King	557399.8210608803	North to South
2018-04-09	South King	South King	2977750.9365655486	within South
2018-04-16	North King	North King	7236553.310260157	within North
2018-04-16	North King	South King	983258.2417591233	South to North
2018-04-16	South King	North King	605555.9793659818	North to South
2018-04-16	South King	South King	3310850.757710726	within South
2018-04-23	North King	North King	7649069.503532215	within North
2018-04-23	North King	South King	1003430.8028357201	South to North
2018-04-23	South King	North King	605868.4988806368	North to South
2018-04-23	South King	South King	3373299.371994599	within South
2018-04-30	North King	North King	9346562.85619562	within North
2018-04-30	North King	South King	1236930.7546060637	South to North
2018-04-30	South King	North King	712256.0916743872	North to South
2018-04-30	South King	South King	4256134.084164441	within South
2018-05-07	North King	North King	7054454.200219521	within North
2018-05-07	North King	South King	944297.366222024	South to North
2018-05-07	South King	North King	552698.1151417914	North to South
2018-05-07	South King	South King	3123686.0235826652	within South
2018-05-14	North King	North King	7015096.51119255	within North
2018-05-14	North King	South King	938776.4845386768	South to North
2018-05-14	South King	North King	525920.8399603636	North to South
2018-05-14	South King	South King	3092979.864943849	within South
2018-05-21	North King	North King	6782914.73173086	within North
2018-05-21	North King	South King	997605.7056087808	South to North
2018-05-21	South King	North King	520876.26823215286	North to South
2018-05-21	South King	South King	3150480.711708864	within South
2018-05-28	North King	North King	8334989.31966398	within North
2018-05-28	North King	South King	1164165.4301947993	South to North
2018-05-28	South King	North King	653601.1263115695	North to South
2018-05-28	South King	South King	4177707.6110647446	within South
2018-06-04	North King	North King	6530301.082341344	within North
2018-06-04	North King	South King	953418.3292606679	South to North
2018-06-04	South King	North King	536444.3925312225	North to South
2018-06-04	South King	South King	3250328.136760245	within South
2018-06-11	North King	North King	6461584.2801218	within North
2018-06-11	North King	South King	1008618.4345855027	South to North
2018-06-11	South King	North King	559615.3047143222	North to South
2018-06-11	South King	South King	3312722.5212935675	within South
2018-06-18	North King	North King	6823739.887971275	within North
2018-06-18	North King	South King	1029019.7025108468	South to North
2018-06-18	South King	North King	574249.0940976846	North to South
2018-06-18	South King	South King	3505165.658622937	within South
2018-06-25	North King	North King	7709260.104059264	within North
2018-06-25	North King	South King	1222606.5456016716	South to North
2018-06-25	South King	North King	664995.8985316744	North to South
2018-06-25	South King	South King	4102394.3263139906	within South
2018-07-02	North King	North King	6069190.144438562	within North
2018-07-02	North King	South King	1008609.2809336332	South to North
2018-07-02	South King	North King	560624.0122047244	North to South
2018-07-02	South King	South King	3338979.169440217	within South
2018-07-09	North King	North King	6444025.6123315655	within North
2018-07-09	North King	South King	1036719.4678672903	South to North
2018-07-09	South King	North King	577877.8805889783	North to South
2018-07-09	South King	South King	3387067.354548564	within South
2018-07-16	North King	North King	6239205.280425459	within North
2018-07-16	North King	South King	1062684.5579360055	South to North
2018-07-16	South King	North King	555105.3504781997	North to South
2018-07-16	South King	South King	3273065.225407876	within South
2018-07-23	North King	North King	6616279.906611075	within North
2018-07-23	North King	South King	1062859.44957891	South to North
2018-07-23	South King	North King	610858.9642584199	North to South
2018-07-23	South King	South King	3466162.9415127467	within South
2018-07-30	North King	North King	7568126.827006535	within North
2018-07-30	North King	South King	1214041.499808081	South to North
2018-07-30	South King	North King	696929.3139912891	North to South
2018-07-30	South King	South King	4003458.8016027203	within South
2018-08-06	North King	North King	6295947.478190078	within North
2018-08-06	North King	South King	1031716.0326470406	South to North
2018-08-06	South King	North King	588234.9730098317	North to South
2018-08-06	South King	South King	3338055.9734377507	within South
2018-08-13	North King	North King	6114005.886565786	within North
2018-08-13	North King	South King	955437.2588002037	South to North
2018-08-13	South King	North King	554017.4220616206	North to South
2018-08-13	South King	South King	3149599.649226901	within South
2018-08-20	North King	North King	6908911.756445856	within North
2018-08-20	North King	South King	1041683.8403411346	South to North
2018-08-20	South King	North King	619958.85898453	North to South
2018-08-20	South King	South King	3674444.3895279644	within South
2018-08-27	North King	North King	8728048.385071458	within North
2018-08-27	North King	South King	1287734.660711909	South to North
2018-08-27	South King	North King	740719.5970385063	North to South
2018-08-27	South King	South King	4712823.123585905	within South
2018-09-03	North King	North King	6845816.916306492	within North
2018-09-03	North King	South King	992476.8438196608	South to North
2018-09-03	South King	North King	572829.4594488047	North to South
2018-09-03	South King	South King	3659094.859144178	within South
2018-09-10	North King	North King	5460373.663183281	within North
2018-09-10	North King	South King	855617.1940101364	South to North
2018-09-10	South King	North King	441034.34826663946	North to South
2018-09-10	South King	South King	2915500.167808132	within South
2018-09-17	North King	North King	7039184.84410151	within North
2018-09-17	North King	South King	1072199.441766534	South to North
2018-09-17	South King	North King	571952.9543846329	North to South
2018-09-17	South King	South King	3728110.417223078	within South
2018-09-24	North King	North King	9309553.695769226	within North
2018-09-24	North King	South King	1384878.0606483798	South to North
2018-09-24	South King	North King	709220.5878969632	North to South
2018-09-24	South King	South King	4866774.637917952	within South
2018-10-01	North King	North King	6380399.073137211	within North
2018-10-01	North King	South King	1012650.3576513883	South to North
2018-10-01	South King	North King	514627.195111769	North to South
2018-10-01	South King	South King	3497117.375763084	within South
2018-10-08	North King	North King	6678452.678907576	within North
2018-10-08	North King	South King	994226.8174664404	South to North
2018-10-08	South King	North King	554205.6126369388	North to South
2018-10-08	South King	South King	3619346.6476623984	within South
2018-10-15	North King	North King	6661440.378990691	within North
2018-10-15	North King	South King	1025213.8636048925	South to North
2018-10-15	South King	North King	538169.3781444726	North to South
2018-10-15	South King	South King	3647468.1899761516	within South
2018-10-22	North King	North King	6877051.724731183	within North
