,ZIP,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
330,98614,40323
331,98616,64250
332,98617,57772
333,98619,48889
334,98620,48522
335,98621,61979
336,98624,51786
337,98625,92770
338,98626,59058
339,98628,35125
340,98629,100275
341,98631,46186
342,98632,51188
343,98635,50134
344,98638,49929
345,98639,73145
346,98640,49600
347,98641,-
348,98642,97288
349,98643,86458
350,98644,24821
351,98645,79821
352,98647,-
353,98648,63750
354,98649,54087
355,98650,61964
356,98651,107188
357,98660,50407
358,98661,59466
359,98662,71059
360,98663,62835
361,98664,67007
362,98665,69524
363,98670,25417
364,98671,91505
365,98672,68594
366,98673,31250
367,98674,75487
368,98675,78047
369,98682,76299
370,98683,71835
371,98684,71667
372,98685,106059
373,98686,86543
374,98801,62595
375,98802,71093
376,98811,89609
377,98812,47717
378,98813,48500
379,98814,53298
380,98815,61672
381,98816,56582
382,98817,71279
383,98819,28333
384,98821,112318
385,98822,47000
386,98823,70472
387,98824,40313
388,98826,61470
389,98827,65110
390,98828,69362
391,98829,36607
392,98830,51771
393,98831,52070
394,98832,50625
395,98833,69615
396,98834,61111
397,98836,40653
398,98837,60793
399,98840,50788
400,98841,48829
401,98843,56168
402,98844,43306
403,98845,46875
404,98846,66622
405,98847,52442
406,98848,64893
407,98849,44632
408,98850,52094
409,98851,47643
410,98852,-
411,98853,-
412,98855,38933
413,98856,50625
414,98857,42591
415,98858,62645
416,98859,85500
417,98860,29583
418,98862,59349
419,98901,45062
420,98902,47283
421,98903,56754
422,98908,67016
423,98921,-
424,98922,61071
425,98923,40888
426,98925,57031
427,98926,59415
428,98929,-
429,98930,52145
430,98932,59208
431,98933,63194
432,98934,51364
433,98935,50956
434,98936,78920
435,98937,67170
436,98938,60199
437,98939,33750
438,98940,-
439,98941,54917
440,98942,70660
441,98943,47697
442,98944,48041
443,98946,59000
444,98947,51776
445,98948,53108
446,98950,-
447,98951,49238
448,98952,47837
449,98953,70689
450,99001,54489
451,99003,62477
452,99004,58343
453,99005,103420
454,99006,59400
455,99008,45208
456,99009,60469
457,99011,60133
458,99012,59375
459,99013,47500
460,99016,70635
461,99017,33750
462,99018,50000
463,99019,98453
464,99020,-
465,99021,72160
466,99022,76775
467,99023,119107
468,99025,73021
469,99026,81701
470,99027,63750
471,99029,77500
472,99030,66375
473,99031,75653
474,99032,61484
475,99033,60368
476,99034,-
477,99036,123664
478,99037,67189
479,99039,55769
480,99040,34076
481,99101,58125
482,99102,73800
483,99103,80357
484,99105,-
485,99109,50953
486,99110,55341
487,99111,55696
488,99113,62308
489,99114,51875
490,99115,54722
491,99116,58819
492,99117,77643
493,99118,46563
494,99119,54565
495,99121,-
496,99122,58482
497,99123,54493
498,99124,46875
499,99125,44875
500,99126,62672
501,99128,-
502,99129,37019
503,99130,59444
504,99131,60179
505,99133,41319
506,99134,35333
507,99135,60000
508,99136,32500
509,99137,36250
510,99138,39107
511,99139,65673
512,99140,33958
513,99141,54957
514,99143,33229
515,99144,34583
516,99146,17292
517,99147,70208
518,99148,60195
519,99149,37917
520,99150,36125
521,99151,41058
522,99152,57188
523,99153,37098
524,99154,104375
525,99155,30956
526,99156,59333
527,99157,36131
528,99158,58846
529,99159,53242
530,99160,22639
531,99161,76625
532,99163,33977
533,99164,-
534,99166,43730
535,99167,56818
536,99169,52827
537,99170,54063
538,99171,57917
539,99173,43627
540,99174,-
541,99176,44821
542,99179,71375
543,99180,47583
544,99181,52802
545,99185,71477
546,99201,27398
547,99202,47102
548,99203,78655
549,99204,41678
550,99205,56467
551,99206,61615
552,99207,42913
553,99208,65647
554,99212,59643
555,99216,50586
556,99217,62906
557,99218,53125
558,99223,75933
559,99224,66936
560,99301,66678
561,99320,64547
562,99321,-
563,99322,-
564,99323,69828
565,99324,52403
566,99326,72959
567,99328,65260
568,99329,-
569,99330,65735
570,99333,80804
571,99335,51250
572,99336,52158
573,99337,77854
574,99338,117286
575,99341,58482
576,99343,55828
577,99344,53328
578,99345,92500
579,99346,63229
580,99347,56298
581,99348,64243
582,99349,60500
583,99350,59536
584,99352,81471
585,99353,105115
586,99354,71546
587,99356,61042
588,99357,53654
589,99359,43438
590,99360,81029
591,99361,68125
592,99362,60413
593,99363,-
594,99371,56607
595,99401,68672
596,99402,54250
597,99403,53663
599,98101,91550
600,98102,97374
601,98103,105480
602,98104,58018
603,98105,67449
604,98106,74608
605,98107,102436
606,98108,62530
607,98109,107330
608,98112,122388
609,98115,117038
610,98116,121967
611,98117,131508
612,98118,85541
613,98119,93014
614,98121,118270
615,98122,81308
616,98125,78263
617,98126,84934
618,98133,73702
619,98134,71607
620,98136,123042
621,98144,87098
622,98154,-
623,98155,107109
624,98164,240573
625,98195,-
626,98199,134709
