,ZIP,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
0,98001,88962
1,98002,59097
2,98003,59560
3,98004,142173
4,98005,135225
5,98006,156382
6,98007,101847
7,98008,131952
8,98010,125652
9,98011,103421
10,98012,118544
11,98014,118808
12,98019,142064
13,98020,95682
14,98021,129215
15,98022,90223
16,98023,82566
17,98024,158168
18,98026,98415
19,98027,121620
20,98028,115093
21,98029,134424
22,98030,71014
23,98031,82241
24,98032,62620
25,98033,137378
26,98034,100955
27,98036,82684
28,98037,82667
29,98038,114804
30,98039,185163
31,98040,150506
32,98042,105166
33,98043,80738
34,98045,111767
35,98047,64942
36,98050,142316
37,98051,94453
38,98052,136208
39,98053,151525
40,98055,80586
41,98056,95074
42,98057,57598
43,98058,92216
44,98059,109565
45,98065,150015
46,98068,97607
47,98070,78368
48,98072,127724
49,98074,196146
50,98075,188500
51,98077,160441
52,98087,87320
53,98092,96121
54,98101,91550
55,98102,97374
56,98103,105480
57,98104,58018
58,98105,67449
59,98106,74608
60,98107,102436
61,98108,62530
62,98109,107330
63,98110,125861
64,98112,122388
65,98115,117038
66,98116,121967
67,98117,131508
68,98118,85541
69,98119,93014
70,98121,118270
71,98122,81308
72,98125,78263
73,98126,84934
74,98133,73702
75,98134,71607
76,98136,123042
77,98144,87098
78,98146,80633
79,98148,70050
80,98154,-
81,98155,107109
82,98158,-
83,98164,240573
84,98166,87882
85,98168,66237
86,98174,-
87,98177,125036
88,98178,84820
89,98188,64206
90,98195,-
91,98198,66938
92,98199,134709
93,98201,59357
94,98203,80556
95,98204,57318
96,98205,97009
97,98207,-
98,98208,90844
99,98220,88446
100,98221,77036
101,98222,96458
102,98223,83116
103,98224,46250
104,98225,53093
105,98226,67142
106,98229,75099
107,98230,69060
108,98232,88551
109,98233,65336
110,98235,-
111,98236,85943
112,98237,58063
113,98238,-
114,98239,71121
115,98240,80474
116,98241,45089
117,98243,72560
118,98244,42324
119,98245,55160
120,98247,61213
121,98248,71164
122,98249,76614
123,98250,71567
124,98251,73293
125,98252,84257
126,98253,81165
127,98255,29375
128,98256,-
129,98257,70278
130,98258,96165
131,98260,86027
132,98261,63143
133,98262,75294
134,98263,97813
135,98264,72397
136,98266,35274
137,98267,-
138,98270,84957
139,98271,83047
140,98272,95190
141,98273,64699
142,98274,79127
143,98275,102818
144,98276,73583
145,98277,61373
146,98278,-
147,98279,54107
148,98280,62500
149,98281,52692
150,98282,85811
151,98283,75165
152,98284,69994
153,98286,66667
154,98288,50625
155,98290,104091
156,98292,84489
157,98294,69458
158,98295,80121
159,98296,143106
160,98297,31875
161,98303,62440
162,98304,55556
163,98305,-
164,98310,58636
165,98311,80439
166,98312,68195
167,98314,-
168,98315,66736
169,98320,50711
170,98321,102135
171,98323,84038
172,98325,49313
173,98326,40753
174,98327,93405
175,98328,90636
176,98329,95769
177,98330,-
178,98331,40513
179,98332,102352
180,98333,125547
181,98335,109031
182,98336,64712
183,98337,55433
184,98338,83394
185,98339,53239
186,98340,64750
187,98342,72955
188,98345,47650
189,98346,95103
190,98349,73308
191,98350,35000
192,98351,51109
193,98353,-
194,98354,76582
195,98355,-
196,98356,42386
197,98357,48250
198,98358,57083
199,98359,82870
200,98360,89732
201,98361,41763
202,98362,53743
203,98363,60147
204,98364,-
205,98365,74818
206,98366,70330
207,98367,88722
208,98368,56141
209,98370,85299
210,98371,81699
211,98372,81776
212,98373,79943
213,98374,88882
214,98375,89202
215,98376,67773
216,98377,39229
217,98380,95443
218,98381,80952
219,98382,56392
220,98383,88893
221,98385,88625
222,98387,80272
223,98388,85083
224,98390,70374
225,98391,104406
226,98392,69583
227,98394,106190
228,98396,82031
229,98402,57083
230,98403,61863
231,98404,57813
232,98405,60255
233,98406,82732
234,98407,86594
235,98408,58961
236,98409,57922
237,98416,-
238,98418,60649
239,98421,-
240,98422,97106
241,98424,78243
242,98430,-
243,98433,44064
244,98438,-
245,98439,38415
246,98443,95851
247,98444,52589
248,98445,70241
249,98446,85875
250,98447,-
251,98465,59163
252,98466,74179
253,98467,76904
254,98498,72711
255,98499,50037
256,98501,78324
257,98502,74031
258,98503,66021
259,98506,76835
260,98512,78845
261,98513,87145
262,98516,83249
263,98520,50022
264,98524,93894
265,98526,55417
266,98527,39375
267,98528,60415
268,98530,50417
269,98531,45972
270,98532,66685
271,98533,53894
272,98535,-
273,98536,-
274,98537,60735
275,98538,52813
276,98541,52029
277,98542,53250
278,98544,-
279,98546,75707
280,98547,42532
281,98548,51198
282,98550,46622
283,98552,48947
284,98555,56000
285,98557,57589
286,98558,-
287,98559,-
288,98560,86467
289,98562,-
290,98563,63328
291,98564,45109
292,98565,58611
293,98568,60179
294,98569,47399
295,98570,65161
296,98571,-
297,98572,63523
298,98575,63958
299,98576,69033
300,98577,59603
301,98579,77108
302,98580,80864
303,98581,29960
304,98582,-
305,98583,41964
306,98584,60388
307,98585,53125
308,98586,45446
309,98587,39821
310,98588,60781
311,98589,70040
312,98590,90898
313,98591,64919
314,98592,68371
315,98593,46850
316,98595,53750
317,98596,64896
318,98597,73664
319,98601,85000
320,98602,36250
321,98603,61875
322,98604,86980
323,98605,71458
324,98606,105417
325,98607,109621
326,98610,58574
327,98611,64829
328,98612,56250
329,98613,68500
