,PUMA,Date,Positive_Rate
0,11601,2020-02-01,0.0
1,11601,2020-02-02,0.0
2,11601,2020-02-03,0.0
3,11601,2020-02-04,0.0
4,11601,2020-02-05,0.0
5,11601,2020-02-06,0.0
6,11601,2020-02-07,0.0
7,11601,2020-02-08,0.0
8,11601,2020-02-09,0.0
9,11601,2020-02-10,0.0
10,11601,2020-02-11,0.0
11,11601,2020-02-12,0.0
12,11601,2020-02-13,0.0
13,11601,2020-02-14,0.0
14,11601,2020-02-15,0.0
15,11601,2020-02-16,0.0
16,11601,2020-02-17,0.0
17,11601,2020-02-18,0.0
18,11601,2020-02-19,0.0
19,11601,2020-02-20,0.0
20,11601,2020-02-21,0.0
21,11601,2020-02-22,0.0
22,11601,2020-02-23,0.0
23,11601,2020-02-24,0.0
24,11601,2020-02-25,0.0
25,11601,2020-02-26,0.0
26,11601,2020-02-27,0.0
27,11601,2020-02-28,0.0
28,11601,2020-02-29,0.1335714285714286
29,11601,2020-03-01,0.5064285714285715
30,11601,2020-03-02,0.64
31,11601,2020-03-03,0.7735714285714287
32,11601,2020-03-04,0.9071428571428574
33,11601,2020-03-05,0.9071428571428574
34,11601,2020-03-06,1.3578571428571433
35,11601,2020-03-07,1.5971428571428576
36,11601,2020-03-08,2.075714285714286
37,11601,2020-03-09,2.4207142857142863
38,11601,2020-03-10,3.1378571428571433
39,11601,2020-03-11,3.988571428571429
40,11601,2020-03-12,4.945
41,11601,2020-03-13,6.646428571428572
42,11601,2020-03-14,7.1242857142857146
43,11601,2020-03-15,7.307857142857144
44,11601,2020-03-16,8.792142857142858
45,11601,2020-03-17,10.304999999999998
46,11601,2020-03-18,12.40142857142857
47,11601,2020-03-19,13.647857142857143
48,11601,2020-03-20,14.498571428571427
49,11601,2020-03-21,15.56
50,11601,2020-03-22,15.825714285714286
51,11601,2020-03-23,16.59285714285714
52,11601,2020-03-24,17.149285714285714
53,11601,2020-03-25,17.360714285714288
54,11601,2020-03-26,17.732857142857146
55,11601,2020-03-27,17.171428571428574
56,11601,2020-03-28,16.905000000000005
57,11601,2020-03-29,16.560000000000006
58,11601,2020-03-30,16.244285714285716
59,11601,2020-03-31,15.44857142857143
60,11601,2020-04-01,14.680000000000003
61,11601,2020-04-02,14.918571428571429
62,11601,2020-04-03,14.495000000000001
63,11601,2020-04-04,13.912142857142857
64,11601,2020-04-05,13.167857142857144
65,11601,2020-04-06,12.851428571428572
66,11601,2020-04-07,13.485000000000001
67,11601,2020-04-08,13.379285714285714
68,11601,2020-04-09,12.42357142857143
69,11601,2020-04-10,11.84
70,11601,2020-04-11,11.495
71,11601,2020-04-12,11.283571428571426
