,migration_direction,year-month,tree_number,total_transitions,transitions_in_time_interval,proportion_transitions_in_time_interval,mig_per_lineage,mig_per_bl
0,North_King_County-to-South_King_County,2020-06,13,73,3,0.0410958904109589,,6.837726614967842
0,North_King_County-to-South_King_County,2022-01,13,73,0,0.0,0.0,0.0
0,North_King_County-to-South_King_County,2020-05,13,73,1,0.0136986301369863,,3.265406450628188
0,North_King_County-to-South_King_County,2021-06,13,73,3,0.0410958904109589,,7.354976379726502
0,North_King_County-to-South_King_County,2021-07,13,73,4,0.0547945205479452,,6.563489745431338
0,North_King_County-to-South_King_County,2020-09,13,73,2,0.0273972602739726,0.4,16.808411749023346
0,North_King_County-to-South_King_County,2021-12,13,73,9,0.1232876712328767,,10.001542339674515
0,North_King_County-to-South_King_County,2020-07,13,73,3,0.0410958904109589,0.6,7.174455927577732
0,North_King_County-to-South_King_County,2020-10,13,73,1,0.0136986301369863,0.16666666666666666,4.561938585431624
0,North_King_County-to-South_King_County,2021-05,13,73,5,0.0684931506849315,,3.3070647118575716
0,North_King_County-to-South_King_County,2021-03,13,73,3,0.0410958904109589,,1.6127154890031576
0,North_King_County-to-South_King_County,2021-01,13,73,0,0.0,0.0,0.0
0,North_King_County-to-South_King_County,2021-02,13,73,1,0.0136986301369863,,3.8294902255444514
0,North_King_County-to-South_King_County,2020-03,13,73,5,0.0684931506849315,5.0,45.99082068714606
0,North_King_County-to-South_King_County,2022-02,13,73,1,0.0136986301369863,,4.909422266080656
0,North_King_County-to-South_King_County,2020-08,13,73,3,0.0410958904109589,0.42857142857142855,11.365289446484834
0,North_King_County-to-South_King_County,2021-10,13,73,3,0.0410958904109589,,10.830361618176276
0,North_King_County-to-South_King_County,2021-09,13,73,1,0.0136986301369863,,6.5302562133447
0,North_King_County-to-South_King_County,2022-03,13,73,0,0.0,0.0,0.0
0,North_King_County-to-South_King_County,2020-04,13,73,5,0.0684931506849315,,25.567109841756874
0,North_King_County-to-South_King_County,2021-04,13,73,6,0.0821917808219178,,4.827418771504055
0,North_King_County-to-South_King_County,2020-12,13,73,5,0.0684931506849315,,30.48484924025848
0,North_King_County-to-South_King_County,2020-11,13,73,1,0.0136986301369863,,4.185606971300885
0,North_King_County-to-South_King_County,2021-08,13,73,1,0.0136986301369863,,5.603219754136824
0,North_King_County-to-South_King_County,2020-02,13,73,0,0.0,0.0,0.0
0,North_King_County-to-South_King_County,2021-11,13,73,7,0.0958904109589041,1.1666666666666667,34.96311588055887
0,South_King_County-to-North_King_County,2020-06,13,105,8,0.0761904761904762,3.3333333333333335,37.70548702590102
0,South_King_County-to-North_King_County,2022-01,13,105,3,0.02857142857142857,,11.270786235802005
0,South_King_County-to-North_King_County,2020-05,13,105,1,0.009523809523809525,,17.1608898574756
0,South_King_County-to-North_King_County,2021-06,13,105,6,0.05714285714285714,,13.704463713243436
0,South_King_County-to-North_King_County,2021-07,13,105,8,0.0761904761904762,2.0,40.896606318807535
0,South_King_County-to-North_King_County,2020-09,13,105,3,0.02857142857142857,0.5454545454545454,12.113638782117373
0,South_King_County-to-North_King_County,2021-12,13,105,13,0.12380952380952381,2.6,10.061048580978376
0,South_King_County-to-North_King_County,2020-07,13,105,2,0.01904761904761905,,22.09629956007735
0,South_King_County-to-North_King_County,2020-10,13,105,1,0.009523809523809525,,10.010432269821054
0,South_King_County-to-North_King_County,2021-05,13,105,8,0.0761904761904762,,14.826050885217741
0,South_King_County-to-North_King_County,2021-03,13,105,11,0.10476190476190476,,22.77158874097265
0,South_King_County-to-North_King_County,2021-01,13,105,2,0.01904761904761905,0.2857142857142857,25.492675602397227
0,South_King_County-to-North_King_County,2021-02,13,105,0,0.0,0.0,0.0
0,South_King_County-to-North_King_County,2020-03,13,105,4,0.0380952380952381,,16.62454636106085
0,South_King_County-to-North_King_County,2022-02,13,105,3,0.02857142857142857,,12.51150935690183
0,South_King_County-to-North_King_County,2020-08,13,105,3,0.02857142857142857,,33.174167371704606
0,South_King_County-to-North_King_County,2021-10,13,105,0,0.0,0.0,0.0
0,South_King_County-to-North_King_County,2021-09,13,105,5,0.047619047619047616,,53.215583698895
0,South_King_County-to-North_King_County,2022-03,13,105,0,0.0,0.0,0.0
0,South_King_County-to-North_King_County,2020-04,13,105,2,0.01904761904761905,,12.9412367831011
0,South_King_County-to-North_King_County,2021-04,13,105,10,0.09523809523809523,,19.213017969240767
0,South_King_County-to-North_King_County,2020-12,13,105,0,0.0,0.0,0.0
0,South_King_County-to-North_King_County,2020-11,13,105,5,0.047619047619047616,0.8333333333333334,24.227855568348783
0,South_King_County-to-North_King_County,2021-08,13,105,2,0.01904761904761905,,9.75124234397195
0,South_King_County-to-North_King_County,2020-02,13,105,0,0.0,0.0,0.0
0,South_King_County-to-North_King_County,2021-11,13,105,4,0.0380952380952381,,20.100001846137996
0,North_King_County-to-South_King_County,2020-06,14,168,7,0.041666666666666664,1.3125,12.076578407022367
0,North_King_County-to-South_King_County,2022-01,14,168,17,0.10119047619047619,,27.79520253760001
0,North_King_County-to-South_King_County,2020-05,14,168,9,0.05357142857142857,1.2857142857142858,40.90539915819137
0,North_King_County-to-South_King_County,2021-06,14,168,9,0.05357142857142857,,17.589336078555217
0,North_King_County-to-South_King_County,2021-07,14,168,11,0.06547619047619048,,18.503600516672535
0,North_King_County-to-South_King_County,2020-09,14,168,3,0.017857142857142856,0.75,57.99741615150566
0,North_King_County-to-South_King_County,2021-12,14,168,15,0.08928571428571429,3.75,18.90994251102264
0,North_King_County-to-South_King_County,2020-07,14,168,2,0.011904761904761904,0.2857142857142857,7.073496081520254
0,North_King_County-to-South_King_County,2020-10,14,168,1,0.005952380952380952,0.25,4.200223529867674
0,North_King_County-to-South_King_County,2021-05,14,168,12,0.07142857142857142,,5.939827933977746
0,North_King_County-to-South_King_County,2021-03,14,168,3,0.017857142857142856,,1.5145163646109225
0,North_King_County-to-South_King_County,2021-01,14,168,7,0.041666666666666664,1.0769230769230769,17.207346013799693
0,North_King_County-to-South_King_County,2021-02,14,168,4,0.023809523809523808,1.0,9.232672072143616
0,North_King_County-to-South_King_County,2020-03,14,168,7,0.041666666666666664,3.111111111111111,24.017830918193397
0,North_King_County-to-South_King_County,2022-02,14,168,5,0.02976190476190476,,16.80806874980999
0,North_King_County-to-South_King_County,2020-08,14,168,5,0.02976190476190476,1.6666666666666667,32.4208215681981
0,North_King_County-to-South_King_County,2021-10,14,168,6,0.03571428571428571,,128.31128731964873
0,North_King_County-to-South_King_County,2021-09,14,168,5,0.02976190476190476,,31.45658828532046
0,North_King_County-to-South_King_County,2022-03,14,168,0,0.0,0.0,0.0
0,North_King_County-to-South_King_County,2020-04,14,168,5,0.02976190476190476,1.25,16.96655532877618
0,North_King_County-to-South_King_County,2021-04,14,168,10,0.05952380952380952,,7.930271037490476
0,North_King_County-to-South_King_County,2020-12,14,168,8,0.047619047619047616,1.1428571428571428,37.394858306238085
0,North_King_County-to-South_King_County,2020-11,14,168,4,0.023809523809523808,0.5,8.374032054450208
0,North_King_County-to-South_King_County,2021-08,14,168,6,0.03571428571428571,0.75,17.451355342825327
0,North_King_County-to-South_King_County,2020-02,14,168,2,0.011904761904761904,inf,52.8015609760407
0,North_King_County-to-South_King_County,2021-11,14,168,5,0.02976190476190476,1.6666666666666667,31.53805274157398
0,South_King_County-to-North_King_County,2020-06,14,189,14,0.07407407407407407,2.5454545454545454,87.30260786327413
0,South_King_County-to-North_King_County,2022-01,14,189,14,0.07407407407407407,,33.872887717617125
0,South_King_County-to-North_King_County,2020-05,14,189,7,0.037037037037037035,1.5,43.01824819941895
0,South_King_County-to-North_King_County,2021-06,14,189,9,0.047619047619047616,,15.261404543294004
0,South_King_County-to-North_King_County,2021-07,14,189,15,0.07936507936507936,1.5,42.24380840049041
0,South_King_County-to-North_King_County,2020-09,14,189,2,0.010582010582010581,,10.848399720041987
0,South_King_County-to-North_King_County,2021-12,14,189,13,0.06878306878306878,3.5454545454545454,8.954052940362384
0,South_King_County-to-North_King_County,2020-07,14,189,5,0.026455026455026454,1.5,29.889345888592597
0,South_King_County-to-North_King_County,2020-10,14,189,3,0.015873015873015872,1.5,16.589281634693638
0,South_King_County-to-North_King_County,2021-05,14,189,20,0.10582010582010581,,35.51850047161415
0,South_King_County-to-North_King_County,2021-03,14,189,11,0.0582010582010582,,34.04706721308318
0,South_King_County-to-North_King_County,2021-01,14,189,4,0.021164021164021163,0.5714285714285714,18.114953591374675
0,South_King_County-to-North_King_County,2021-02,14,189,6,0.031746031746031744,1.5,23.070044151393805
0,South_King_County-to-North_King_County,2020-03,14,189,6,0.031746031746031744,4.5,16.19436414976074
0,South_King_County-to-North_King_County,2022-02,14,189,9,0.047619047619047616,,35.213429622281666
0,South_King_County-to-North_King_County,2020-08,14,189,2,0.010582010582010581,,17.05272072470224
0,South_King_County-to-North_King_County,2021-10,14,189,6,0.031746031746031744,,21.29466197514446
0,South_King_County-to-North_King_County,2021-09,14,189,3,0.015873015873015872,,7.895019175327768
0,South_King_County-to-North_King_County,2022-03,14,189,0,0.0,0.0,0.0
0,South_King_County-to-North_King_County,2020-04,14,189,6,0.031746031746031744,1.3333333333333333,23.13611111111839
0,South_King_County-to-North_King_County,2021-04,14,189,8,0.042328042328042326,,12.245561920398785
