	strain	Puma	COUNTY
355	USA/WA-Altius-ALTCOV-ITF7XHEMTPEOILCN/2021		King
356	USA/WA-UW-21042847082/2021		King
357	USA/WA-UW-21041923940/2021		King
358	USA/WA-S17875/2022		King
359	USA/WA-S5018/2020		King
360	USA/WA-S17660/2022		King
361	USA/WA-S16772/2022		King
363	USA/WA-S16966/2022		King
364	USA/WA-S17564/2022		King
365	USA/WA-CDC-UW21122403893/2021		King
366	USA/WA-CDC-UW21122477221/2021		King
368	USA/WA-CDC-LC0446847/2021		King
369	USA/WA-S15891/2021		King
370	USA/WA-S15972/2021		King
371	USA/WA-CDC-UW21121885640/2021		King
372	USA/WA-UW-21122102110/2021		King
373	USA/WA-UW-68646/2021		King
374	USA/WA-UW-21072680693/2021		King
375	USA/WA-CDC-UW21081892751/2021		King
376	USA/WA-UW-69296/2021		King
377	USA/WA-UW-69315/2021		King
378	USA/WA-UW-65752/2021		King
379	USA/WA-UW-21072666688/2021		King
380	USA/WA-S5915/2021		King
381	USA/WA-UW-21081619075/2021		King
382	USA/WA-UW-2021040824300/2021		King
383	USA/WA-CDC-UW21110390396/2021		King
384	USA/WA-PHL-005937/2021		King
385	USA/WA-CDC-UW21120878829/2021		King
386	USA/WA-CDC-UW21120874546/2021		King
387	USA/WA-CDC-UW21121443817/2021		King
388	USA/WA-CDC-UW21120892103/2021		King
389	USA/WA-CDC-UW21121062781/2021		King
390	USA/WA-S15760/2021		King
392	USA/WA-CDC-UW21120369976/2021		King
393	USA/WA-S17283/2022		King
394	USA/WA-S17603/2022		King
395	USA/WA-CDC-UW21101495207/2021		King
396	USA/WA-UW-2021041579179/2021		King
397	USA/WA-PHL-006588/2021		King
398	USA/WA-CDC-UW21091093176/2021		King
399	USA/WA-CDC-UW21090798039/2021		King
401	USA/WA-UW-21060975129/2021		King
402	USA/WA-CDC-UW21090112989/2021		King
403	USA/WA-UW-21052969352/2021		King
404	USA/WA-Altius-ALTCOV-2PETI4HWCVGC4BDP/2021		King
405	USA/WA-S3721/2020		King
406	USA/WA-CDC-UW21090749752/2021		King
407	USA/WA-CDC-UW21052066323/2021		King
408	USA/WA-Altius-ALTCOV-Q36OEFBLLD5UZMEP/2021		King
409	USA/WA-UW-21090883425/2021		King
410	USA/WA-UW-21052279706/2021		King
411	USA/WA-UW-21090873705/2021		King
412	USA/WA-S7018/2021		King
413	USA/WA-CDC-UW21051063381/2021		King
414	USA/WA-UW-21082564464/2021		King
415	USA/WA-UW-21051537518/2021		King
416	USA/WA-UW-21042694818/2021		King
417	USA/WA-UW-21042640971/2021		King
418	USA/WA-UW-2021041522188/2021		King
419	USA/WA-S6970/2021		King
420	USA/WA-UW-2021040874320/2021		King
421	USA/WA-Altius-ALTCOV-THZSF3SQKDPM4LXS/2021		King
422	USA/WA-S6125/2021		King
423	USA/WA-UW-21041298176/2021		King
424	USA/WA-UW-21041211154/2021		King
425	USA/WA-UW-21041662407/2021		King
426	USA/WA-UW-21102154232/2021		King
427	USA/WA-UW-2021041021831/2021		King
428	USA/WA-UW-21080287410/2021		King
429	USA/WA-CDC-UW21051308984/2021		King
430	USA/WA-UW-1954/2020		King
431	USA/WA-CDC-UW21051387390/2021		King
432	USA/WA-S6958/2021		King
433	USA/WA-S6548/2021		King
434	USA/WA-S6531/2021		King
435	USA/WA-Altius-ALTCOV-VZSOYF55XFVVH6S6/2021		King
436	USA/WA-UW-46937/2020		King
437	USA/WA-S5898/2021		King
438	USA/WA-S6947/2021		King
439	USA/WA-UW-2021040504755/2021		King
440	USA/WA-UW-2021033101291/2021		King
441	USA/WA-UW-2021033109714/2021		King
442	USA/WA-UW-2021040561336/2021		King
443	USA/WA-CDC-UW21100103460/2021		King
444	USA/WA-UW-11270/2020		King
445	USA/WA-PHL-005009/2021		King
446	USA/WA-UW-9374/2020		King
447	USA/WA-UW-21100580281/2021		King
448	USA/WA-UW-21111545036/2021		King
449	USA/WA-UW-21111559362/2021		King
450	USA/WA-S5890/2021		King
451	USA/WA-UW-67439/2021		King
452	USA/WA-UW-69312/2021		King
453	USA/WA-S5551/2021		King
454	USA/WA-UW-66086/2021		King
455	USA/WA-S5809/2021		King
456	USA/WA-UW-67069/2021		King
457	USA/WA-CDC-UW21070789232/2021		King
458	USA/WA-S17576/2022		King
459	USA/WA-UW-21080295063/2021		King
460	USA/WA-UW-11459/2020		King
461	USA/WA-UW-11072/2020		King
462	USA/WA-CDC-UW21092539552/2021		King
463	USA/WA-UW-21092887625/2021		King
464	USA/WA-UW-21092509930/2021		King
465	USA/WA-CDC-LC0305000/2021		King
466	USA/WA-UW-21092460984/2021		King
467	USA/WA-S14415/2021		King
468	USA/WA-UW-21080931670/2021		King
469	USA/WA-CDC-LC0070924/2021		King
470	USA/WA-CDC-LC0091119/2021		King
471	USA/WA-Altius-ALTCOV-QDZWHXIQAIB5ERUZ/2021		King
472	USA/WA-UW-12822/2020		King
473	USA/WA-S15532/2021		King
474	USA/WA-S15582/2021		King
475	USA/WA-CDC-UW21100171406/2021		King
476	USA/WA-S27/2020		King
477	USA/WA-UW-21122192095/2021		King
478	USA/WA-CDC-UW21112313013/2021		King
479	USA/WA-S15792/2021		King
481	USA/WA-S4089/2021		King
482	USA/WA-UW-47132/2020		King
483	USA/WA-Altius-ALTCOV-BPTLMSSJKOO4LIXU/2021		King
484	USA/WA-S4271/2021		King
485	USA/WA-S4251/2021		King
486	USA/WA-UW-21042155138/2021		King
487	USA/WA-UW-21042288795/2021		King
488	USA/WA-UW-21042175016/2021		King
489	USA/WA-UW-21042319064/2021		King
490	USA/WA-UW-21042082563/2021		King
491	USA/WA-UW-21042359015/2021		King
492	USA/WA-CDC-UW21042109115/2021		King
493	USA/WA-UW-21042637279/2021		King
494	USA/WA-Altius-ALTCOV-MG6YJZOXAZOT3PR2/2021		King
495	USA/WA-UW-21041938868/2021		King
496	USA/WA-UW-21041936603/2021		King
497	USA/WA-PHL-005105/2021		King
498	USA/WA-CDC-UW21092504327/2021		King
499	USA/WA-S15696/2021		King
500	USA/WA-CDC-LC0126185/2021		King
501	USA/WA-CDC-UW21120311480/2021		King
502	USA/WA-CDC-UW21052976104/2021		King
503	USA/WA-S8792/2021		King
504	USA/WA-CDC-UW21100391242/2021		King
505	USA/WA-UW-21052853423/2021		King
506	USA/WA-CDC-UW21110899016/2021		King
507	USA/WA-UW-21111698495/2021		King
508	USA/WA-CDC-UW21120142526/2021		King
509	USA/WA-S3255/2020		King
510	USA/WA-CDC-UW21081429744/2021		King
511	USA/WA-CDC-UW21081476454/2021		King
512	USA/WA-S2760/2020		King
513	USA/WA-CDC-UW21102508451/2021		King
514	USA/WA-CDC-UW21112213280/2021		King
515	USA/WA-CDC-UW21110231588/2021		King
516	USA/WA-S2857/2020		King
517	USA/WA-UW-28263/2020		King
518	USA/WA-S5613/2021		King
519	USA/WA-S3797/2020		King
520	USA/WA-S3615/2020		King
521	USA/WA-PHL-009839/2021		King
522	USA/WA-PHL-009633/2021		King
523	USA/WA-CDC-UW21121435157/2021		King
524	USA/WA-S3782/2021		King
525	USA/WA-S6099/2021		King
526	USA/WA-S9320/2021		King
527	USA/WA-S3512/2020		King
528	USA/WA-CDC-UW21112304794/2021		King
529	USA/WA-UW-21112330867/2021		King
530	USA/WA-UW-65716/2021		King
531	USA/WA-UW-59003/2021		King
532	USA/WA-S2882/2020		King
533	USA/WA-CDC-UW21052480460/2021		King
534	USA/WA-UW-21052102562/2021		King
535	USA/WA-CDC-UW21052521440/2021		King
536	USA/WA-S10373/2021		King
537	USA/WA-CDC-UW21052020383/2021		King
538	USA/WA-CDC-UW21042825137/2021		King
539	USA/WA-UW-21050114968/2021		King
540	USA/WA-S8214/2021		King
541	USA/WA-CDC-UW21051174661/2021		King
542	USA/WA-Altius-ALTCOV-YNVJYBNH7SBHWXFI/2021		King
543	USA/WA-UW-21042815001/2021		King
544	USA/WA-Altius-ALTCOV-X3ANXYKRTUUDUSV7/2021		King
545	USA/WA-UW-21051091195/2021		King
546	USA/WA-UW-21051295318/2021		King
547	USA/WA-CDC-UW21051886084/2021		King
548	USA/WA-Altius-ALTCOV-37EGLS3P7KE65MFH/2021		King
549	USA/WA-UW-21042782470/2021		King
550	USA/WA-CDC-UW21050468847/2021		King
551	USA/WA-CDC-UW21051237796/2021		King
552	USA/WA-UW-21050512651/2021		King
553	USA/WA-S14307/2021		King
554	USA/WA-CDC-UW21120171349/2021		King
555	USA/WA-CDC-UW21111077130/2021		King
556	USA/WA-CDC-UW21111029069/2021		King
557	USA/WA-PHL-008064/2021		King
558	USA/WA-CDC-UW21111173623/2021		King
559	USA/WA-CDC-UW21120263013/2021		King
560	USA/WA-CDC-UW21082536041/2021		King
561	USA/WA-UW-2021040200933/2021		King
562	USA/WA-CDC-UW21081636347/2021		King
563	USA/WA-S12495/2021		King
564	USA/WA-UW-21081607176/2021		King
565	USA/WA-UW-21081708817/2021		King
566	USA/WA-CDC-UW22010437638/2022		King
567	USA/WA-CDC-UW22010714310/2022		King
568	USA/WA-CDC-UW22010784617/2022		King
569	USA/WA-CDC-UW22010442908/2022		King
570	USA/WA-CDC-UW22010734917/2022		King
571	USA/WA-S16972/2022		King
572	USA/WA-CDC-LC0475630/2022		King
573	USA/WA-CDC-UW21111384341/2021		King
574	USA/WA-PHL-006932/2021		King
575	USA/WA-PHL-007647/2021		King
576	USA/WA-PHL-006961/2021		King
577	USA/WA-CDC-UW21110838017/2021		King
578	USA/WA-CDC-UW21100168568/2021		King
579	USA/WA-CDC-UW21100115699/2021		King
580	USA/WA-CDC-UW21092546725/2021		King
581	USA/WA-CDC-UW21092597254/2021		King
582	USA/WA-S12624/2021		King
583	USA/WA-S6386/2021		King
584	USA/WA-UW-2021041336097/2021		King
585	USA/WA-UW-21041320362/2021		King
586	USA/WA-CDC-UW22010264286/2022		King
587	USA/WA-CDC-UW21090203743/2021		King
588	USA/WA-CDC-UW21090249759/2021		King
589	USA/WA-CDC-UW21123151274/2021		King
591	USA/WA-UW-21052885149/2021		King
592	USA/WA-CDC-UW21092147771/2021		King
593	USA/WA-S5961/2021		King
594	USA/WA-CDC-UW21102306205/2021		King
595	USA/WA-UW-21041200412/2021		King
596	USA/WA-UW-68532/2021		King
597	USA/WA-S5880/2021		King
598	USA/WA-S5951/2021		King
599	USA/WA-UW-68875/2021		King
600	USA/WA-UW-21102169056/2021		King
601	USA/WA-CDC-UW21102346955/2021		King
602	USA/WA-UW-21102124066/2021		King
603	USA/WA-UW-21102196668/2021		King
604	USA/WA-PHL-008000/2021		King
605	USA/WA-PHL-005639/2021		King
606	USA/WA-CDC-UW21110238940/2021		King
607	USA/WA-UW-21042685430/2021		King
608	USA/WA-S7544/2021		King
609	USA/WA-Altius-ALTCOV-5DBUT5KQI37BQ4EL/2021		King
610	USA/WA-UW-21080219748/2021		King
611	USA/WA-UW-21080327858/2021		King
612	USA/WA-UW-21072606625/2021		King
613	USA/WA-CDC-UW21073071431/2021		King
614	USA/WA-CDC-UW21073152023/2021		King
615	USA/WA-UW-21081464394/2021		King
616	USA/WA-S12075/2021		King
617	USA/WA-CDC-UW21070216722/2021		King
618	USA/WA-UW-21072773317/2021		King
619	USA/WA-UW-21072951805/2021		King
620	USA/WA-CDC-UW21100229006/2021		King
621	USA/WA-UW-21072611653/2021		King
622	USA/WA-CDC-UW21070694535/2021		King
623	USA/WA-UW-65790/2021		King
624	USA/WA-UW-65756/2021		King
625	USA/WA-UW-1645/2020		King
626	USA/WA-S2799/2020		King
627	USA/WA-Altius-ALTCOV-LBG4JXCWIQXD2WU4/2021		King
628	USA/WA-CDC-UW21062124216/2021		King
629	USA/WA-UW-65429/2021		King
630	USA/WA-UW-60725/2021		King
631	USA/WA-S4609/2021		King
632	USA/WA-CDC-UW21120954572/2021		King
633	USA/WA-S5451/2021		King
634	USA/WA-CDC-UW21120833092/2021		King
635	USA/WA-CDC-UW21120859337/2021		King
636	USA/WA-PHL-008017/2021		King
637	USA/WA-CDC-UW21120764351/2021		King
638	USA/WA-CDC-UW21120907046/2021		King
639	USA/WA-S14387/2021		King
640	USA/WA-S4141/2020		King
641	USA/WA-S4162/2020		King
642	USA/WA-CDC-UW21100253020/2021		King
643	USA/WA-CDC-UW21081975450/2021		King
644	USA/WA-S16921/2022		King
645	USA/WA-S16135/2022		King
646	USA/WA-S261/2020		King
647	USA/WA-UW-21051423209/2021		King
648	USA/WA-CDC-UW21051422201/2021		King
650	USA/WA-UW-21041788042/2021		King
