	strain	Puma	COUNTY
0	USA/WA-Altius-ALTCOV-PAINETRD6YCX72UC/2021		King
1	USA/WA-S10305/2021		King
2	USA/WA-UW-64698/2021		King
3	USA/WA-S4077/2021		King
4	USA/WA-UW-62350/2021		King
5	USA/WA-CDC-UW21091934401/2021		King
6	USA/WA-CDC-UW21091693143/2021		King
7	USA/WA-CDC-UW21090938690/2021		King
8	USA/WA-CDC-UW22010525124/2022		King
9	USA/WA-CDC-UW21122155729/2021		King
10	USA/WA-CDC-UW21122064886/2021		King
11	USA/WA-S17869/2021		King
12	USA/WA-CDC-UW21122096000/2021		King
13	USA/WA-CDC-UW21080446999/2021		King
14	USA/WA-CDC-LC0200171/2021		King
15	USA/WA-CDC-UW21073198391/2021		King
16	USA/WA-UW-21082513371/2021		King
17	USA/WA-CDC-UW21073092477/2021		King
18	USA/WA-UW-21072767209/2021		King
19	USA/WA-UW-21072667380/2021		King
20	USA/WA-UW-21072978543/2021		King
21	USA/WA-CDC-LC0209956/2021		King
22	USA/WA-UW-21072605619/2021		King
23	USA/WA-S16094/2022		King
24	USA/WA-CDC-UW22010658240/2022		King
25	USA/WA-S17677/2022		King
26	USA/WA-S16682/2022		King
27	USA/WA-S17636/2022		King
28	USA/WA-S17597/2022		King
29	USA/WA-S16606/2022		King
30	USA/WA-CDC-UW21090749683/2021		King
31	USA/WA-Altius-ALTCOV-AKMBV4G2YGOT2QF6/2021		King
32	USA/WA-CDC-UW21090761053/2021		King
33	USA/WA-CDC-UW21090863323/2021		King
34	USA/WA-S10636/2021		King
35	USA/WA-Altius-ALTCOV-3ZCHFXP4QMEJUSXU/2021		King
36	USA/WA-CDC-UW21042909722/2021		King
37	USA/WA-UW-21042993551/2021		King
38	USA/WA-S8209/2021		King
39	USA/WA-Altius-ALTCOV-T4ZJLBUO3AZENOQL/2021		King
40	USA/WA-Altius-ALTCOV-MJVPXO2IWGNN2UR6/2021		King
41	USA/WA-Altius-ALTCOV-4UXZMU3JWXPZ67AI/2021		King
42	USA/WA-CDC-LC0055914/2021		King
43	USA/WA-UW-21042937932/2021		King
44	USA/WA-UW-21050573882/2021		King
45	USA/WA-UW-21042161554/2021		King
46	USA/WA-Altius-ALTCOV-GC7FCCDDEQYX5TU4/2021		King
47	USA/WA-S3282/2020		King
48	USA/WA-UW-21123059635/2021		King
49	USA/WA-S16061/2022		King
50	USA/WA-UW-21123178911/2021		King
51	USA/WA-CDC-UW21123144110/2021		King
52	USA/WA-CDC-UW22010250452/2022		King
53	USA/WA-CDC-UW21112916943/2021		King
54	USA/WA-CDC-UW21120189066/2021		King
55	USA/WA-CDC-UW21092587253/2021		King
56	USA/WA-CDC-UW21092152852/2021		King
57	USA/WA-S12593/2021		King
58	USA/WA-UW-68614/2021		King
59	USA/WA-UW-68093/2021		King
60	USA/WA-CDC-WA-CDC-4138945-001/2021		King
61	USA/WA-S5861/2021		King
62	USA/WA-S5774/2021		King
63	USA/WA-CDC-LC0367506/2021		King
64	USA/WA-UW-13207/2020		King
65	USA/WA-UW-21100568345/2021		King
66	USA/WA-CDC-UW21093031866/2021		King
67	USA/WA-UW-10277/2020		King
68	USA/WA-S3242/2020		King
69	USA/WA-UW-67171/2021		King
70	USA/WA-UW-67488/2021		King
71	USA/WA-UW-21111544349/2021		King
72	USA/WA-CDC-LC0387577/2021		King
73	USA/WA-UW-67474/2021		King
74	USA/WA-PHL-007169/2021		King
75	USA/WA-S5633/2021		King
76	USA/WA-S5626/2021		King
77	USA/WA-CDC-UW21082637756/2021		King
78	USA/WA-S2908/2020		King
79	USA/WA-UW-662/2020		King
80	USA/WA-UW90/2020		King
81	USA/WA-S4860/2021		King
82	USA/WA-UW-21051018221/2021		King
83	USA/WA-S2781/2020		King
84	USA/WA-CDC-2-4105747/2020		King
85	USA/WA-CDC-UW21121445217/2021		King
86	USA/WA-CDC-LC0361379/2021		King
87	USA/WA-CDC-UW21121431291/2021		King
88	USA/WA-UW-21120353169/2021		King
89	USA/WA-UW-21120205990/2021		King
90	USA/WA-CDC-UW21122849386/2021		King
91	USA/WA-CDC-UW21101195384/2021		King
92	USA/WA-S9175/2021		King
93	USA/WA-CDC-UW21081468340/2021		King
94	USA/WA-UW-65805/2021		King
95	USA/WA-UW-66769/2021		King
96	USA/WA-UW-2021033007657/2021		King
97	USA/WA-AG-10109826/2021		King
98	USA/WA-UW-66423/2021		King
99	USA/WA-Altius-ALTCOV-5NDC5D7NDMGJICDR/2021		King
100	USA/WA-UW-21042110146/2021		King
101	USA/WA-UW-2021040104490/2021		King
102	USA/WA-UW-2021032907376/2021		King
103	USA/WA-UW-67511/2021		King
104	USA/WA-S6327/2021		King
105	USA/WA-UW-67077/2021		King
106	USA/WA-UW-67895/2021		King
107	USA/WA-UW-68506/2021		King
108	USA/WA-UW-68468/2021		King
109	USA/WA-UW-68696/2021		King
110	USA/WA-UW-22011012948/2022		King
111	USA/WA-S17878/2022		King
112	USA/WA-CDC-UW22010889758/2022		King
113	USA/WA-S3922/2020		King
114	USA/WA-S16903/2022		King
116	USA/WA-S16711/2022		King
117	USA/WA-CDC-UW22010424655/2022		King
118	USA/WA-S2713/2020		King
119	USA/WA-S2732/2020		King
120	USA/WA-UW-13330/2020		King
121	USA/WA-UW-13084/2020		King
122	USA/WA-UW-2021040510793/2021		King
123	USA/WA-UW-2021040303185/2021		King
124	USA/WA-UW-21102825228/2021		King
125	USA/WA-UW-69271/2021		King
126	USA/WA-UW-21102940567/2021		King
127	USA/WA-CDC-UW21060204072/2021		King
128	USA/WA-Altius-ALTCOV-QYM6RSLKA6RPN4GY/2021		King
129	USA/WA-S8663/2021		King
130	USA/WA-UW-21052961915/2021		King
131	USA/WA-CDC-UW21053105296/2021		King
132	USA/WA-UW-23526/2020		King
133	USA/WA-UW-22994/2020		King
134	USA/WA-UW-5382/2020		King
135	USA/WA-S833/2020		King
136	USA/WA-UW-23340/2020		King
137	USA/WA-UW-21071472077/2021		King
138	USA/WA-Altius-ALTCOV-BODLXM2OSNGDWLXX/2021		King
139	USA/WA-CDC-LC0105240/2021		King
140	USA/WA-UW-21062734686/2021		King
141	USA/WA-CDC-UW21062357951/2021		King
142	USA/WA-CDC-UW21062154528/2021		King
143	USA/WA-CDC-UW21072070848/2021		King
144	USA/WA-UW-21102154652/2021		King
145	USA/WA-PHL-007006/2021		King
146	USA/WA-CDC-UW21122463615/2021		King
147	USA/WA-S17862/2021		King
148	USA/WA-S249/2020		King
150	USA/WA-UW-2021041019191/2021		King
151	USA/WA-UW-2021041049512/2021		King
152	USA/WA-UW97/2020		King
153	USA/WA-UW-2021040975474/2021		King
154	USA/WA-S6512/2021		King
155	USA/WA-UW-2021040802138/2021		King
156	USA/WA-UW-21041021809/2021		King
157	USA/WA-S4987/2021		King
158	USA/WA-S17410/2022		King
159	USA/WA-S5122/2021		King
160	USA/WA-UW-61641/2021		King
161	USA/WA-CDC-WA-CDC-4139001-001/2021		King
162	USA/WA-CDC-UW21051127252/2021		King
163	USA/WA-UW-1917/2020		King
164	USA/WA-CDC-UW21050144588/2021		King
165	USA/WA-CDC-UW21050160968/2021		King
166	USA/WA-CDC-UW21050129868/2021		King
167	USA/WA-CDC-UW21082055561/2021		King
168	USA/WA-CDC-LC0231931/2021		King
169	USA/WA-UW-68084/2021		King
170	USA/WA-CDC-LC0214110/2021		King
171	USA/WA-CDC-UW21081977599/2021		King
172	USA/WA-UW-22011002681/2022		King
173	USA/WA-S17336/2022		King
175	USA/WA-CDC-UW22011034544/2022		King
176	USA/WA-UW-21081661331/2021		King
177	USA/WA-CDC-UW21081610327/2021		King
178	USA/WA-S14364/2021		King
179	USA/WA-CDC-UW21090714077/2021		King
180	USA/WA-UW-21090205622/2021		King
181	USA/WA-CDC-UW21090272181/2021		King
182	USA/WA-UW-4583/2020		King
183	USA/WA-UW-2521/2020		King
184	USA/WA-UW-12352/2020		King
185	USA/WA-S4397/2020		King
186	USA/WA-S3483/2020		King
187	USA/WA-UW-2021033103219/2021		King
188	USA/WA-S6135/2021		King
189	USA/WA-S4861/2021		King
190	USA/WA-UW-68818/2021		King
191	USA/WA-S4548/2021		King
192	USA/WA-CDC-UW21121945186/2021		King
193	USA/WA-CDC-UW21121884710/2021		King
194	USA/WA-UW-21121642334/2021		King
195	USA/WA-CDC-UW21121799548/2021		King
196	USA/WA-CDC-UW21121820737/2021		King
197	USA/WA-UW-21051424003/2021		King
198	USA/WA-S14438/2021		King
199	USA/WA-S16552/2022		King
200	USA/WA-UW-21050785984/2021		King
201	USA/WA-CDC-UW21050479047/2021		King
202	USA/WA-CDC-UW21050549329/2021		King
203	USA/WA-Altius-ALTCOV-KQL6TWTLO4YXHJCR/2021		King
204	USA/WA-CDC-UW22010738015/2022		King
205	USA/WA-S3916/2021		King
206	USA/WA-S4069/2021		King
207	USA/WA-CDC-UW21073134506/2021		King
208	USA/WA-UW-32120/2020		King
209	USA/WA-UW-2021041222849/2021		King
210	USA/WA-S6900/2021		King
211	USA/WA-Altius-ALTCOV-6H6QNLIVWX6GRAFQ/2021		King
212	USA/WA-UW-2021041446997/2021		King
213	USA/WA-Altius-ALTCOV-JYLMM2H4B4RTXODK/2021		King
214	USA/WA-CDC-UW21050601391/2021		King
215	USA/WA-CDC-UW21050646998/2021		King
216	USA/WA-UW-21042055973/2021		King
217	USA/WA-CDC-UW21050633664/2021		King
219	USA/WA-UW-21042372374/2021		King
220	USA/WA-UW-21042707090/2021		King
221	USA/WA-UW-21042533517/2021		King
222	USA/WA-UW-21042185972/2021		King
223	USA/WA-CDC-UW21050483247/2021		King
224	USA/WA-Altius-ALTCOV-2FY6MLMTEPTST5XP/2021		King
225	USA/WA-UW-21042981696/2021		King
226	USA/WA-UW-21042644127/2021		King
227	USA/WA-S8205/2021		King
228	USA/WA-UW-21041906205/2021		King
229	USA/WA-UW-21042316264/2021		King
230	USA/WA-CDC-UW21042944644/2021		King
231	USA/WA-S10576/2021		King
232	USA/WA-S10620/2021		King
233	USA/WA-UW-21080200959/2021		King
234	USA/WA-CDC-UW22010718456/2022		King
235	USA/WA-CDC-UW22010764425/2022		King
236	USA/WA-UW-13102/2020		King
237	USA/WA-S2731/2020		King
238	USA/WA-S16879/2022		King
239	USA/WA-S17030/2022		King
240	USA/WA-PHL-008069/2021		King
241	USA/WA-CDC-UW21111050418/2021		King
242	USA/WA-CDC-UW21120216162/2021		King
243	USA/WA-S5117/2021		King
244	USA/WA-UW-47346/2020		King
245	USA/WA-UW-46999/2020		King
246	USA/WA-UW-21111814945/2021		King
247	USA/WA-UW-21111826763/2021		King
248	USA/WA-PHL-005649/2021		King
249	USA/WA-CDC-UW21090761884/2021		King
250	USA/WA-CDC-UW21102520862/2021		King
251	USA/WA-UW-22010472561/2022		King
252	USA/WA-UW-68596/2021		King
253	USA/WA-CDC-LC0231766/2021		King
254	USA/WA-CDC-UW21082427606/2021		King
255	USA/WA-CDC-UW21102016326/2021		King
256	USA/WA-UW-66431/2021		King
257	USA/WA-S5795/2021		King
258	USA/WA-UW-66702/2021		King
259	USA/WA-CDC-UW21102053868/2021		King
260	USA/WA-UW-2021041450931/2021		King
261	USA/WA-S3152/2020		King
262	USA/WA-Altius-ALTCOV-WFKCOWGXQ5XRN2ST/2021		King
263	USA/WA-UW-21042083006/2021		King
264	USA/WA-Altius-ALTCOV-7YAVITGUSCNQ77W5/2021		King
265	USA/WA-UW-21042018176/2021		King
266	USA/WA-CDC-UW21101184506/2021		King
267	USA/WA-CDC-UW21052400833/2021		King
268	USA/WA-CDC-UW21091719907/2021		King
269	USA/WA-Altius-ALTCOV-45T6NEPZQL6C7XHX/2021		King
270	USA/WA-Altius-ALTCOV-J26BFPOHFYU64VRM/2021		King
271	USA/WA-CDC-LC0270795/2021		King
272	USA/WA-UW-21052173231/2021		King
273	USA/WA-CDC-UW21081495901/2021		King
274	USA/WA-CDC-UW21081677178/2021		King
275	USA/WA-UW-21081251038/2021		King
276	USA/WA-CDC-UW21081311790/2021		King
277	USA/WA-CDC-UW21081458835/2021		King
278	USA/WA-CDC-UW21080996656/2021		King
279	USA/WA-UW-21072257111/2021		King
280	USA/WA-S3976/2021		King
281	USA/WA-CDC-UW21072078711/2021		King
282	USA/WA-UW-21071214811/2021		King
283	USA/WA-CDC-UW21071037396/2021		King
284	USA/WA-UW-21071478251/2021		King
285	USA/WA-CDC-UW21072012684/2021		King
286	USA/WA-CDC-UW21071558405/2021		King
287	USA/WA-UW-21071991786/2021		King
288	USA/WA-S12121/2021		King
289	USA/WA-CDC-UW21102326266/2021		King
290	USA/WA-S6270/2021		King
291	USA/WA-PHL-005640/2021		King
292	USA/WA-CDC-UW21070621420/2021		King
293	USA/WA-CDC-UW21100942471/2021		King
294	USA/WA-S10084/2021		King
295	USA/WA-UW-21080334303/2021		King
296	USA/WA-UW-21100513014/2021		King
297	USA/WA-UW-60361/2021		King
298	USA/WA-UW-60616/2021		King
299	USA/WA-UW-61125/2021		King
300	USA/WA-S3656/2021		King
301	USA/WA-UW-32408/2020		King
302	USA/WA-UW-60943/2021		King
303	USA/WA-S4269/2021		King
304	USA/WA-CDC-UW21121712187/2021		King
305	USA/WA-CDC-UW22010842050/2022		King
306	USA/WA-CDC-UW21120726959/2021		King
307	USA/WA-UW-22010847471/2022		King
308	USA/WA-PHL-009849/2021		King
309	USA/WA-CDC-LC0056254/2021		King
310	USA/WA-S7765/2021		King
311	USA/WA-S10390/2021		King
312	USA/WA-S8222/2021		King
313	USA/WA-UW-21050409722/2021		King
314	USA/WA-S8244/2021		King
315	USA/WA-Altius-ALTCOV-BQZYFUVVBAETNSTS/2021		King
316	USA/WA-S8433/2021		King
318	USA/WA-UW-21042970451/2021		King
319	USA/WA-Altius-ALTCOV-PDTLJMKKU7ZJNXTA/2021		King
320	USA/WA-UW-21092961943/2021		King
321	USA/WA-CDC-UW21050451124/2021		King
322	USA/WA-UW-21050504286/2021		King
323	USA/WA-Altius-ALTCOV-SLNS4222XF7XREEO/2021		King
324	USA/WA-Altius-ALTCOV-KZF2MN4EMRGAC4SH/2021		King
325	USA/WA-UW-21051830304/2021		King
326	USA/WA-UW-21043038925/2021		King
327	USA/WA-UW-21050168470/2021		King
328	USA/WA-UW-22327/2020		King
329	USA/WA-UW-22281/2020		King
330	USA/WA-UW-22375/2020		King
331	USA/WA-UW-22287/2020		King
332	USA/WA-UW-22010560724/2022		King
333	USA/WA-UW-66102/2021		King
334	USA/WA-S3516/2020		King
335	USA/WA-S5157/2021		King
336	USA/WA-S6812/2021		King
337	USA/WA-S6109/2021		King
338	USA/WA-S11499/2021		King
339	USA/WA-UW-21122798800/2021		King
340	USA/WA-CDC-UW21123078308/2021		King
341	USA/WA-CDC-UW21122905935/2021		King
342	USA/WA-CDC-UW21122902685/2021		King
343	USA/WA-CDC-ASC210597923/2022		King
344	USA/WA-PHL-007603/2021		King
345	USA/WA-PHL-006933/2021		King
346	USA/WA-S16062/2022		King
348	USA/WA-CDC-UW21082620252/2021		King
349	USA/WA-CDC-UW21082669352/2021		King
350	USA/WA-UW-66959/2021		King
351	USA/WA-CDC-LC0354735/2021		King
352	USA/WA-UW-21090226913/2021		King
353	USA/WA-CDC-UW21111010532/2021		King
354	USA/WA-Altius-ALTCOV-5ZCROR6ZQSDXXTRK/2021		King
