Admission_Date,Hospitalizations,Hospitalization_Rate,hosp_7,hosp_14
02/01/2020,1,0.04,1.0,1.0
02/02/2020,0,0,0.5,0.5
02/03/2020,0,0,0.3333333333333333,0.3333333333333333
02/04/2020,0,0,0.25,0.25
02/05/2020,0,0,0.2,0.2
02/06/2020,0,0,0.16666666666666666,0.16666666666666666
02/07/2020,0,0,0.14285714285714285,0.14285714285714285
02/08/2020,2,0.09,0.375,0.375
02/09/2020,0,0,0.3333333333333333,0.3333333333333333
02/10/2020,0,0,0.3,0.3
02/11/2020,3,0.13,0.5454545454545454,0.5454545454545454
02/12/2020,1,0.04,0.5833333333333334,0.5833333333333334
02/13/2020,0,0,0.5384615384615384,0.5384615384615384
02/14/2020,0,0,0.5,0.5
02/15/2020,2,0.09,0.5714285714285714,0.5714285714285714
02/16/2020,0,0,0.5714285714285714,0.5714285714285714
02/17/2020,1,0.04,0.6428571428571429,0.6428571428571429
02/18/2020,1,0.04,0.7142857142857143,0.7142857142857143
02/19/2020,3,0.13,0.9285714285714286,0.9285714285714286
02/20/2020,3,0.13,1.1428571428571428,1.1428571428571428
02/21/2020,4,0.18,1.4285714285714286,1.4285714285714286
02/22/2020,4,0.18,1.5714285714285714,1.5714285714285714
02/23/2020,2,0.09,1.7142857142857142,1.7142857142857142
02/24/2020,5,0.22,2.0714285714285716,2.0714285714285716
02/25/2020,1,0.04,1.9285714285714286,1.9285714285714286
02/26/2020,1,0.04,1.9285714285714286,1.9285714285714286
02/27/2020,10,0.44,2.642857142857143,2.642857142857143
02/28/2020,7,0.31,3.142857142857143,3.142857142857143
02/29/2020,4,0.18,3.2857142857142856,3.2857142857142856
03/01/2020,4,0.18,3.5714285714285716,3.5714285714285716
03/02/2020,14,0.62,4.5,4.5
03/03/2020,12,0.53,5.285714285714286,5.285714285714286
03/04/2020,10,0.44,5.785714285714286,5.785714285714286
03/05/2020,21,0.93,7.071428571428571,7.071428571428571
03/06/2020,15,0.66,7.857142857142857,7.857142857142857
03/07/2020,11,0.49,8.357142857142858,8.357142857142858
03/08/2020,14,0.62,9.214285714285714,9.214285714285714
03/09/2020,14,0.62,9.857142857142858,9.857142857142858
03/10/2020,19,0.84,11.142857142857142,11.142857142857142
03/11/2020,16,0.71,12.214285714285714,12.214285714285714
03/12/2020,26,1.15,13.357142857142858,13.357142857142858
03/13/2020,13,0.58,13.785714285714286,13.785714285714286
03/14/2020,16,0.71,14.642857142857142,14.642857142857142
03/15/2020,13,0.58,15.285714285714286,15.285714285714286
03/16/2020,24,1.06,16.0,16.0
03/17/2020,18,0.8,16.428571428571427,16.428571428571427
03/18/2020,13,0.58,16.642857142857142,16.642857142857142
03/19/2020,26,1.15,17.0,17.0
03/20/2020,22,0.97,17.5,17.5
03/21/2020,23,1.02,18.357142857142858,18.357142857142858
03/22/2020,21,0.93,18.857142857142858,18.857142857142858
03/23/2020,43,1.9,20.928571428571427,20.928571428571427
03/24/2020,25,1.11,21.357142857142858,21.357142857142858
03/25/2020,33,1.46,22.571428571428573,22.571428571428573
03/26/2020,28,1.24,22.714285714285715,22.714285714285715
03/27/2020,34,1.5,24.214285714285715,24.214285714285715
03/28/2020,40,1.77,25.928571428571427,25.928571428571427
03/29/2020,38,1.68,27.714285714285715,27.714285714285715
03/30/2020,38,1.68,28.714285714285715,28.714285714285715
03/31/2020,37,1.64,30.071428571428573,30.071428571428573
04/01/2020,38,1.68,31.857142857142858,31.857142857142858
04/02/2020,40,1.77,32.857142857142854,32.857142857142854
04/03/2020,46,2.03,34.57142857142857,34.57142857142857
04/04/2020,26,1.15,34.785714285714285,34.785714285714285
04/05/2020,32,1.42,35.57142857142857,35.57142857142857
04/06/2020,24,1.06,34.214285714285715,34.214285714285715
04/07/2020,30,1.33,34.57142857142857,34.57142857142857
04/08/2020,22,0.97,33.785714285714285,33.785714285714285
04/09/2020,30,1.33,33.92857142857143,33.92857142857143
04/10/2020,31,1.37,33.714285714285715,33.714285714285715
04/11/2020,24,1.06,32.57142857142857,32.57142857142857
04/12/2020,17,0.75,31.071428571428573,31.071428571428573
04/13/2020,16,0.71,29.5,29.5
04/14/2020,19,0.84,28.214285714285715,28.214285714285715
04/15/2020,22,0.97,27.071428571428573,27.071428571428573
04/16/2020,25,1.11,26.0,26.0
04/17/2020,23,1.02,24.357142857142858,24.357142857142858
04/18/2020,20,0.88,23.928571428571427,23.928571428571427
