,PUMA,Date,Hospitalization_Rate
0,11601,2020-02-01,0.0
1,11601,2020-02-02,0.0
2,11601,2020-02-03,0.0
3,11601,2020-02-04,0.0
4,11601,2020-02-05,0.0
5,11601,2020-02-06,0.0
6,11601,2020-02-07,0.0
7,11601,2020-02-08,0.23375
8,11601,2020-02-09,0.20777777777777778
9,11601,2020-02-10,0.187
10,11601,2020-02-11,0.17
11,11601,2020-02-12,0.15583333333333335
12,11601,2020-02-13,0.14384615384615385
13,11601,2020-02-14,0.1335714285714286
14,11601,2020-02-15,0.1335714285714286
15,11601,2020-02-16,0.1335714285714286
16,11601,2020-02-17,0.1335714285714286
17,11601,2020-02-18,0.1335714285714286
18,11601,2020-02-19,0.1335714285714286
19,11601,2020-02-20,0.1335714285714286
20,11601,2020-02-21,0.1335714285714286
21,11601,2020-02-22,0.0
22,11601,2020-02-23,0.0
23,11601,2020-02-24,0.0
24,11601,2020-02-25,0.0
25,11601,2020-02-26,0.0
26,11601,2020-02-27,0.2392857142857143
27,11601,2020-02-28,0.45071428571428573
28,11601,2020-02-29,0.45071428571428573
29,11601,2020-03-01,0.6900000000000001
30,11601,2020-03-02,0.9292857142857143
31,11601,2020-03-03,0.9292857142857143
32,11601,2020-03-04,1.1407142857142856
33,11601,2020-03-05,1.407142857142857
34,11601,2020-03-06,1.407142857142857
35,11601,2020-03-07,1.407142857142857
36,11601,2020-03-08,1.6464285714285716
37,11601,2020-03-09,1.9914285714285715
38,11601,2020-03-10,2.1250000000000004
39,11601,2020-03-11,2.1250000000000004
40,11601,2020-03-12,2.258571428571429
41,11601,2020-03-13,2.0471428571428576
42,11601,2020-03-14,2.0471428571428576
43,11601,2020-03-15,1.807857142857143
44,11601,2020-03-16,1.5685714285714287
45,11601,2020-03-17,1.5685714285714287
46,11601,2020-03-18,1.5685714285714287
47,11601,2020-03-19,1.5135714285714286
48,11601,2020-03-20,1.5135714285714286
49,11601,2020-03-21,1.5135714285714286
50,11601,2020-03-22,1.2742857142857142
51,11601,2020-03-23,1.4857142857142855
52,11601,2020-03-24,1.3521428571428569
53,11601,2020-03-25,1.5635714285714284
54,11601,2020-03-26,1.402142857142857
55,11601,2020-03-27,1.7471428571428567
56,11601,2020-03-28,2.0921428571428566
57,11601,2020-03-29,2.0921428571428566
58,11601,2020-03-30,2.0921428571428566
59,11601,2020-03-31,2.225714285714285
60,11601,2020-04-01,2.014285714285714
61,11601,2020-04-02,2.014285714285714
62,11601,2020-04-03,2.014285714285714
63,11601,2020-04-04,2.1478571428571422
64,11601,2020-04-05,2.1478571428571422
65,11601,2020-04-06,1.591428571428571
66,11601,2020-04-07,1.936428571428571
