region,Date,Confirmed_Case_Rate
nKC,2020-02-01,0.0
nKC,2020-02-02,0.0
nKC,2020-02-03,0.0
nKC,2020-02-04,0.0
nKC,2020-02-05,0.0
nKC,2020-02-06,0.0
nKC,2020-02-07,0.0
nKC,2020-02-08,0.0
nKC,2020-02-09,0.0
nKC,2020-02-10,0.0
nKC,2020-02-11,0.0
nKC,2020-02-12,0.0
nKC,2020-02-13,0.0
nKC,2020-02-14,0.0
nKC,2020-02-15,0.0
nKC,2020-02-16,0.0
nKC,2020-02-17,0.0
nKC,2020-02-18,0.0
nKC,2020-02-19,0.0
nKC,2020-02-20,0.0
nKC,2020-02-21,0.16642857142857143
nKC,2020-02-22,0.30142857142857143
nKC,2020-02-23,0.5085714285714286
nKC,2020-02-24,0.5085714285714286
nKC,2020-02-25,0.7628571428571428
nKC,2020-02-26,1.0478571428571428
nKC,2020-02-27,1.1942857142857142
nKC,2020-02-28,2.5414285714285714
nKC,2020-02-29,5.126428571428571
nKC,2020-03-01,6.756428571428572
nKC,2020-03-02,9.675714285714287
nKC,2020-03-03,11.414285714285715
nKC,2020-03-04,15.290000000000001
nKC,2020-03-05,20.986428571428572
nKC,2020-03-06,23.54714285714286
nKC,2020-03-07,26.82857142857143
nKC,2020-03-08,31.775000000000002
nKC,2020-03-09,36.84428571428572
nKC,2020-03-10,46.38928571428572
nKC,2020-03-11,53.276428571428575
nKC,2020-03-12,70.24357142857143
nKC,2020-03-13,86.11857142857143
nKC,2020-03-14,93.86285714285714
nKC,2020-03-15,97.97428571428573
nKC,2020-03-16,117.42500000000003
nKC,2020-03-17,140.78214285714287
nKC,2020-03-18,154.645
nKC,2020-03-19,166.88642857142858
nKC,2020-03-20,178.77214285714288
nKC,2020-03-21,183.5778571428572
nKC,2020-03-22,194.11285714285717
nKC,2020-03-23,212.8171428571429
nKC,2020-03-24,221.76428571428573
nKC,2020-03-25,232.70714285714288
nKC,2020-03-26,234.205
nKC,2020-03-27,238.6807142857143
nKC,2020-03-28,235.115
nKC,2020-03-29,240.90857142857143
nKC,2020-03-30,240.14285714285717
nKC,2020-03-31,239.18285714285716
nKC,2020-04-01,244.50357142857143
nKC,2020-04-02,240.89357142857145
nKC,2020-04-03,250.06285714285715
nKC,2020-04-04,253.63714285714286
nKC,2020-04-05,243.30214285714285
nKC,2020-04-06,233.335
nKC,2020-04-07,235.69214285714287
nKC,2020-04-08,235.74214285714285
nKC,2020-04-09,232.47214285714284
nKC,2020-04-10,225.14428571428567
nKC,2020-04-11,226.33499999999998
nKC,2020-04-12,218.10999999999999
nKC,2020-04-13,210.83714285714285
nKC,2020-04-14,199.65642857142853
nKC,2020-04-15,188.5342857142857
nKC,2020-04-16,185.84857142857138
nKC,2020-04-17,177.88642857142852
nKC,2020-04-18,171.21285714285708
nKC,2020-04-19,175.01142857142852
nKC,2020-04-20,174.1971428571428
nKC,2020-04-21,166.07071428571425
nKC,2020-04-22,158.52285714285708
nKC,2020-04-23,160.25357142857138
nKC,2020-04-24,152.8221428571428
nKC,2020-04-25,164.04785714285708
nKC,2020-04-26,168.88499999999993
nKC,2020-04-27,164.23571428571424
nKC,2020-04-28,157.16428571428565
nKC,2020-04-29,155.56714285714284
nKC,2020-04-30,157.45285714285708
nKC,2020-05-01,155.61499999999995
nKC,2020-05-02,153.9664285714285
nKC,2020-05-03,146.76999999999995
nKC,2020-05-04,144.35642857142852
nKC,2020-05-05,135.96999999999994
nKC,2020-05-06,132.52428571428567
nKC,2020-05-07,121.46071428571425
nKC,2020-05-08,121.6221428571428
nKC,2020-05-09,108.49642857142852
nKC,2020-05-10,102.51857142857138
nKC,2020-05-11,98.31071428571424
nKC,2020-05-12,96.4428571428571
nKC,2020-05-13,91.29714285714282
nKC,2020-05-14,83.4285714285714
nKC,2020-05-15,76.38785714285711
nKC,2020-05-16,75.52571428571424
nKC,2020-05-17,74.32785714285708
nKC,2020-05-18,68.48857142857136
nKC,2020-05-19,65.11428571428566
nKC,2020-05-20,64.46928571428565
nKC,2020-05-21,60.60785714285708
