,ZIP,sum_essential,total
5852,18816,11.0,35.0
5853,18817,77.0,125.0
5854,18818,421.0,624.0
5855,18821,353.0,513.0
5856,18822,841.0,1327.0
5857,18823,72.0,75.0
5858,18824,383.0,606.0
5859,18825,6.0,10.0
5860,18826,402.0,557.0
5861,18828,124.0,158.0
5862,18829,191.0,321.0
5863,18830,168.0,240.0
5864,18831,306.0,397.0
5865,18832,676.0,902.0
5866,18833,655.0,895.0
5867,18834,1050.0,1631.0
5868,18837,840.0,1282.0
5869,18840,2768.0,4929.0
5870,18842,39.0,72.0
5871,18843,37.0,88.0
5872,18844,365.0,740.0
5873,18845,102.0,127.0
5874,18846,333.0,424.0
5875,18847,1629.0,2295.0
5876,18848,2403.0,3490.0
5877,18850,559.0,889.0
5878,18851,227.0,310.0
5879,18853,1395.0,1932.0
5880,18854,551.0,792.0
5881,18901,5920.0,13744.0
5882,18902,4318.0,11147.0
5883,18912,0.0,5.0
5884,18913,0.0,27.0
5885,18914,5455.0,12400.0
5886,18915,147.0,328.0
5887,18917,682.0,1273.0
5888,18920,27.0,125.0
5889,18923,326.0,542.0
5890,18925,1072.0,3530.0
5891,18929,1826.0,5491.0
5892,18930,734.0,1336.0
5893,18932,16.0,41.0
5894,18935,20.0,20.0
5895,18936,0.0,0.0
5896,18938,2569.0,6804.0
5897,18940,5232.0,15538.0
5898,18942,702.0,1468.0
5899,18944,8260.0,15151.0
5900,18947,1949.0,3570.0
5901,18950,33.0,67.0
5902,18951,10727.0,18080.0
5903,18954,1880.0,5892.0
5904,18955,500.0,725.0
5905,18960,3450.0,6242.0
5906,18962,112.0,167.0
5907,18964,4392.0,7372.0
5908,18966,8848.0,18634.0
5909,18969,4576.0,8104.0
5910,18970,228.0,396.0
5911,18972,956.0,1733.0
5912,18974,11540.0,20572.0
5913,18976,4316.0,10134.0
5914,18977,1021.0,2356.0
5915,18980,146.0,273.0
5916,19001,4341.0,9044.0
5917,19002,6774.0,16918.0
5918,19003,2654.0,7465.0
5919,19004,1381.0,4223.0
5920,19006,4154.0,10569.0
5921,19007,7485.0,11550.0
5922,19008,4380.0,9876.0
5923,19009,219.0,399.0
5924,19010,3279.0,9749.0
5925,19012,1427.0,3557.0
5926,19013,8197.0,13311.0
5927,19014,6093.0,11012.0
5928,19015,5446.0,8606.0
5929,19017,45.0,74.0
5930,19018,6996.0,11981.0
5931,19020,18186.0,29515.0
5932,19021,3368.0,4777.0
5933,19022,978.0,1497.0
5934,19023,6181.0,10005.0
5935,19025,872.0,3203.0
5936,19026,8379.0,16761.0
5937,19027,4399.0,10379.0
5938,19029,1451.0,2025.0
5939,19030,3852.0,6419.0
5940,19031,792.0,2155.0
5941,19032,1983.0,2918.0
5942,19033,2928.0,4578.0
5943,19034,1161.0,3128.0
5944,19035,275.0,1788.0
5945,19036,4521.0,7245.0
5946,19038,7435.0,16652.0
5947,19040,6444.0,11495.0
5948,19041,908.0,2978.0
5949,19043,731.0,1384.0
5950,19044,5008.0,9771.0
5951,19046,3837.0,8984.0
5952,19047,9087.0,17562.0
5953,19050,7736.0,14407.0
5954,19053,7806.0,14148.0
5955,19054,5898.0,9398.0
5956,19055,5127.0,7450.0
5957,19056,4545.0,8557.0
5958,19057,6288.0,9433.0
5959,19060,2628.0,5793.0
5960,19061,6476.0,10690.0
5961,19063,7277.0,18885.0
5962,19064,5595.0,12751.0
5963,19066,565.0,2490.0
5964,19067,12351.0,28578.0
5965,19070,2107.0,3981.0
5966,19072,1619.0,5401.0
5967,19073,3278.0,9555.0
5968,19074,2075.0,3225.0
5969,19075,2207.0,4355.0
5970,19076,2214.0,3729.0
5971,19078,3619.0,5910.0
5972,19079,2445.0,3953.0
5973,19081,2085.0,4868.0
5974,19082,13796.0,21196.0
5975,19083,8085.0,18911.0
5976,19085,1222.0,3608.0
5977,19086,1935.0,6203.0
5978,19087,5039.0,17029.0
5979,19090,4767.0,9420.0
5980,19094,1085.0,1911.0
5981,19095,1142.0,3995.0
5982,19096,1367.0,6605.0
5983,19102,774.0,3709.0
5984,19103,2858.0,16423.0
5985,19104,9452.0,21197.0
5986,19106,1684.0,8632.0
5987,19107,3030.0,9124.0
5988,19109,0.0,0.0
5989,19111,19575.0,31023.0
5990,19112,0.0,0.0
5991,19113,27.0,47.0
5992,19114,9439.0,15673.0
5993,19115,8251.0,15848.0
5994,19116,9076.0,15640.0
5995,19118,1551.0,5487.0
5996,19119,5887.0,14381.0
5997,19120,19351.0,29572.0
5998,19121,7801.0,12195.0
5999,19122,5241.0,9102.0
6000,19123,3414.0,11460.0
6001,19124,17155.0,26191.0
6002,19125,6159.0,16288.0
6003,19126,3501.0,6862.0
6004,19127,1548.0,4286.0
6005,19128,9529.0,22727.0
6006,19129,1833.0,5823.0
6007,19130,4891.0,19074.0
6008,19131,8330.0,16743.0
6009,19132,6163.0,9844.0
6010,19133,6128.0,8262.0
6011,19134,14082.0,21616.0
6012,19135,9820.0,14781.0
6013,19136,8977.0,14478.0
6014,19137,2225.0,3614.0
6015,19138,9054.0,14310.0
6016,19139,10130.0,18000.0
6017,19140,10879.0,17073.0
6018,19141,7688.0,13407.0
6019,19142,7407.0,11582.0
6020,19143,14326.0,26519.0
6021,19144,8815.0,18507.0
6022,19145,12353.0,21182.0
6023,19146,8983.0,23641.0
6024,19147,7758.0,23895.0
6025,19148,15072.0,25101.0
6026,19149,18546.0,26425.0
6027,19150,5761.0,10009.0
6028,19151,7661.0,14398.0
6029,19152,10585.0,17047.0
6030,19153,4080.0,6191.0
6031,19154,10071.0,16615.0
6032,19301,1133.0,3050.0
6033,19310,1037.0,1580.0
6034,19311,2382.0,4908.0
6035,19312,1396.0,5366.0
6036,19316,102.0,141.0
6037,19317,1495.0,4886.0
6038,19319,114.0,181.0
6039,19320,15950.0,27984.0
6040,19330,1697.0,2953.0
6041,19333,617.0,3163.0
6042,19335,11596.0,26655.0
6043,19341,3662.0,10038.0
6044,19342,3358.0,9118.0
6045,19343,1789.0,3978.0
6046,19344,3522.0,5864.0
6047,19345,235.0,306.0
6048,19348,6293.0,11860.0
6049,19350,2608.0,6352.0
6050,19352,2945.0,6037.0
6051,19355,5118.0,14470.0
6052,19358,194.0,252.0
6053,19362,2124.0,2969.0
6054,19363,5121.0,8376.0
6055,19365,2662.0,4123.0
6056,19367,15.0,22.0
6057,19372,432.0,863.0
6058,19373,671.0,1404.0
6059,19374,330.0,455.0
6060,19375,70.0,131.0
6061,19380,11263.0,27848.0
6062,19382,11965.0,28539.0
6063,19383,982.0,1243.0
6064,19390,3203.0,6566.0
6065,19401,12958.0,21252.0
6066,19403,11557.0,23184.0
6067,19405,1576.0,2527.0
6068,19406,6121.0,15039.0
6069,19422,3098.0,8934.0
6070,19425,2659.0,8399.0
6071,19426,9042.0,20600.0
6072,19428,4515.0,12183.0
6073,19435,24.0,38.0
6074,19436,24.0,171.0
6075,19437,100.0,374.0
6076,19438,6647.0,13511.0
6077,19440,5583.0,10466.0
6078,19442,0.0,0.0
6079,19444,1868.0,5831.0
6080,19446,13899.0,30466.0
6081,19453,562.0,1060.0
6082,19454,6256.0,14743.0
6083,19456,88.0,326.0
6084,19457,47.0,57.0
6085,19460,9820.0,23740.0
6086,19462,3237.0,7963.0
6087,19464,15401.0,24863.0
6088,19465,4711.0,9336.0
6089,19468,7381.0,14473.0
6090,19472,5.0,5.0
6091,19473,4173.0,9357.0
6092,19474,150.0,280.0
6093,19475,2933.0,5880.0
6094,19477,0.0,0.0
6095,19492,82.0,82.0
6096,19501,356.0,625.0
6097,19503,533.0,789.0
6098,19504,1435.0,2363.0
6099,19505,1399.0,2039.0
6100,19506,2383.0,3676.0
6101,19507,1330.0,1815.0
6102,19508,5120.0,8135.0
6103,19510,3253.0,5542.0
6104,19511,54.0,58.0
6105,19512,5733.0,8849.0
6106,19518,4289.0,7856.0
6107,19519,0.0,17.0
6108,19520,1462.0,2841.0
6109,19522,5113.0,7201.0
6110,19523,11.0,22.0
6111,19525,4881.0,9342.0
6112,19526,3991.0,5951.0
6113,19529,999.0,1510.0
6114,19530,5396.0,8052.0
6115,19533,2219.0,3561.0
6116,19534,445.0,812.0
6117,19535,0.0,0.0
6118,19536,252.0,320.0
6119,19538,11.0,27.0
6120,19539,1589.0,2432.0
6121,19540,3744.0,6162.0
6122,19541,1627.0,2476.0
6123,19542,63.0,86.0
6124,19543,1580.0,2966.0
6125,19544,49.0,78.0
6126,19545,241.0,566.0
6127,19547,1326.0,2577.0
6128,19549,141.0,173.0
6129,19550,141.0,190.0
6130,19551,1464.0,2392.0
6131,19554,158.0,218.0
6132,19555,1272.0,1806.0
6133,19559,108.0,140.0
6134,19560,2831.0,4261.0
6135,19562,984.0,1291.0
6136,19564,36.0,54.0
6137,19565,2387.0,4205.0
6138,19567,1597.0,2400.0
6139,19601,9714.0,12711.0
6140,19602,4711.0,6165.0
6141,19604,9850.0,12501.0
6142,19605,6107.0,9834.0
6143,19606,10816.0,18422.0
6144,19607,6597.0,11564.0
6145,19608,6655.0,13235.0
6146,19609,3322.0,5702.0
6147,19610,3176.0,7565.0
6148,19611,2576.0,4262.0
6149,19701,11572.0,21832.0
6150,19702,15940.0,30395.0
6151,19703,4312.0,7702.0
6152,19706,519.0,862.0
6153,19707,2391.0,7750.0
6154,19709,10468.0,22078.0
6155,19710,0.0,0.0
6156,19711,13056.0,26854.0
6157,19713,9119.0,15183.0
6158,19716,286.0,385.0
6159,19717,782.0,1030.0
6160,19720,17636.0,29914.0
6161,19730,112.0,215.0
6162,19731,79.0,100.0
6163,19732,12.0,12.0
6164,19733,15.0,32.0
6165,19734,3530.0,6658.0
