,migration_direction,year-month,tree_number,total_transitions,transitions_in_time_interval,proportion_transitions_in_time_interval,mig_per_lineage,mig_per_bl
0,North_King_County-to-South_King_County,2021-07,7,679,34,0.050073637702503684,4.25,25.58064762638275
0,North_King_County-to-South_King_County,2020-08,7,679,8,0.011782032400589101,,23.03665742116824
0,North_King_County-to-South_King_County,2022-03,7,679,0,0.0,0.0,0.0
0,North_King_County-to-South_King_County,2021-09,7,679,25,0.036818851251840944,,16.69954616705427
0,North_King_County-to-South_King_County,2020-06,7,679,16,0.023564064801178203,1.032258064516129,17.854453191941325
0,North_King_County-to-South_King_County,2021-05,7,679,35,0.05154639175257732,3.5,8.284106665659335
0,North_King_County-to-South_King_County,2021-03,7,679,34,0.050073637702503684,2.9024390243902443,6.58189928094529
0,North_King_County-to-South_King_County,2020-07,7,679,15,0.022091310751104567,1.3636363636363635,25.73583960498351
0,North_King_County-to-South_King_County,2020-02,7,679,15,0.022091310751104567,inf,39.39150034070942
0,North_King_County-to-South_King_County,2021-10,7,679,20,0.029455081001472753,,20.248267489559822
0,North_King_County-to-South_King_County,2020-04,7,679,31,0.045655375552282766,9.6875,35.07705225132289
0,North_King_County-to-South_King_County,2021-12,7,679,56,0.08247422680412371,,14.992461553866159
0,North_King_County-to-South_King_County,2021-06,7,679,19,0.027982326951399118,2.375,8.57289021623299
0,North_King_County-to-South_King_County,2020-12,7,679,8,0.011782032400589101,,13.8256234953739
0,North_King_County-to-South_King_County,2020-09,7,679,4,0.005891016200294551,0.5,8.97013623920642
0,North_King_County-to-South_King_County,2021-01,7,679,9,0.013254786450662739,1.2857142857142858,12.14823560623449
0,North_King_County-to-South_King_County,2020-03,7,679,53,0.0780559646539028,11.634146341463415,70.1370543092936
0,North_King_County-to-South_King_County,2021-02,7,679,16,0.023564064801178203,1.2307692307692308,16.603351761558233
0,North_King_County-to-South_King_County,2021-11,7,679,18,0.026509572901325478,1.0909090909090908,26.58739139302662
0,North_King_County-to-South_King_County,2020-10,7,679,7,0.010309278350515464,1.1666666666666667,33.44728605956465
0,North_King_County-to-South_King_County,2022-01,7,679,85,0.1251840942562592,,46.11798849554859
0,North_King_County-to-South_King_County,2021-08,7,679,42,0.061855670103092786,2.210526315789474,58.933130784321946
0,North_King_County-to-South_King_County,2020-11,7,679,6,0.008836524300441826,0.8,7.7884067935386065
0,North_King_County-to-South_King_County,2022-02,7,679,47,0.06921944035346098,0.8703703703703703,24.62520331016765
0,North_King_County-to-South_King_County,2021-04,7,679,43,0.06332842415316642,1.9050632911392404,11.683938772810427
0,North_King_County-to-South_King_County,2020-05,7,679,31,0.045655375552282766,2.540983606557377,33.33774740598295
0,South_King_County-to-North_King_County,2021-07,7,884,39,0.04411764705882353,,43.207732311439486
0,South_King_County-to-North_King_County,2020-08,7,884,10,0.011312217194570135,0.6666666666666666,39.25042354405054
0,South_King_County-to-North_King_County,2022-03,7,884,6,0.006787330316742082,,2727.4146001623026
0,South_King_County-to-North_King_County,2021-09,7,884,45,0.05090497737556561,2.3684210526315788,74.1180524233451
0,South_King_County-to-North_King_County,2020-06,7,884,32,0.03619909502262444,1.8461538461538463,51.15997197917634
0,South_King_County-to-North_King_County,2021-05,7,884,77,0.08710407239819004,3.253521126760563,55.68464062877254
0,South_King_County-to-North_King_County,2021-03,7,884,59,0.0667420814479638,5.1824324324324325,62.060537919848706
0,South_King_County-to-North_King_County,2020-07,7,884,19,0.021493212669683258,1.5833333333333333,40.88432389359067
0,South_King_County-to-North_King_County,2020-02,7,884,13,0.014705882352941176,inf,15.15236079486104
0,South_King_County-to-North_King_County,2021-10,7,884,23,0.026018099547511313,,28.081289778663624
0,South_King_County-to-North_King_County,2020-04,7,884,27,0.030542986425339366,3.7674418604651163,27.758507672217455
0,South_King_County-to-North_King_County,2021-12,7,884,80,0.09049773755656108,5.333333333333333,35.93701522143947
0,South_King_County-to-North_King_County,2021-06,7,884,34,0.038461538461538464,4.25,40.984610485251224
0,South_King_County-to-North_King_County,2020-12,7,884,9,0.010180995475113122,,25.758443504204752
0,South_King_County-to-North_King_County,2020-09,7,884,5,0.005656108597285068,,43.572117543560616
0,South_King_County-to-North_King_County,2021-01,7,884,13,0.014705882352941176,,33.88723751425446
0,South_King_County-to-North_King_County,2020-03,7,884,39,0.04411764705882353,6.09375,21.374349106568058
0,South_King_County-to-North_King_County,2021-02,7,884,12,0.013574660633484163,1.0344827586206897,18.423070681204198
0,South_King_County-to-North_King_County,2021-11,7,884,23,0.026018099547511313,1.0952380952380953,30.639468689378308
