start_date	poi_geo	visitor_state	sum_visits
2018-01-01	North King	DC	8057.832345842432
2018-01-01	North King	DE	120.71658945082295
2018-01-01	North King	FL	42160.268865699916
2018-01-01	North King	GA	8540.698703645723
2018-01-01	North King	HI	29575.564415451623
2018-01-01	North King	IA	1991.8237259385787
2018-01-01	North King	ID	17111.57655465415
2018-01-01	North King	IL	28157.144489404454
2018-01-01	North King	IN	3893.1100097890403
2018-01-01	North King	KS	4164.722336053392
2018-01-01	North King	KY	2293.615199565636
2018-01-01	North King	LA	4707.946988582095
2018-01-01	North King	MA	12705.421039699115
2018-01-01	North King	MD	9506.431419252307
2018-01-01	North King	ME	965.7327156065836
2018-01-01	North King	MI	5915.112883090324
2018-01-01	North King	MN	8812.311029910075
2018-01-01	North King	MO	4828.663578032918
2018-01-01	North King	MS	1991.8237259385787
2018-01-01	North King	MT	6820.487303971497
2018-01-01	North King	NC	9446.073124526896
2018-01-01	North King	ND	2414.331789016459
2018-01-01	North King	NE	1690.0322523115212
2018-01-01	North King	NH	724.2995367049377
2018-01-01	North King	NJ	5190.8133463853865
2018-01-01	North King	NM	2203.077757477519
2018-01-01	North King	NV	23117.226879832597
2018-01-01	North King	NY	32080.4336465562
2018-01-01	North King	OH	13037.391660688878
2018-01-01	North King	OK	3410.2436519857483
2018-01-01	North King	OR	65850.89954542392
2018-01-01	North King	PA	11317.180261014651
2018-01-01	North King	PR	845.0161261557606
2018-01-01	North King	RI	603.5829472541147
2018-01-01	North King	SC	1388.240778684464
2018-01-01	North King	TN	4285.438925504215
2018-01-01	North King	TX	44242.630033726615
2018-01-01	North King	UT	8751.952735184665
2018-01-01	North King	VA	10291.089250682657
2018-01-01	North King	VT	241.4331789016459
2018-01-01	North King	WA	1219750.5989584778
2018-01-01	North King	WI	5220.992493748093
2018-01-01	North King	WV	120.71658945082295
2018-01-01	North King	WY	724.2995367049377
2018-01-01	South King	DC	1931.4654312131672
2018-01-01	South King	DE	362.14976835246887
2018-01-01	South King	FL	16900.322523115214
2018-01-01	South King	GA	9295.177387713367
2018-01-01	South King	HI	10924.851345299478
2018-01-01	South King	IA	1448.5990734098755
2018-01-01	South King	ID	10441.984987496186
2018-01-01	South King	IL	9144.281650899838
2018-01-01	South King	IN	2172.898610114813
2018-01-01	South King	KS	1207.1658945082295
2018-01-01	South King	KY	1569.3156628606985
2018-01-01	South King	LA	2927.3772941824564
2018-01-01	South King	MA	2112.5403153894017
2018-01-01	South King	MD	2414.331789016459
2018-01-01	South King	ME	120.71658945082295
2018-01-01	South King	MI	5009.738462209152
2018-01-01	South King	MN	3440.422799348454
2018-01-01	South King	MO	1931.4654312131672
2018-01-01	South King	MS	724.2995367049377
2018-01-01	South King	MT	4526.87210440586
2018-01-01	South King	NC	4406.155514955038
2018-01-01	South King	ND	1176.9867471455239
2018-01-01	South King	NE	3138.631325721397
2018-01-01	South King	NH	120.71658945082295
2018-01-01	South King	NJ	2082.361168026696
2018-01-01	South King	NM	1629.6739575861097
2018-01-01	South King	NV	7605.145135401846
2018-01-01	South King	NY	8721.773587821957
2018-01-01	South King	OH	3530.9602414365713
2018-01-01	South King	OK	3742.2142729755114
2018-01-01	South King	OR	31024.163488861497
2018-01-01	South King	PA	4557.0512517685665
2018-01-01	South King	PR	362.14976835246887
2018-01-01	South King	RI	845.0161261557606
2018-01-01	South King	SC	2263.43605220293
2018-01-01	South King	SD	241.4331789016459
2018-01-01	South King	TN	4738.126135944801
2018-01-01	South King	TX	26859.441152808107
2018-01-01	South King	UT	7242.995367049377
2018-01-01	South King	VA	5794.396293639502
2018-01-01	South King	VT	120.71658945082295
2018-01-01	South King	WA	803489.6193846775
2018-01-01	South King	WI	3832.7517150636286
2018-01-01	South King	WV	150.89573681352869
2018-01-01	South King	WY	1086.4493050574065
2018-01-08	North King	DC	7259.984503808829
2018-01-08	North King	DE	866.863821350308
2018-01-08	North King	FL	35396.93937180424
2018-01-08	North King	GA	15748.026087863927
2018-01-08	North King	HI	21454.87957842012
2018-01-08	North King	IA	2636.71078994052
2018-01-08	North King	ID	21924.43081498487
2018-01-08	North King	IL	24488.902953146197
2018-01-08	North King	IN	2889.546071167693
2018-01-08	North King	KS	4984.46697276427
2018-01-08	North King	KY	3539.6939371804237
2018-01-08	North King	LA	4081.4838255243662
2018-01-08	North King	MA	14014.298445163311
2018-01-08	North King	MD	14158.775748721695
2018-01-08	North King	ME	361.19325889596166
2018-01-08	North King	MI	10944.155744547637
2018-01-08	North King	MN	8415.802932275907
2018-01-08	North King	MO	9932.814619638944
2018-01-08	North King	MS	1336.415057915058
2018-01-08	North King	MT	7982.371021600752
2018-01-08	North King	NC	11666.54226233956
2018-01-08	North King	ND	1480.8923614734426
2018-01-08	North King	NE	2817.3074193885004
2018-01-08	North King	NH	2817.3074193885004
2018-01-08	North King	NJ	11738.780914118754
2018-01-08	North King	NM	2203.278879265366
2018-01-08	North King	NV	27667.40363143066
2018-01-08	North King	NY	35902.60993425859
2018-01-08	North King	OH	8524.160909944694
2018-01-08	North King	OK	5887.450120004174
2018-01-08	North King	OR	93621.29270583326
2018-01-08	North King	PA	16000.8613690911
2018-01-08	North King	PR	1228.0570802462696
2018-01-08	North King	RI	144.47730355838465
2018-01-08	North King	SC	2167.1595533757695
2018-01-08	North King	SD	433.431910675154
2018-01-08	North King	TN	6068.046749452155
2018-01-08	North King	TX	56490.625691328394
2018-01-08	North King	UT	15170.116873630388
2018-01-08	North King	VA	14700.565637065638
2018-01-08	North King	VT	577.9092142335386
2018-01-08	North King	WA	1551397.2856099342
2018-01-08	North King	WI	9607.740686632578
2018-01-08	North King	WV	288.9546071167693
2018-01-08	North King	WY	1155.8184284670772
2018-01-08	South King	DC	1336.415057915058
2018-01-08	South King	DE	469.55123656475007
2018-01-08	South King	FL	14845.042940624022
2018-01-08	South King	GA	9824.456641970157
2018-01-08	South King	HI	7693.416414483982
2018-01-08	South King	IA	2311.6368569341544
2018-01-08	South King	ID	19107.12339559637
2018-01-08	South King	IL	10366.246530314098
2018-01-08	South King	IN	2131.0402274861735
2018-01-08	South King	KS	3467.455285401232
2018-01-08	South King	KY	2456.114160492539
2018-01-08	South King	LA	3178.500678284462
2018-01-08	South King	MA	3359.097307732443
2018-01-08	South King	MD	3792.529218407597
2018-01-08	South King	MI	6104.166075341752
2018-01-08	South King	MN	7910.132369821559
2018-01-08	South King	MO	3756.409892518001
2018-01-08	South King	MS	1011.3411249086926
2018-01-08	South King	MT	7115.507200250444
2018-01-08	South King	NC	3973.125847855578
2018-01-08	South King	ND	1300.2957320254618
2018-01-08	South King	NE	1191.9377543566734
2018-01-08	South King	NH	1300.2957320254618
2018-01-08	South King	NJ	3431.3359595116353
2018-01-08	South King	NM	722.3865177919232
2018-01-08	South King	NV	7368.342481477617
2018-01-08	South King	NY	8307.444954607117
2018-01-08	South King	OH	3792.529218407597
2018-01-08	South King	OK	2672.830115830116
2018-01-08	South King	OR	62305.83715955338
2018-01-08	South King	PA	7296.103829698424
2018-01-08	South King	PR	144.47730355838465
2018-01-08	South King	RI	288.9546071167693
2018-01-08	South King	SC	1444.7730355838464
2018-01-08	South King	SD	722.3865177919232
2018-01-08	South King	TN	2817.3074193885004
2018-01-08	South King	TX	27811.880934989043
2018-01-08	South King	UT	6682.07528957529
2018-01-08	South King	VA	8524.160909944694
2018-01-08	South King	VT	433.431910675154
2018-01-08	South King	WA	964458.2399039967
2018-01-08	South King	WI	3937.006521965982
2018-01-08	South King	WV	866.863821350308
2018-01-08	South King	WY	469.55123656475007
2018-01-15	North King	DC	5971.807726703631
2018-01-15	North King	DE	838.148452870685
2018-01-15	North King	FL	49345.990162761576
2018-01-15	North King	GA	17985.268884516783
2018-01-15	North King	HI	29265.350146068085
2018-01-15	North King	IA	4574.893638585822
2018-01-15	North King	ID	24026.922315626303
2018-01-15	North King	IL	27135.056161688426
2018-01-15	North King	IN	4470.125081976987
2018-01-15	North King	KS	4714.585047397603
2018-01-15	North King	KY	3387.516663685685
2018-01-15	North King	LA	4435.202229774041
2018-01-15	North King	MA	10965.775591724796
2018-01-15	North King	MD	7438.567519227329
2018-01-15	North King	ME	2165.216836582603
2018-01-15	North King	MI	12013.461157813152
2018-01-15	North King	MN	16832.81476181959
2018-01-15	North King	MO	8311.638824300959
2018-01-15	North King	MS	558.7656352471233
2018-01-15	North King	MT	9533.938651404042
2018-01-15	North King	NC	9045.018720562808
2018-01-15	North King	ND	838.148452870685
2018-01-15	North King	NE	1955.6797233649318
2018-01-15	North King	NH	838.148452870685
2018-01-15	North King	NJ	11175.312704942466
2018-01-15	North King	NM	3736.7451857151373
2018-01-15	North King	NV	34224.395158886306
2018-01-15	North King	NY	37856.371787992604
2018-01-15	North King	OH	16378.817683181302
2018-01-15	North King	OK	4260.587968759315
2018-01-15	North King	OR	77249.3490729148
2018-01-15	North King	PA	15156.51785607822
2018-01-15	North King	PR	593.6884874500686
2018-01-15	North King	RI	558.7656352471233
2018-01-15	North King	SC	3841.513742323973
2018-01-15	North King	SD	838.148452870685
2018-01-15	North King	TN	5797.193465688904
2018-01-15	North King	TX	55038.41507184165
2018-01-15	North King	UT	16413.740535384248
2018-01-15	North King	VA	10651.469921898288
2018-01-15	North King	VT	523.8427830441781
2018-01-15	North King	WA	1523439.5816490788
2018-01-15	North King	WI	11454.695522566028
2018-01-15	North King	WV	419.0742264353425
2018-01-15	North King	WY	1676.29690574137
2018-01-15	South King	DC	1466.7597925236987
2018-01-15	South King	FL	16134.357717760686
2018-01-15	South King	GA	12083.306862219042
2018-01-15	South King	HI	8800.558755142192
2018-01-15	South King	IA	2269.9853931914386
2018-01-15	South King	ID	12397.612532045549
2018-01-15	South King	IL	9568.861503606988
2018-01-15	South King	IN	2444.5996542061644
2018-01-15	South King	KS	2409.6768020032196
2018-01-15	South King	KY	1536.6054969295892
2018-01-15	South King	LA	3736.7451857151373
2018-01-15	South King	MA	2444.5996542061644
2018-01-15	South King	MD	3282.7481070768495
2018-01-15	South King	MI	4260.587968759315
2018-01-15	South King	MN	5727.347761283014
2018-01-15	South King	MO	2374.7539498002743
2018-01-15	South King	MS	1746.1426101472605
2018-01-15	South King	MT	5482.887795862398
2018-01-15	South King	NC	6216.267692124247
2018-01-15	South King	ND	1117.5312704942467
