,start_date,poi_geo,visitor_geo,sum_visits,category,year,normalized_visits
420,2020-01-06,North King,North King,6156223.254283921,within North,2020,0.8981536504041603
424,2020-01-13,North King,North King,5773169.720885396,within North,2020,0.8422685866058827
428,2020-01-20,North King,North King,6626473.7300823685,within North,2020,0.9667601911349182
432,2020-01-27,North King,North King,8428189.978115723,within North,2020,1.2296190834009804
436,2020-02-03,North King,North King,5876076.0319662085,within North,2020,0.8572819600865377
440,2020-02-10,North King,North King,5812663.247686243,within North,2020,0.8480304399043042
444,2020-02-17,North King,North King,5786830.451566177,within North,2020,0.844261599955357
448,2020-02-24,North King,North King,7045875.6220508125,within North,2020,1.0279482482762416
452,2020-03-02,North King,North King,5099647.103877527,within North,2020,0.7440059388576172
456,2020-03-09,North King,North King,4667586.365519057,within North,2020,0.680971036885383
460,2020-03-16,North King,North King,3083672.3359755487,within North,2020,0.4498880971023067
464,2020-03-23,North King,North King,2652533.342562171,within North,2020,0.3869876718299874
468,2020-03-30,North King,North King,3198429.159350631,within North,2020,0.4666303846324727
472,2020-04-06,North King,North King,2878713.922011085,within North,2020,0.4199859736607743
476,2020-04-13,North King,North King,3271680.766399797,within North,2020,0.4773173262120195
480,2020-04-20,North King,North King,2943590.095290386,within North,2020,0.42945099295072775
484,2020-04-27,North King,North King,3564129.7466825345,within North,2020,0.5199837644402198
488,2020-05-04,North King,North King,3408945.803145075,within North,2020,0.49734341830343975
492,2020-05-11,North King,North King,3202012.2629385195,within North,2020,0.4671531365591509
496,2020-05-18,North King,North King,3406256.951481484,within North,2020,0.4969511320205521
500,2020-05-25,North King,North King,3296527.374449668,within North,2020,0.4809422876207247
504,2020-06-01,North King,North King,3625223.365694272,within North,2020,0.528896933223306
508,2020-06-08,North King,North King,3752659.854584136,within North,2020,0.5474891029617042
512,2020-06-15,North King,North King,4527071.881194761,within North,2020,0.6604708711477769
516,2020-06-22,North King,North King,4367965.896922324,within North,2020,0.6372583243194929
520,2020-06-29,North King,North King,4250902.7893450055,within North,2020,0.6201795646554312
524,2020-07-06,North King,North King,4410177.922517784,within North,2020,0.6434167892278495
528,2020-07-13,North King,North King,4417553.364311638,within North,2020,0.6444928190755137
532,2020-07-20,North King,North King,4461899.949760363,within North,2020,0.6509627026321271
536,2020-07-27,North King,North King,4514181.332018189,within North,2020,0.6585902223602925
540,2020-08-03,North King,North King,4548359.016369525,within North,2020,0.6635765281998595
544,2020-08-10,North King,North King,4356926.039897165,within North,2020,0.635647679695748
548,2020-08-17,North King,North King,4249124.615107017,within North,2020,0.6199201403920579
552,2020-08-24,North King,North King,4393471.353594833,within North,2020,0.6409794075338969
556,2020-08-31,North King,North King,4344244.477422256,within North,2020,0.6337975207331499
560,2020-09-07,North King,North King,4021322.22856118,within North,2020,0.5866852272649963
564,2020-09-14,North King,North King,3932784.7082533212,within North,2020,0.5737681685785848
568,2020-09-21,North King,North King,4212492.83689761,within North,2020,0.6145757979339315
572,2020-09-28,North King,North King,4278664.325680627,within North,2020,0.6242297954821503
576,2020-10-05,North King,North King,4101710.690287722,within North,2020,0.5984133903558695
580,2020-10-12,North King,North King,4055657.30702702,within North,2020,0.5916944959005267
584,2020-10-19,North King,North King,4144886.0532203694,within North,2020,0.6047124000284797
588,2020-10-26,North King,North King,4202024.123858296,within North,2020,0.6130484795695836
592,2020-11-02,North King,North King,4038953.5517405295,within North,2020,0.5892575246981617
596,2020-11-09,North King,North King,4028091.8903477206,within North,2020,0.5876728776789658
600,2020-11-16,North King,North King,3700218.203419816,within North,2020,0.5398382010237863
604,2020-11-23,North King,North King,3525250.9896157486,within North,2020,0.514311602119204
608,2020-11-30,North King,North King,3882119.3244492095,within North,2020,0.5663764127027522
612,2020-12-07,North King,North King,3873644.870352584,within North,2020,0.5651400439799691
616,2020-12-14,North King,North King,3904243.291377161,within North,2020,0.5696041581624272
620,2020-12-21,North King,North King,3884417.095821785,within North,2020,0.5667116428691755
624,2020-12-28,North King,North King,3791400.6059912965,within North,2020,0.553141131138481
628,2021-01-04,North King,North King,3650803.352521089,within North,2021,0.5326288899111679
632,2021-01-11,North King,North King,3786286.916967609,within North,2021,0.5523950765732147
636,2021-01-18,North King,North King,4032512.425512655,within North,2021,0.5883178055237063
640,2021-01-25,North King,North King,3923019.950367195,within North,2021,0.5723435527746285
644,2021-02-01,North King,North King,4080173.783704088,within North,2021,0.5952712932506283
648,2021-02-08,North King,North King,3680770.2392813214,within North,2021,0.537000867278334
652,2021-02-15,North King,North King,4192922.625913744,within North,2021,0.6117206291545817
656,2021-02-22,North King,North King,4686454.261009997,within North,2021,0.6837237423203003
660,2021-03-01,North King,North King,5038731.084563958,within North,2021,0.7351186807360897
664,2021-03-08,North King,North King,4807529.406180397,within North,2021,0.7013878326426155
668,2021-03-15,North King,North King,4714898.265515138,within North,2021,0.6878735408937402
672,2021-03-22,North King,North King,4614569.386044827,within North,2021,0.673236198221914
676,2021-03-29,North King,North King,4973426.42574837,within North,2021,0.7255911481433098
680,2021-04-05,North King,North King,4629089.934469261,within North,2021,0.6753546534881685
684,2021-04-12,North King,North King,5066152.51369549,within North,2021,0.7391192920941403
688,2021-04-19,North King,North King,4878060.429058359,within North,2021,0.7116778583691028
692,2021-04-26,North King,North King,4980006.582697707,within North,2021,0.726551151011979
696,2021-05-03,North King,North King,5023800.6955317985,within North,2021,0.732940432342993
700,2021-05-10,North King,North King,5109795.474638379,within North,2021,0.745486521329699
704,2021-05-17,North King,North King,5142731.690320399,within North,2021,0.7502917048201969
708,2021-05-24,North King,North King,4762572.798026114,within North,2021,0.6948289506697336
712,2021-05-31,North King,North King,5063348.960607624,within North,2021,0.7387102716060974
716,2021-06-07,North King,North King,4922632.364167477,within North,2021,0.7181806190017641
720,2021-06-14,North King,North King,5188568.949231315,within North,2021,0.7569790681133836
724,2021-06-21,North King,North King,4906629.002137453,within North,2021,0.7158458307018104
728,2021-06-28,North King,North King,4622329.424664605,within North,2021,0.6743683382898982
732,2021-07-05,North King,North King,4863973.597066168,within North,2021,0.7096226795599827
736,2021-07-12,North King,North King,4731823.968282819,within North,2021,0.6903428928159385
740,2021-07-19,North King,North King,4776867.555323591,within North,2021,0.6969144644527884
744,2021-07-26,North King,North King,4877540.210062461,within North,2021,0.7116019617404595
748,2021-08-02,North King,North King,5012027.259676814,within North,2021,0.731222763253654
752,2021-08-09,North King,North King,4815767.109120904,within North,2021,0.7025896608839504
756,2021-08-16,North King,North King,4843140.210155022,within North,2021,0.7065832214812805
760,2021-08-23,North King,North King,4602674.285666833,within North,2021,0.6715007790557904
764,2021-08-30,North King,North King,4810106.143378875,within North,2021,0.7017637621411656
768,2021-09-06,North King,North King,5164530.84757003,within North,2021,0.7534720626225014
772,2021-09-13,North King,North King,4988833.989015595,within North,2021,0.7278390132093894
776,2021-09-20,North King,North King,4894431.69324153,within North,2021,0.7140663212432544
