,Geographic Area Name,Estimate!!Total!!HOUSEHOLDS!!Average household size
0,ZCTA5 98001,2.94
1,ZCTA5 98002,2.55
2,ZCTA5 98003,2.64
3,ZCTA5 98004,2.12
4,ZCTA5 98005,2.48
5,ZCTA5 98006,2.85
6,ZCTA5 98007,2.41
7,ZCTA5 98008,2.75
8,ZCTA5 98010,2.57
9,ZCTA5 98011,2.53
10,ZCTA5 98014,2.59
11,ZCTA5 98019,2.92
12,ZCTA5 98022,2.49
13,ZCTA5 98023,2.86
14,ZCTA5 98024,2.89
15,ZCTA5 98027,2.49
16,ZCTA5 98028,2.45
17,ZCTA5 98029,2.52
18,ZCTA5 98033,2.34
19,ZCTA5 98034,2.45
20,ZCTA5 98038,2.94
21,ZCTA5 98039,2.71
22,ZCTA5 98040,2.54
23,ZCTA5 98042,2.92
24,ZCTA5 98045,2.64
25,ZCTA5 98047,2.94
26,ZCTA5 98051,2.71
27,ZCTA5 98052,2.52
28,ZCTA5 98053,2.67
29,ZCTA5 98055,2.55
30,ZCTA5 98056,2.50
31,ZCTA5 98057,2.00
32,ZCTA5 98058,2.74
33,ZCTA5 98059,2.90
34,ZCTA5 98065,2.91
35,ZCTA5 98070,2.22
36,ZCTA5 98072,2.57
37,ZCTA5 98074,3.06
38,ZCTA5 98075,3.12
39,ZCTA5 98077,2.97
40,ZCTA5 98101,1.41
41,ZCTA5 98102,1.59
42,ZCTA5 98103,2.05
43,ZCTA5 98104,1.46
44,ZCTA5 98105,2.41
45,ZCTA5 98106,2.43
46,ZCTA5 98107,1.88
47,ZCTA5 98108,2.77
48,ZCTA5 98109,1.63
49,ZCTA5 98112,2.15
50,ZCTA5 98115,2.34
51,ZCTA5 98116,2.17
52,ZCTA5 98117,2.38
53,ZCTA5 98118,2.71
54,ZCTA5 98119,1.83
55,ZCTA5 98121,1.50
56,ZCTA5 98122,1.82
57,ZCTA5 98125,2.22
58,ZCTA5 98126,2.15
59,ZCTA5 98133,2.18
60,ZCTA5 98134,1.62
61,ZCTA5 98136,2.17
62,ZCTA5 98144,2.30
63,ZCTA5 98146,2.64
64,ZCTA5 98148,2.53
65,ZCTA5 98154,-
66,ZCTA5 98155,2.57
67,ZCTA5 98164,1.59
68,ZCTA5 98166,2.44
69,ZCTA5 98168,2.88
70,ZCTA5 98177,2.46
71,ZCTA5 98178,2.70
72,ZCTA5 98188,2.51
73,ZCTA5 98195,-
74,ZCTA5 98198,2.59
75,ZCTA5 98199,2.27
