,interval,mean_percent,upper_hpd_log_95,lower_hpd_log_95,upper_hpd_log_50,lower_hpd_log_50,days,date
0,0,0.5193746251604481,0.7709975780194628,0.2693444573813762,0.569362959307225,0.39515222270054834,0,2022-03-06
0,1,0.4288224397121655,0.5776127787413622,0.26726534206091224,0.46535103571712855,0.35509311111323755,1,2022-03-05
0,2,0.44496532011801077,0.6107973741507738,0.26677657801643334,0.4922438973684768,0.371349801206241,2,2022-03-04
0,3,0.41001140095910193,0.5659704017080519,0.24822585184490883,0.4584449406629516,0.34908711437155593,3,2022-03-03
0,4,0.39301124766946327,0.5411361647521511,0.2358997766188392,0.4413331836883698,0.3363132377615959,4,2022-03-02
0,5,0.36735561780438036,0.5040950281026005,0.2343086319802001,0.40257569071816585,0.3113366954176377,5,2022-03-01
0,6,0.35711099713074773,0.4935360396238249,0.23723961588986167,0.39995312366748,0.3142210796689507,6,2022-02-28
0,7,0.34199118169659914,0.4857880556220119,0.2121959461196872,0.3680561350743731,0.28172327667670716,7,2022-02-27
0,8,0.3516177851379844,0.48472289031190285,0.22996967864306786,0.38632306317915444,0.3013321842373364,8,2022-02-26
0,9,0.33876782225118623,0.48153340873719974,0.216793940470822,0.3620795125000649,0.27467695596433733,9,2022-02-25
0,10,0.330721094706679,0.47108219419704955,0.19681790971025018,0.355323742074733,0.266810806880204,10,2022-02-24
0,11,0.33370234215357186,0.505389068397268,0.19280709027597118,0.35001864326739673,0.2574964478965936,11,2022-02-23
0,12,0.3481133797217648,0.5546845040934395,0.19808349681409684,0.35914379736077917,0.2653648252351692,12,2022-02-22
0,13,0.3806330088910732,0.5953161740000068,0.21653237934564062,0.39017546929045394,0.29422108045066975,13,2022-02-21
0,14,0.3672655347412066,0.6146475699663222,0.19832402325817014,0.3673004790260886,0.29328144665858263,14,2022-02-20
0,15,0.3925209654475587,0.6531362633361404,0.22089217598213004,0.39074371839067656,0.313675367914151,15,2022-02-19
0,16,0.406578618197783,0.6710972266075138,0.2062444888268509,0.4019663066775466,0.3219050327006088,16,2022-02-18
0,17,0.4357654203017049,0.7156520634159587,0.2456118596564695,0.4390193803519179,0.35388853071284243,17,2022-02-17
0,18,0.473919183760662,0.6763337007193155,0.29456694303995085,0.500724431143651,0.4017314361875238,18,2022-02-16
0,19,0.5204943876456698,0.7190362109904157,0.33485057970067583,0.5566855161067619,0.4443687096494737,19,2022-02-15
0,20,0.5467549774232991,0.7344695595616612,0.35680051750162317,0.5886542782324126,0.46963116330822796,20,2022-02-14
0,21,0.5823614034753188,0.7982037371583719,0.3500784727491244,0.626867050536733,0.49293207490629715,21,2022-02-13
0,22,0.6022872552088105,0.8283828355809343,0.35554956187397796,0.6541714467431343,0.5067471124512946,22,2022-02-12
0,23,0.6279636881702418,0.9024599896849032,0.35414990146189673,0.6950197465236458,0.5201189853043159,23,2022-02-11
0,24,0.6572755644110049,0.9315946041060665,0.346492211307748,0.7022082303538445,0.5117235064541518,24,2022-02-10
0,25,0.577534925210703,0.7969834404412734,0.3592272784752657,0.6132648962352404,0.4708114624794744,25,2022-02-09
