,interval,mean_percent,upper_hpd_log_95,lower_hpd_log_95,upper_hpd_log_50,lower_hpd_log_50,days,date
0,0,0.533951723157891,0.7960660767980584,0.289312737241181,0.6256271204180324,0.440415289952212,0,2022-03-06
0,1,0.5076027335405129,0.7386071542155553,0.2729199366225464,0.580651980621992,0.41128060628826213,1,2022-03-05
0,2,0.512577840546486,0.7461416616165903,0.2764379818331998,0.5936300429504003,0.4229019919040286,2,2022-03-04
0,3,0.5016367871327279,0.7343462255597287,0.28077550375861676,0.5762357205360198,0.413188339679975,3,2022-03-03
0,4,0.5398590554879074,0.8241713828963807,0.25959547877170536,0.629199541713393,0.41997559310968546,4,2022-03-02
0,5,0.5225755002522551,0.8054840999954156,0.26791765879620544,0.6034137476325832,0.4052565823031846,5,2022-03-01
0,6,0.5544349181991882,0.8537133802661886,0.2726879479938183,0.642174033906701,0.4092459539070824,6,2022-02-28
0,7,0.5511728688559331,0.855584302990742,0.2751191171935929,0.6378327115473994,0.40813204036046724,7,2022-02-27
0,8,0.5358031673236366,0.8197233634090407,0.28475869775596613,0.6243481013251091,0.41687983792795086,8,2022-02-26
0,9,0.5300553872204841,0.796585739342705,0.26569300071656166,0.6136671102066273,0.40939147379715723,9,2022-02-25
0,10,0.5282029817152796,0.7939304200790229,0.26732265421422435,0.6104749302308853,0.40864377305922234,10,2022-02-24
0,11,0.5029949681384318,0.764707220682519,0.25382188916676757,0.5753905300288574,0.38123378894045284,11,2022-02-23
0,12,0.49926310147436204,0.7568230230966083,0.25783529500539343,0.5631078682021885,0.3733475850461668,12,2022-02-22
0,13,0.4414538310824787,0.6399731551192621,0.23855007876083098,0.4961985490010711,0.353874539542342,13,2022-02-21
0,14,0.4149804790356122,0.6092120492456273,0.2410501367779065,0.46637008375456934,0.3382396222144573,14,2022-02-20
0,15,0.43148395158014574,0.6345433008227177,0.2470253471560075,0.4793526173404714,0.3429749691148253,15,2022-02-19
0,16,0.4254194263570954,0.6204566312367159,0.2448041150160114,0.48160096193350116,0.34960382013124325,16,2022-02-18
0,17,0.42933962881832033,0.6169923563449783,0.2454874281525049,0.4857527570805855,0.35550372866406843,17,2022-02-17
0,18,0.4180889897852609,0.606091373040228,0.24526123140545913,0.465742452627824,0.34170478461090353,18,2022-02-16
0,19,0.42999231178036473,0.6205457567944532,0.2503846988689862,0.47784715185257576,0.35057976464288076,19,2022-02-15
0,20,0.32796660902276853,0.4718788668472764,0.18604319152659435,0.3700621368484717,0.27250395326083465,20,2022-02-14
0,21,0.3023678269169389,0.44507125336284487,0.15683641916964733,0.34219422777436903,0.24781224152474443,21,2022-02-13
0,22,0.29806701162433397,0.4311056274977404,0.1625982789389029,0.3381409865132413,0.24602557732054084,22,2022-02-12
0,23,0.29851233159014273,0.42994110713863265,0.16431763088771104,0.3394414672547056,0.2474803325494844,23,2022-02-11
0,24,0.30456853439037324,0.4340326822568063,0.17208388567432317,0.34580572601637566,0.25384640701974726,24,2022-02-10
0,25,0.3094214156543951,0.44021287183838037,0.17560368381985053,0.35006448988140554,0.25781204170618977,25,2022-02-09
0,26,0.3108313216491042,0.4378001970204463,0.1742883581133412,0.35488920529774726,0.26274406303861436,26,2022-02-08
0,27,0.3264059133865302,0.4508577782312847,0.17589605409959594,0.37730208605759896,0.2815930971869251,27,2022-02-07
0,28,0.35060551818756114,0.474518311820614,0.22292219049871487,0.3937178625614349,0.3062567446423905,28,2022-02-06
0,29,0.3390380397270102,0.4605779511306758,0.21545299421544734,0.3781682457732017,0.29331120100330593,29,2022-02-05
0,30,0.3340400590432015,0.4502169332262767,0.21030969535288443,0.3769518949325651,0.2934130856646281,30,2022-02-04
0,31,0.32595222117594463,0.44165690602362734,0.21004433126562136,0.3600960700572421,0.27949435297589575,31,2022-02-03
0,32,0.3245890762446025,0.43698688651660894,0.2096037631499908,0.3672840019618004,0.28811176269031913,32,2022-02-02
0,33,0.32620454214434724,0.4378249730441357,0.2086170128659315,0.3662569104765229,0.2863130529577118,33,2022-02-01
0,34,0.3088555746504606,0.4358291905312174,0.18804992896456746,0.35056411836846907,0.26165764745832265,34,2022-01-31
0,35,0.32147895830057144,0.4474600045897698,0.19112044574086767,0.3649562582149077,0.27363209148144685,35,2022-01-30
0,36,0.3264685901038445,0.45613715787739617,0.19600394904169324,0.36574479807501287,0.2736060327229985,36,2022-01-29
0,37,0.32118948392631996,0.4452398000367756,0.18874956339628687,0.35918870942362496,0.26832915664537677,37,2022-01-28
0,38,0.31383610177619126,0.4396979185720366,0.19025912305651188,0.3544022397669714,0.2649479136542648,38,2022-01-27
0,39,0.3098936011556684,0.43123064648351206,0.1812354289433178,0.34530176266079426,0.25524631526328767,39,2022-01-26
0,40,0.31170504197473375,0.4397778083147169,0.19094668760382041,0.35069754747740545,0.26269142931107214,40,2022-01-25
0,41,0.32322580642609794,0.4413603423861954,0.2050288437739111,0.3640468253539466,0.28153271686014175,41,2022-01-24
0,42,0.3781951955101864,0.49812924727748287,0.26634211668846886,0.4167308059383398,0.33698104419299657,42,2022-01-23
0,43,0.3723319212524004,0.4850624024918905,0.25600465249320176,0.4103091090881372,0.3312638331516266,43,2022-01-22
0,44,0.3675218496097642,0.4809346694737017,0.25370853301882346,0.40398579025449327,0.32576048724566936,44,2022-01-21
0,45,0.36579010387900873,0.4851774926071672,0.25275980101220247,0.4014306815408386,0.32166831508351224,45,2022-01-20
0,46,0.36911092548188157,0.4882293795394941,0.24523554958873753,0.40663971830336837,0.32328933829869,46,2022-01-19
0,47,0.3566300075616146,0.47421802084213255,0.24192979138056156,0.38952463865614534,0.3101069811626132,47,2022-01-18
0,48,0.3674328063521274,0.48105688836756866,0.2552575850414188,0.39443332893655675,0.3159223529638689,48,2022-01-17
0,49,0.35648503656318203,0.46872068805453265,0.24139366254526973,0.39429949501777967,0.31543513968543235,49,2022-01-16
0,50,0.3493799576722672,0.45898952326642717,0.24165151316992203,0.38130676689777937,0.3067366924443935,50,2022-01-15
0,51,0.34517924393586363,0.45472422460398737,0.2392453247974533,0.3754737292356036,0.30174360656664323,51,2022-01-14
0,52,0.33686177618285396,0.4385385811226533,0.23194026730664571,0.36659509879395924,0.29686270565635975,52,2022-01-13
0,53,0.32968228724144716,0.4352962022867211,0.2260056009665128,0.3593551344586611,0.28858787850518525,53,2022-01-12
0,54,0.3235668691082193,0.426334139528269,0.22322220360234507,0.3512220621229735,0.28272618881836203,54,2022-01-11
0,55,0.2960415119328028,0.4100108351791127,0.19194727846377962,0.3308925081962796,0.25748949181235575,55,2022-01-10
0,56,0.27700173742458933,0.36464012772316334,0.19000283549310254,0.30361993049583647,0.24286224401071912,56,2022-01-09
0,57,0.27547777936115747,0.3618632655825669,0.18836299075864038,0.29995908397759247,0.23977469646569524,57,2022-01-08
0,58,0.27257943523432987,0.3584009513634615,0.18663179834373086,0.30035918200075157,0.2402351886704743,58,2022-01-07
0,59,0.27347020692229773,0.358611337357216,0.18628775704648934,0.30188497307006484,0.2412920383277334,59,2022-01-06
0,60,0.26799450284548676,0.35369912352427857,0.17813563505441743,0.29881112701006407,0.2362442762019982,60,2022-01-05
0,61,0.26538602831222174,0.35100839378355136,0.1784721475456005,0.2970114032735035,0.2360040790035869,61,2022-01-04
0,62,0.2359731625424038,0.3410938184661517,0.13519755163469016,0.2608650561357621,0.18395866204826097,62,2022-01-03
0,63,0.23638068930647493,0.34402492389244554,0.13363171944937374,0.26165444366957147,0.18210751317857543,63,2022-01-02
