,migration_direction,year-month,tree_number,total_transitions,transitions_in_time_interval,proportion_transitions_in_time_interval,mig_per_lineage,mig_per_bl
0,North_King_County-to-South_King_County,2021-09,6,734,29,0.039509536784741145,,30.780902041868448
0,North_King_County-to-South_King_County,2020-08,6,734,12,0.01634877384196185,0.8,35.620697958189155
0,North_King_County-to-South_King_County,2021-07,6,734,38,0.051771117166212535,,28.822997654273085
0,North_King_County-to-South_King_County,2022-03,6,734,1,0.0013623978201634877,,858.9150967857236
0,North_King_County-to-South_King_County,2020-09,6,734,5,0.006811989100817439,2.5,21.440213484006442
0,North_King_County-to-South_King_County,2020-11,6,734,15,0.020435967302452316,1.3636363636363635,19.266077681119544
0,North_King_County-to-South_King_County,2021-04,6,734,60,0.08174386920980926,1.0344827586206897,14.989389694398271
0,North_King_County-to-South_King_County,2021-12,6,734,55,0.07493188010899182,3.6666666666666665,18.779564205603656
0,North_King_County-to-South_King_County,2021-05,6,734,57,0.0776566757493188,0.8702290076335878,12.83891882625215
0,North_King_County-to-South_King_County,2021-08,6,734,33,0.04495912806539509,3.3,57.9059406099386
0,North_King_County-to-South_King_County,2020-10,6,734,10,0.013623978201634877,1.0,24.27405682138019
0,North_King_County-to-South_King_County,2020-04,6,734,28,0.03814713896457766,2.3333333333333335,22.633710172498773
0,North_King_County-to-South_King_County,2021-02,6,734,12,0.01634877384196185,1.3333333333333333,14.273866944050788
0,North_King_County-to-South_King_County,2020-03,6,734,27,0.03678474114441417,4.695652173913044,39.090704883309336
0,North_King_County-to-South_King_County,2022-01,6,734,67,0.09128065395095368,1.8962264150943395,36.812002179893526
0,North_King_County-to-South_King_County,2020-12,6,734,22,0.02997275204359673,1.0232558139534884,31.635383774027247
0,North_King_County-to-South_King_County,2022-02,6,734,32,0.043596730245231606,0.8648648648648649,26.359821573618703
0,North_King_County-to-South_King_County,2020-05,6,734,32,0.043596730245231606,1.217993079584775,29.548244374565396
0,North_King_County-to-South_King_County,2021-06,6,734,29,0.039509536784741145,0.5918367346938775,14.786185003042684
0,North_King_County-to-South_King_County,2021-01,6,734,14,0.01907356948228883,2.3333333333333335,35.547610495836466
0,North_King_County-to-South_King_County,2020-06,6,734,20,0.027247956403269755,1.3114754098360655,21.215827188575535
0,North_King_County-to-South_King_County,2021-03,6,734,40,0.05449591280653951,1.797752808988764,12.376276804492697
0,North_King_County-to-South_King_County,2021-10,6,734,31,0.04223433242506812,2.066666666666667,37.578717133512434
0,North_King_County-to-South_King_County,2020-07,6,734,22,0.02997275204359673,1.6417910447761193,32.71725385397383
0,North_King_County-to-South_King_County,2020-02,6,734,4,0.005449591280653951,2.4,20.55067820654296
0,North_King_County-to-South_King_County,2021-11,6,734,37,0.05040871934604905,1.8974358974358974,38.48454731203852
0,South_King_County-to-North_King_County,2021-09,6,853,35,0.041031652989449004,,34.83337176433305
0,South_King_County-to-North_King_County,2020-08,6,853,13,0.015240328253223915,0.6724137931034483,37.691123465518665
0,South_King_County-to-North_King_County,2021-07,6,853,36,0.04220398593200469,,43.951208025104165
0,South_King_County-to-North_King_County,2022-03,6,853,1,0.0011723329425556857,,192.54560827152923
0,South_King_County-to-North_King_County,2020-09,6,853,9,0.010550996483001172,2.076923076923077,35.96068014212764
0,South_King_County-to-North_King_County,2020-11,6,853,17,0.01992966002344666,2.8333333333333335,46.78015118775249
0,South_King_County-to-North_King_County,2021-04,6,853,78,0.0914419695193435,1.4625,40.30415204080848
0,South_King_County-to-North_King_County,2021-12,6,853,72,0.08440797186400938,4.235294117647059,26.67457180041746
0,South_King_County-to-North_King_County,2021-05,6,853,72,0.08440797186400938,1.7041420118343196,42.120820670077386
0,South_King_County-to-North_King_County,2021-08,6,853,38,0.044548651817116064,1.6170212765957446,36.29968871704789
0,South_King_County-to-North_King_County,2020-10,6,853,13,0.015240328253223915,1.3,24.36611717862733
0,South_King_County-to-North_King_County,2020-04,6,853,31,0.03634232121922626,2.48,30.418166797857843
0,South_King_County-to-North_King_County,2021-02,6,853,15,0.017584994138335287,2.5,46.62694998769004
0,South_King_County-to-North_King_County,2020-03,6,853,22,0.02579132473622509,4.714285714285714,32.025738281808444
0,South_King_County-to-North_King_County,2022-01,6,853,68,0.07971864009378664,1.9710144927536233,33.68392747334407
0,South_King_County-to-North_King_County,2020-12,6,853,23,0.026963657678780773,,30.05206606757142
0,South_King_County-to-North_King_County,2022-02,6,853,42,0.0492379835873388,,48.92564472727627
0,South_King_County-to-North_King_County,2020-05,6,853,25,0.029308323563892145,1.3043478260869565,35.273153838913125
0,South_King_County-to-North_King_County,2021-06,6,853,40,0.04689331770222743,2.5,50.03904577032949
0,South_King_County-to-North_King_County,2021-01,6,853,16,0.01875732708089097,2.2857142857142856,45.56954611955002
0,South_King_County-to-North_King_County,2020-06,6,853,25,0.029308323563892145,1.3274336283185841,32.43173909258482
