,migration_direction,year-month,tree_number,total_transitions,transitions_in_time_interval,proportion_transitions_in_time_interval,mig_per_lineage,mig_per_bl,region
0,none-to-South_King_County,2021-10,2,915,30,0.03278688524590164,3.5294117647058822,45.28851233575015,South King County
0,none-to-South_King_County,2021-12,2,915,80,0.08743169398907104,2.0,24.471262126397423,South King County
0,none-to-South_King_County,2021-06,2,915,46,0.05027322404371585,2.967741935483871,28.268385037997874,South King County
0,none-to-South_King_County,2021-09,2,915,30,0.03278688524590164,,58.36151719678521,South King County
0,none-to-South_King_County,2020-09,2,915,7,0.007650273224043716,,20.61150956132893,South King County
0,none-to-South_King_County,2021-05,2,915,86,0.09398907103825137,1.4098360655737705,21.46044550590785,South King County
0,none-to-South_King_County,2020-04,2,915,8,0.008743169398907104,0.5333333333333333,10.869582406493414,South King County
0,none-to-South_King_County,2021-07,2,915,49,0.053551912568306013,5.297297297297297,74.78873133412884,South King County
0,none-to-South_King_County,2022-02,2,915,45,0.04918032786885246,2.6999999999999997,53.60273709387488,South King County
0,none-to-South_King_County,2020-02,2,915,10,0.01092896174863388,inf,85.28494431055313,South King County
0,none-to-South_King_County,2020-08,2,915,9,0.009836065573770493,0.5869565217391304,57.37746169942384,South King County
0,none-to-South_King_County,2020-12,2,915,18,0.019672131147540985,1.6875,43.65381933470025,South King County
0,none-to-South_King_County,2020-07,2,915,5,0.00546448087431694,,4.861721492942069,South King County
0,none-to-North_King_County,2020-06,3,1151,14,0.01216333622936577,0.9032258064516129,38.13408973995894,North King County
0,none-to-North_King_County,2020-11,3,1151,20,0.01737619461337967,3.3333333333333335,60.97473695599021,North King County
0,none-to-North_King_County,2022-01,3,1151,120,0.10425716768027801,4.615384615384615,124.890228016737,North King County
0,none-to-North_King_County,2021-02,3,1151,21,0.018245004344048653,,31.97753012196078,North King County
0,none-to-North_King_County,2020-03,3,1151,34,0.029539530842745437,,32.810882758236204,North King County
